Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																		
Дата голосования: 07.12.2003 0:00:00																		
																		
Наименование Избирательной комиссии:    Славгородская																		
																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																		
																		
		Сумма	УИК №1373	УИК №1374	УИК №1375	УИК №1376	УИК №1377	УИК №1378	УИК №1379	УИК №1380	УИК №1381	УИК №1382	УИК №1383					
1	"Число избирателей, внесенных в списки"	8950	1407	203	322	1012	615	431	981	173	707	2840	259					
2	"Число бюллетеней, полученных участковыми комиссиями"	8924	1400	220	300	1004	620	450	990	170	700	2820	250					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	4763	782	123	235	561	357	243	578	104	394	1235	151					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	207	36	8	15	23	8	3	2	12	41	52	7					
6	Число погашенных бюллетеней	3954	582	89	50	420	255	204	410	54	265	1533	92					
7	Число бюллетеней в переносных ящиках для голосования	207	36	8	15	23	8	3	2	12	41	52	7					
8	Число бюллетеней в стационарных ящиках для голосования	4761	782	123	235	561	357	243	577	104	393	1235	151					
9	Число недействительных бюллетеней	87	6	4	9	21	7	0	10	5	11	11	3					
10	Число действительных бюллетеней	4881	812	127	241	563	358	246	569	111	423	1276	155					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	99	10	5	5	10	10	10	10	4	10	20	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	15	4	1	1	0	0	0	2	0	3	4	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	20	2	1	2	2	0	0	3	2	2	4	2					
14	Число погашенных открепительных удостоверений	84	6	4	4	10	10	10	8	4	7	16	5					
15	Число открепительных удостоверений выданных ТИК	1	0	0	0	0	0	0	0	0	0	1	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
																		
18	"1. ""ЕДИНЕНИЕ"""	78	15	1	7	8	10	6	6	5	8	8	4					
		1.57%	1.83%	0.76%	2.8%	1.36%	2.73%	2.43%	1.03%	4.31%	1.84%	0.62%	2.53%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	107	15	1	4	4	7	6	21	2	15	27	5					
		2.15%	1.83%	0.76%	1.6%	0.68%	1.91%	2.43%	3.62%	1.72%	3.45%	2.09%	3.16%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	122	15	2	9	15	7	3	23	0	15	28	5					
		2.45%	1.83%	1.52%	3.6%	2.56%	1.91%	1.21%	3.97%	0.0%	3.45%	2.17%	3.16%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	106	12	0	0	10	3	11	20	1	2	46	1					
		2.13%	1.46%	0.0%	0.0%	1.71%	0.82%	4.47%	3.45%	0.86%	0.46%	3.57%	0.63%					
22	"5. ""За Русь Святую"""	14	1	1	0	1	0	1	4	0	4	2	0					
		0.28%	0.12%	0.76%	0.0%	0.17%	0.0%	0.40%	0.69%	0.0%	0.92%	0.15%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	37	2	0	0	1	1	29	1	0	1	2	0					
		0.74%	0.24%	0.0%	0.0%	0.17%	0.27%	11.78%	0.17%	0.0%	0.23%	0.15%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	17	4	0	0	2	0	2	4	1	2	2	0					
		0.34%	0.48%	0.0%	0.0%	0.34%	0.0%	0.81%	0.69%	0.86%	0.46%	0.15%	0.0%					
25	"8. ""Народно-республиканская партия России"""	10	0	0	0	2	3	2	0	0	0	2	1					
		0.20%	0.0%	0.0%	0.0%	0.34%	0.82%	0.81%	0.0%	0.0%	0.0%	0.15%	0.63%					
26	"9. ""Российская экологическая партия ""Зеленые"""	11	0	0	4	2	0	0	1	0	0	4	0					
		0.22%	0.0%	0.0%	1.6%	0.34%	0.0%	0.0%	0.17%	0.0%	0.0%	0.31%	0.0%					
27	"10. ""Аграрная партия России"""	995	251	43	81	117	104	53	84	14	65	159	24					
		20.02%	30.68%	32.82%	32.4%	20.03%	28.49%	21.54%	14.50%	12.06%	14.97%	12.35%	15.18%					
28	"11. ""Истинные патриоты России"""	4	0	0	0	2	0	0	0	0	0	1	1					
		0.08%	0.0%	0.0%	0.0%	0.34%	0.0%	0.0%	0.0%	0.0%	0.0%	0.07%	0.63%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	37	2	0	0	6	0	4	2	2	5	13	3					
		0.74%	0.24%	0.0%	0.0%	1.02%	0.0%	1.62%	0.34%	1.72%	1.15%	1.01%	1.89%					
30	"13. ""Демократическая партия России"""	8	2	0	1	0	0	0	1	0	2	2	0					
		0.16%	0.24%	0.0%	0.4%	0.0%	0.0%	0.0%	0.17%	0.0%	0.46%	0.15%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	12	1	0	0	1	0	2	1	0	3	4	0					
		0.24%	0.12%	0.0%	0.0%	0.17%	0.0%	0.81%	0.17%	0.0%	0.69%	0.31%	0.0%					
32	"15. ""Партия СЛОН"""	4	2	0	0	1	0	0	1	0	0	0	0					
		0.08%	0.24%	0.0%	0.0%	0.17%	0.0%	0.0%	0.17%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	261	46	7	3	27	10	11	41	1	25	89	1					
		5.25%	5.62%	5.34%	1.2%	4.62%	2.73%	4.47%	7.08%	0.86%	5.76%	6.91%	0.63%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	13	0	0	1	0	0	0	0	0	6	2	4					
		0.26%	0.0%	0.0%	0.4%	0.0%	0.0%	0.0%	0.0%	0.0%	1.38%	0.15%	2.53%					
35	"18. ""ЛДПР"""	708	111	18	44	72	34	28	55	26	61	222	37					
		14.25%	13.56%	13.74%	17.6%	12.32%	9.31%	11.38%	9.49%	22.41%	14.05%	17.24%	23.41%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	79	10	4	1	17	7	10	4	1	9	15	1					
		1.59%	1.22%	3.05%	0.4%	2.91%	1.91%	4.06%	0.69%	0.86%	2.07%	1.16%	0.63%					
37	"20. ""Политическая партия ""Единая Россия"""	1418	193	18	56	196	111	70	179	43	115	409	28					
		28.54%	23.59%	13.74%	22.4%	33.56%	30.41%	28.45%	30.91%	37.06%	26.49%	31.77%	17.72%					
38	"21. ""Российская Конституционно-демократическая партия"""	11	1	1	1	1	0	1	3	0	1	2	0					
		0.22%	0.12%	0.76%	0.4%	0.17%	0.0%	0.40%	0.51%	0.0%	0.23%	0.15%	0.0%					
39	"22. ""Развитие предпринимательства"""	11	3	0	0	0	1	0	3	0	0	4	0					
		0.22%	0.36%	0.0%	0.0%	0.0%	0.27%	0.0%	0.51%	0.0%	0.0%	0.31%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	675	108	27	26	63	50	0	93	10	77	185	36					
		13.58%	13.20%	20.61%	10.4%	10.78%	13.69%	0.0%	16.06%	8.62%	17.74%	14.37%	22.78%					
																		
41	Против всех	143	18	4	3	15	10	7	22	5	7	48	4					
		2.87%	2.20%	3.05%	1.2%	2.56%	2.73%	2.84%	3.79%	4.31%	1.61%	3.72%	2.53%					
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
