Выборы Президента Российской Федерации																																																											
																																																											
Наименование Избирательной комиссии:    Октябрьская																																																											
																																																											
Итоги голосования 																																																											
																																																											
		Сумма	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270					
1	"Число избирателей, внесенных в список"	18542	293	90	306	89	96	68	803	73	81	71	191	85	872	230	164	928	238	356	86	72	313	200	139	190	321	242	187	363	188	427	1088	1157	1024	1000	1382	73	63	318	94	365	1193	205	236	244	122	314	195	72	585	386	192	472					
2	Число полученных избирательных бюллетеней	18810	280	100	370	100	110	80	780	80	80	70	190	90	920	230	200	920	250	360	90	80	320	200	140	180	330	250	190	370	180	420	1070	1100	980	990	1370	80	70	300	110	370	1300	200	240	240	130	330	200	90	580	380	220	500					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	14505	242	65	245	78	73	62	594	70	49	65	171	84	673	198	148	672	195	304	76	70	268	190	134	169	263	204	163	262	144	329	739	825	748	749	956	59	50	250	86	313	919	182	182	212	107	269	154	59	464	343	169	410					
5	"Число избирательных бюллетеней, выданных вне помещения"	1071	20	15	20	9	11	5	74	0	24	2	8	0	52	12	9	64	19	28	0	0	19	0	0	7	11	30	13	39	15	27	104	61	23	29	35	5	4	17	8	22	56	5	9	8	5	18	15	8	43	5	23	35					
6	Число погашенных избирательных бюллетеней	3231	18	20	105	13	26	13	112	10	7	3	11	6	195	20	43	184	36	28	14	10	33	10	6	4	56	16	14	69	21	64	227	214	209	212	379	16	16	33	16	35	323	13	49	20	18	43	31	23	72	32	28	55					
7	Число избирательных бюллетеней в переносных ящиках	1071	20	15	20	9	11	5	74	0	24	2	8	0	52	12	9	64	19	28	0	0	19	0	0	7	11	30	13	39	15	27	104	61	23	29	35	5	4	17	8	22	56	5	9	8	5	18	15	8	43	5	23	35					
8	Число бюллетеней в стационарных ящиках для голосования	14500	242	65	245	78	73	62	594	70	49	65	171	84	673	198	148	672	195	304	76	70	268	190	134	169	261	204	163	262	144	329	739	825	748	749	956	59	50	250	86	313	916	182	182	212	107	269	154	59	464	343	169	410					
9	Число недействительных избирательных бюллетеней	175	1	0	11	0	1	1	6	0	1	0	1	0	15	1	2	10	0	0	0	0	0	3	0	2	4	2	3	0	4	7	8	7	10	7	14	1	0	5	0	0	10	0	2	6	1	5	4	1	2	2	1	14					
10	Число действительных избирательных бюллетеней	15396	261	80	254	87	83	66	662	70	72	67	178	84	710	209	155	726	214	332	76	70	287	187	134	174	268	232	173	301	155	349	835	879	761	771	977	63	54	262	94	335	962	187	189	214	111	282	165	66	505	346	191	431					
