Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																					
Дата голосования: 18.09.2016																																					
																																					
Наименование Избирательной комиссии:    Питерская																																					
																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																					
																																					
		Сумма	УИК №1366	УИК №1367	УИК №1368	УИК №1369	УИК №1370	УИК №1371	УИК №1372	УИК №1373	УИК №1374	УИК №1375	УИК №1376	УИК №1377	УИК №1378	УИК №1379	УИК №1380	УИК №1381	УИК №1382	УИК №1383	УИК №1384	УИК №1385	УИК №1386	УИК №1387	УИК №1388	УИК №1389	УИК №1390	УИК №1391									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	12729	835	852	882	867	611	80	932	653	125	473	428	753	187	682	108	611	188	755	646	62	53	546	685	96	321	298									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	13300	870	875	900	880	580	80	940	680	130	480	450	770	185	710	110	691	185	800	730	60	55	641	788	90	320	300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	9189	571	462	693	658	435	68	698	488	93	398	327	343	153	362	56	510	122	707	352	50	41	416	570	85	295	236									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1147	106	76	100	44	33	10	57	42	10	23	16	36	15	72	7	42	51	48	155	1	0	72	80	2	8	41									
6	Число погашенных избирательных бюллетеней	2961	193	337	107	178	112	2	185	150	27	59	107	391	17	276	47	136	12	45	223	9	14	153	138	3	17	23									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1147	106	76	100	44	33	10	57	42	10	23	16	36	15	72	7	42	51	48	155	1	0	72	80	2	8	41									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	9135	571	462	693	658	435	68	698	488	93	398	327	343	153	362	56	465	122	707	352	50	41	407	570	85	295	236									
9	Число недействительных избирательных бюллетеней	102	2	6	4	0	0	0	0	0	2	34	0	9	0	6	1	6	0	0	16	1	0	8	5	0	0	2									
10	Число действительных избирательных бюллетеней	10180	675	532	789	702	468	78	755	530	101	387	343	370	168	428	62	501	173	755	491	50	41	471	645	87	303	275									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	282	18	24	25	15	10	2	10	20	7	5	16	15	3	25	6	10	3	15	13	1	2	18	12	2	1	4									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	282	18	24	25	15	10	2	10	20	7	5	16	15	3	25	6	10	3	15	13	1	2	18	12	2	1	4									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	52	3	2	1	3	2	0	0	2	4	1	2	1	1	7	2	3	3	2	5	1	0	2	0	2	0	3									
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	68	7	11	6	6	5	0	7	1	0	4	4	2	0	1	0	1	1	1	6	0	0	0	1	0	2	2									
