Выборы Президента Российской Федерации																																																																																
																																																																																
Наименование Избирательной комиссии:    Балашихинская																																																																																
																																																																																
Итоги голосования 																																																																																
																																																																																
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73					
1	"Число избирателей, внесенных в список"	160636	1735	2120	2632	2414	2295	2506	2533	2081	2256	2052	2414	1524	2625	2484	2043	2154	1956	1469	1836	760	2359	2098	1936	2563	2149	2135	2050	2077	2158	2295	2425	2174	2435	2273	2475	2240	2141	2260	2166	2408	2397	2611	2831	2090	2237	2266	2082	2414	1280	1310	2836	2313	1769	790	1720	2824	3055	2426	3151	2412	2288	2828	555	2772	2609	2550	2624	2652	2707	2127	2600	1979	825					
2	Число полученных избирательных бюллетеней	156900	1700	2000	2500	2300	2300	2500	2500	2100	2200	2000	2400	1500	2600	2400	2100	2100	1900	1400	1700	700	2300	2000	1900	2500	2100	2100	2000	2000	2100	2200	2400	2100	2400	2200	2400	2200	2000	2200	2100	2400	2200	2500	2600	2000	2200	2200	2000	2400	1200	1300	2600	2400	1800	800	1800	2700	2900	2600	2700	2500	2700	2800	500	2600	2600	2500	2700	2600	2700	2000	2600	1900	800					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	88537	881	1044	1174	1259	1271	1318	1367	1152	1379	1216	1324	764	1575	1250	1203	1159	1039	848	999	327	1284	1209	1047	1358	1187	1084	1064	1083	1116	1425	1308	1154	1394	1351	1269	1082	1052	1340	1064	1310	1170	1290	1839	1121	1247	1143	1326	1421	763	988	1574	1743	740	395	640	2042	1624	1449	1790	1540	1841	1373	221	1491	1426	1545	1140	1589	1538	1065	1357	946	430					
5	"Число избирательных бюллетеней, выданных вне помещения"	3412	58	135	61	36	26	38	17	41	23	42	26	14	33	40	16	14	21	24	6	50	5	9	16	28	30	18	18	18	21	100	19	44	19	15	27	30	117	26	27	31	205	39	186	32	25	25	28	14	6	22	55	132	116	23	133	22	256	36	79	88	271	46	28	17	5	9	13	41	7	53	9	20	32					
6	Число погашенных избирательных бюллетеней	64947	761	821	1265	1005	1003	1144	1116	907	798	742	1046	722	992	1110	881	927	840	528	695	323	1011	782	837	1114	883	998	918	899	963	675	1073	902	987	834	1104	1088	831	834	1009	1059	825	1171	575	847	928	1032	646	965	431	290	971	525	944	382	1027	636	1020	1115	831	872	588	1381	251	1092	1169	946	1547	970	1155	882	1234	934	338					
7	Число избирательных бюллетеней в переносных ящиках	3412	58	135	61	36	26	38	17	41	23	42	26	14	33	40	16	14	21	24	6	50	5	9	16	28	30	18	18	18	21	100	19	44	19	15	27	30	117	26	27	31	205	39	186	32	25	25	28	14	6	22	55	132	116	23	133	22	256	36	79	88	271	46	28	17	5	9	13	41	7	53	9	20	32					
8	Число бюллетеней в стационарных ящиках для голосования	88287	881	1041	1170	1255	1269	1318	1367	1152	1379	1213	1324	764	1575	1250	1201	1159	1039	848	999	327	1284	1209	1047	1358	1187	1084	1064	1082	1095	1425	1308	1154	1394	1344	1269	1082	1052	1332	1064	1310	1167	1286	1839	982	1243	1143	1326	1409	761	988	1574	1743	740	395	640	2037	1624	1446	1790	1540	1838	1373	221	1491	1414	1542	1140	1589	1536	1062	1357	946	430					
9	Число недействительных избирательных бюллетеней	643	9	8	4	19	10	12	11	7	13	5	9	12	3	4	11	5	4	7	9	3	3	16	4	6	0	1	8	12	9	12	34	4	7	11	6	10	9	6	7	2	7	10	13	7	5	6	8	11	4	15	8	13	10	3	5	11	7	3	9	8	17	26	9	6	4	10	6	6	5	11	19	21	8					
10	Число действительных избирательных бюллетеней	91056	930	1168	1227	1272	1285	1344	1373	1186	1389	1250	1341	766	1605	1286	1206	1168	1056	865	996	374	1286	1202	1059	1380	1217	1101	1074	1088	1107	1513	1293	1194	1406	1348	1290	1102	1160	1352	1084	1339	1365	1315	2012	1007	1263	1162	1346	1412	763	995	1621	1862	846	415	768	2048	1873	1479	1860	1620	2092	1393	240	1502	1415	1541	1147	1624	1538	1104	1347	945	454					
11	Число полученных открепительных  удостоверений	3760	25	30	30	30	30	30	30	30	30	30	30	25	50	30	30	30	30	25	35	20	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	100	30	30	30	30	30	25	100	60	200	25	20	25	200	200	200	100	200	200	30	20	60	40	90	200	100	50	30	30	25	20					
12	Число выданных открепительных удостоверений	2149	13	13	16	16	12	11	20	17	11	20	19	8	22	13	15	12	9	19	34	7	30	19	14	15	18	16	9	13	9	13	16	10	15	21	25	19	12	20	10	9	15	9	60	18	18	18	12	26	16	99	52	176	13	7	7	164	57	103	54	138	157	19	0	43	36	40	58	22	35	18	24	14	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1053	8	8	37	4	8	9	18	9	17	9	19	5	12	7	18	7	2	8	18	9	11	17	9	9	7	6	3	9	9	15	17	5	12	13	16	8	9	9	21	10	12	8	16	13	16	6	12	9	19	16	8	27	39	15	30	25	32	28	69	47	41	11	5	13	26	5	9	6	11	13	8	6	5					
14	Число неиспользованных открепительных удостоверений	1611	12	17	14	14	18	19	10	13	19	10	11	17	28	17	15	18	21	6	1	13	0	11	16	15	12	14	21	17	21	17	14	20	15	9	5	11	18	10	20	21	15	21	40	12	12	12	18	4	9	1	8	24	12	13	18	36	143	97	46	62	43	11	20	17	4	50	142	78	15	12	6	11	19					
15	"Число открепительных удостоверений, выданных в ТИК"	8	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0					
16	Число утраченных избирательных бюллетеней	4	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																
18	. Глазьев Сергей Юрьевич	4950	45	64	94	57	90	88	96	63	68	96	78	44	84	81	85	72	58	62	80	13	89	73	54	88	65	60	69	68	44	72	38	61	90	84	72	56	63	94	63	73	88	80	50	82	71	70	56	107	36	16	99	40	67	35	59	36	48	73	49	43	34	70	10	124	103	101	90	76	113	82	73	43	32					
		5.40%	4.79%	5.44%	7.64%	4.42%	6.95%	6.49%	6.94%	5.28%	4.85%	7.65%	5.78%	5.66%	5.22%	6.28%	6.98%	6.14%	5.47%	7.11%	7.96%	3.45%	6.90%	5.99%	5.08%	6.35%	5.34%	5.44%	6.38%	6.18%	3.94%	4.72%	2.86%	5.09%	6.37%	6.18%	5.56%	5.04%	5.39%	6.92%	5.77%	5.44%	6.41%	6.04%	2.47%	8.09%	5.60%	5.99%	4.14%	7.52%	4.69%	1.58%	6.08%	2.13%	7.83%	8.37%	7.63%	1.75%	2.55%	4.93%	2.62%	2.64%	1.61%	4.93%	4.02%	8.22%	7.26%	6.51%	7.81%	4.66%	7.32%	7.35%	5.34%	4.45%	6.93%					
19	. Малышкин Олег Александрович	1167	12	10	20	17	13	18	14	11	19	10	12	9	19	13	18	13	15	5	12	7	17	12	12	9	7	12	8	22	13	14	16	17	21	16	15	20	14	15	10	18	14	10	33	10	16	10	17	18	8	14	43	24	8	6	9	23	27	21	33	30	20	13	7	19	19	15	14	28	25	22	22	21	13					
		1.27%	1.28%	0.85%	1.62%	1.32%	1.00%	1.33%	1.01%	0.92%	1.36%	0.80%	0.89%	1.16%	1.18%	1.01%	1.48%	1.11%	1.42%	0.57%	1.19%	1.86%	1.32%	0.99%	1.13%	0.65%	0.58%	1.09%	0.74%	2.00%	1.16%	0.92%	1.21%	1.42%	1.49%	1.18%	1.16%	1.80%	1.20%	1.10%	0.92%	1.34%	1.02%	0.75%	1.63%	0.99%	1.26%	0.86%	1.26%	1.26%	1.04%	1.39%	2.64%	1.28%	0.93%	1.44%	1.16%	1.12%	1.44%	1.42%	1.77%	1.84%	0.95%	0.92%	2.81%	1.26%	1.34%	0.97%	1.21%	1.72%	1.62%	1.97%	1.61%	2.17%	2.81%					
20	. Миронов Сергей Михайлович	414	1	4	4	8	4	7	8	6	5	3	11	1	9	4	0	8	2	4	4	1	7	3	3	9	5	3	5	2	8	7	6	8	4	8	9	5	11	10	3	8	2	8	8	2	5	8	3	8	3	2	6	10	5	6	4	7	8	1	16	3	6	8	1	6	4	14	7	8	5	9	9	3	1					
