Выборы Президента Российской Федерации																																																																																			
Дата голосования: 02.03.2008																																																																																			
																																																																																			
Наименование Избирательной комиссии:    Балашихинская																																																																																			
																																																																																			
Сводная таблица результатов выборов																																																																																			
																																																																																			
	Число участковых избирательных комиссий	76																																																																																	
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	76																																																																																	
																																																																																			
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76					
1	"Число избирателей, включенных в списки избирателей"	168042	2269	2181	2460	2632	2320	2642	2471	2035	2175	1995	2269	1679	2695	2528	2505	2558	2572	2014	2209	887	1594	2183	2102	2369	2003	2012	2031	2313	2230	2006	2475	2127	2733	2754	2612	2621	1304	1896	2435	2353	2615	2502	2714	2632	2611	2170	2036	2396	1571	1298	2741	2561	1833	1138	1111	2858	2992	2558	2753	2694	2554	2948	549	2284	2880	2684	2780	2615	2801	2840	1555	2508	1927	800	842	442					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	164800	2200	2000	2400	2500	2300	2600	2400	2000	2200	2000	2200	1600	2600	2500	2500	2500	2500	2000	2200	800	1400	2200	2100	2400	2000	2000	2000	2300	2200	2000	2500	2100	2700	2700	2600	2600	1300	1900	2400	2300	2300	2500	2600	2600	2500	2100	2100	2000	1500	1300	2700	2600	1800	1100	1000	2800	3000	2600	2600	2800	2500	2900	500	2300	2900	2700	2800	2500	2900	2800	1500	2500	1900	700	800	400					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	127054	2020	1430	1708	1875	1660	2147	1892	1328	1519	1456	1862	1336	2358	1948	1733	1947	1940	1392	1678	477	1229	1565	1526	1920	1421	1417	1502	1635	1786	1684	1861	1647	1946	2015	1883	1772	987	1558	1839	1679	1651	1638	2031	2034	1995	1636	1459	1747	1095	1005	1694	2037	1440	823	834	2023	2157	1906	2190	2338	2050	2210	436	1880	2233	2275	2406	2068	2011	2300	1270	2240	1670	620	689	385					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	4045	113	390	117	50	48	46	33	55	30	57	44	60	60	57	45	14	16	26	8	128	8	18	16	39	22	31	18	44	42	33	39	14	34	29	46	182	16	19	25	50	293	92	89	41	45	31	72	29	17	21	49	97	51	63	105	36	106	50	15	81	90	106	42	29	8	2	37	59	9	11	25	22	21	58	20	1					
6	Число погашенных избирательных бюллетеней	33701	67	180	575	575	592	407	475	617	651	487	294	204	182	495	722	539	544	582	514	195	163	617	558	441	557	552	480	621	372	283	600	439	720	656	671	646	297	323	536	571	356	770	480	525	460	433	569	224	388	274	957	466	309	214	61	741	737	644	395	381	360	584	22	391	659	423	357	373	880	489	205	238	209	22	91	14					
7	Число избирательных бюллетеней в переносных ящиках для голосования	4045	113	390	117	50	48	46	33	55	30	57	44	60	60	57	45	14	16	26	8	128	8	18	16	39	22	31	18	44	42	33	39	14	34	29	46	182	16	19	25	50	293	92	89	41	45	31	72	29	17	21	49	97	51	63	105	36	106	50	15	81	90	106	42	29	8	2	37	59	9	11	25	22	21	58	20	1					
8	Число бюллетеней в стационарных ящиках для голосования	126767	2020	1430	1708	1875	1644	2108	1892	1324	1516	1455	1862	1276	2358	1948	1731	1947	1934	1392	1670	477	1229	1565	1526	1920	1421	1417	1502	1632	1786	1684	1861	1647	1946	2015	1880	1772	974	1545	1835	1679	1651	1638	1976	2034	1995	1636	1459	1747	1092	1005	1694	2033	1440	822	834	2023	2157	1906	2189	2335	2045	2210	436	1880	2233	2275	2394	2067	2011	2296	1270	2218	1670	620	689	384					
9	Число недействительных избирательных бюллетеней	1733	26	29	41	32	0	32	24	25	53	14	43	41	17	27	31	30	20	14	20	0	31	36	16	27	22	15	26	23	22	5	30	0	20	33	35	22	16	105	27	30	30	17	39	23	26	25	20	31	9	9	28	7	17	13	4	0	27	16	30	17	11	27	3	15	3	24	12	29	49	29	15	26	12	8	10	12					
10	Число действительных избирательных бюллетеней	129079	2107	1791	1784	1893	1692	2122	1901	1354	1493	1498	1863	1295	2401	1978	1745	1931	1930	1404	1658	605	1206	1547	1526	1932	1421	1433	1494	1653	1806	1712	1870	1661	1960	2011	1891	1932	974	1459	1833	1699	1914	1713	2026	2052	2014	1642	1511	1745	1100	1017	1715	2123	1474	872	935	2059	2236	1940	2174	2399	2124	2289	475	1894	2238	2253	2419	2097	1971	2278	1280	2214	1679	670	699	373					
11	Число полученных открепительных  удостоверений	4308	30	30	50	30	35	40	50	45	40	30	30	35	45	40	30	45	30	55	55	20	40	55	45	30	30	40	30	50	40	50	50	45	50	50	45	40	20	40	40	43	30	50	30	50	55	30	30	30	100	90	90	120	30	20	20	200	80	120	140	150	115	90	10	50	55	55	55	45	530	60	25	80	40	10	10	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	3622	19	30	33	30	30	38	50	43	36	25	28	27	45	30	30	32	30	42	55	20	24	55	38	28	22	34	25	43	40	50	50	32	46	34	35	34	18	30	40	31	25	39	30	40	53	29	23	30	100	89	73	117	22	17	6	187	72	102	101	139	115	62	6	50	55	40	50	43	314	55	25	63	36	7	10	15					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1954	15	19	53	64	28	13	35	10	15	31	37	45	32	60	18	20	21	8	22	17	43	23	13	15	18	7	12	15	16	7	22	16	71	9	41	25	8	20	20	31	35	18	28	18	29	28	11	31	149	27	17	15	30	14	22	41	68	36	47	15	21	27	11	15	26	10	8	9	46	17	9	6	16	15	7	37					
14	Число неиспользованных открепительных удостоверений	686	11	0	17	0	5	2	0	2	4	5	2	8	0	10	0	13	0	13	0	0	16	0	7	2	8	6	5	7	0	0	0	13	4	16	10	6	2	10	0	12	5	11	0	10	2	1	7	0	0	1	17	3	8	3	14	13	8	18	39	11	0	28	4	0	0	15	5	2	216	5	0	17	4	3	0	0					
15	"Число открепительных удостоверений, выданных избирателям ТИК"	185	1	1	0	1	1	1	0	1	2	1	3	3	2	0	1	2	2	0	2	0	2	4	1	2	1	2	0	3	1	2	2	0	3	4	2	3	1	4	1	2	0	3	33	0	0	0	1	2	0	4	3	1	1	0	0	2	45	3	8	2	3	0	0	3	2	1	1	0	0	1	0	1	0	0	1	0					
