Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																										
Дата голосования: 18.09.2016																																										
																																										
Наименование Избирательной комиссии:    Ахтынская																																										
																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																										
																																										
		Сумма	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	18182	1115	1158	671	1261	547	98	1151	1111	685	154	198	259	374	975	910	745	42	626	1067	575	76	539	347	82	621	239	975	109	651	618	203									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	16364	1000	1040	600	1130	515	90	1035	1000	615	140	180	230	335	880	820	670	38	560	960	515	68	485	310	75	560	215	880	98	585	555	180									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	15816	968	1007	589	1103	481	83	1024	973	597	137	176	221	305	864	793	630	36	550	948	513	65	474	300	72	552	165	820	89	564	539	178									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0									
6	Число погашенных избирательных бюллетеней	530	32	33	11	27	34	7	11	27	18	3	4	9	30	16	27	40	2	10	12	2	3	11	10	3	8	50	42	9	21	16	2									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	15816	968	1007	589	1103	481	83	1024	973	597	137	176	221	305	864	793	630	36	550	948	513	65	474	300	72	552	165	820	89	564	539	178									
9	Число недействительных избирательных бюллетеней	51	3	4	4	8	0	3	0	7	3	0	0	2	1	0	2	1	0	0	0	0	0	2	0	0	0	6	3	0	2	0	0									
10	Число действительных избирательных бюллетеней	15783	965	1003	585	1095	481	80	1024	966	594	137	176	219	304	864	791	629	36	550	948	513	65	472	300	72	552	159	835	89	562	539	178									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	100	5	5	3	5	3	2	5	5	3	2	2	2	2	4	4	3	2	3	5	5	2	3	3	2	3	2	5	2	3	3	2									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	97	5	5	2	5	3	2	5	5	3	2	2	2	2	4	4	3	2	3	4	5	2	2	3	2	3	2	5	2	3	3	2									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	8	0	1	0	0	3	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																										
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	36	0	5	0	0	2	0	0	0	0	0	0	0	0	6	0	0	0	0	11	0	0	12	0	0	0	0	0	0	0	0	0									
		0.23%	0.00%	0.50%	0.00%	0.00%	0.42%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.69%	0.00%	0.00%	0.00%	0.00%	1.16%	0.00%	0.00%	2.53%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
