Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																											
Дата голосования: 04.12.2011																											
																											
Наименование Избирательной комиссии:    Алексеевская																											
																											
Сводная таблица результатов выборов																											
																											
		Сумма	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120					
1	"Число избирателей, внесенных в список избирателей"	13767	1490	1893	1135	482	140	585	550	337	203	493	913	603	478	1750	347	631	394	473	710	160					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	13700	1460	1800	1150	490	135	585	550	335	210	510	910	600	480	1750	350	635	390	470	730	160					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	8612	952	1247	815	323	92	312	374	178	167	187	431	377	251	1215	113	431	217	316	522	92					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2158	119	128	113	50	26	120	86	77	23	213	274	111	79	114	142	94	141	78	108	62					
6	Число погашенных избирательных бюллетеней	2930	389	425	222	117	17	153	90	80	20	110	205	112	150	421	95	110	32	76	100	6					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2158	119	128	113	50	26	120	86	77	23	213	274	111	79	114	142	94	141	78	108	62					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	8612	952	1247	815	323	92	312	374	178	167	187	431	377	251	1215	113	431	217	316	522	92					
9	Число недействительных избирательных бюллетеней	207	4	3	0	0	0	0	1	28	1	0	38	5	4	54	55	0	2	7	0	5					
10	Число действительных избирательных бюллетеней	10563	1067	1372	928	373	118	432	459	227	189	400	667	483	326	1275	200	525	356	387	630	149					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	200	18	20	15	11	2	5	5	13	8	10	10	10	10	15	8	10	10	5	10	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	100	17	20	11	8	0	2	1	10	1	7	2	4	0	7	0	1	3	1	3	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	73	19	11	2	2	3	4	1	3	1	2	8	3	3	3	1	2	2	1	2	0					
14	Число погашенных неиспользованных открепительных удостоверений	100	1	0	4	3	2	3	4	3	7	3	8	6	10	8	8	9	7	4	7	3					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																											
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	778	63	103	37	50	12	22	15	27	11	21	57	43	33	102	24	53	23	36	40	6					
		7.22%	5.88%	7.49%	3.99%	13.40%	10.17%	5.09%	3.26%	10.59%	5.79%	5.25%	8.09%	8.81%	10.00%	7.67%	9.41%	10.10%	6.42%	9.14%	6.35%	3.90%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	496	30	43	50	10	10	17	13	19	8	5	37	39	51	60	14	26	13	6	33	12					
		4.61%	2.80%	3.13%	5.39%	2.68%	8.47%	3.94%	2.83%	7.45%	4.21%	1.25%	5.25%	7.99%	15.45%	4.51%	5.49%	4.95%	3.63%	1.52%	5.24%	7.79%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	50	5	5	23	0	1	3	2	0	0	0	1	0	1	8	1	0	0	0	0	0					
		0.46%	0.47%	0.36%	2.48%	0.00%	0.85%	0.69%	0.43%	0.00%	0.00%	0.00%	0.14%	0.00%	0.30%	0.60%	0.39%	0.00%	0.00%	0.00%	0.00%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	532	45	50	22	12	10	21	25	13	8	12	24	36	32	70	15	52	29	10	38	8					
		4.94%	4.20%	3.64%	2.37%	3.22%	8.47%	4.86%	5.43%	5.10%	4.21%	3.00%	3.40%	7.38%	9.70%	5.27%	5.88%	9.90%	8.10%	2.54%	6.03%	5.19%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	36	3	4	2	0	0	2	0	0	1	0	6	3	1	8	0	0	2	1	1	2					
		0.33%	0.28%	0.29%	0.22%	0.00%	0.00%	0.46%	0.00%	0.00%	0.53%	0.00%	0.85%	0.61%	0.30%	0.60%	0.00%	0.00%	0.56%	0.25%	0.16%	1.30%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	8484	868	1104	766	301	84	367	396	164	160	361	539	358	207	1015	145	394	285	334	517	119					
		78.77%	81.05%	80.29%	82.54%	80.70%	71.19%	84.95%	86.09%	64.31%	84.21%	90.25%	76.45%	73.36%	62.73%	76.37%	56.86%	75.05%	79.61%	84.77%	82.06%	77.27%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	187	53	63	28	0	1	0	8	4	1	1	3	4	1	12	1	0	4	0	1	2					
		1.74%	4.95%	4.58%	3.02%	0.00%	0.85%	0.00%	1.74%	1.57%	0.53%	0.25%	0.43%	0.82%	0.30%	0.90%	0.39%	0.00%	1.12%	0.00%	0.16%	1.30%					
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
