Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																				
Дата голосования: 18.09.2016																																																																				
																																																																				
Наименование Избирательной комиссии:    Апастовская																																																																				
																																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																																				
																																																																				
		Сумма	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	15606	846	712	1105	921	283	240	123	175	363	182	251	306	160	207	234	184	140	89	230	145	336	190	224	116	294	109	142	109	654	558	394	425	265	63	209	210	86	304	258	108	400	214	102	290	193	377	107	246	125	271	342	287	135	128	154	193	92									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	16000	866	741	1165	976	289	247	125	179	374	184	261	318	166	210	235	189	140	90	232	147	339	194	225	116	300	111	142	112	679	577	408	439	275	65	209	210	90	305	262	108	407	218	107	297	194	382	107	247	126	270	341	288	135	129	158	201	93									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	14994	822	686	1068	898	266	240	123	175	340	166	231	279	160	207	230	173	126	86	224	141	286	180	221	115	263	105	142	109	631	537	380	421	253	63	203	200	84	285	245	101	372	210	102	290	193	357	104	241	125	263	328	278	131	121	135	190	89									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	539	15	16	22	12	17	0	0	0	23	16	18	24	0	0	4	11	14	3	6	4	50	10	3	0	31	4	0	0	15	18	13	4	12	0	6	8	2	19	13	7	28	4	0	0	0	20	3	5	0	6	12	9	0	7	19	3	3									
6	Число погашенных избирательных бюллетеней	467	29	39	75	66	6	7	2	4	11	2	12	15	6	3	1	5	0	1	2	2	3	4	1	1	6	2	0	3	33	22	15	14	10	2	0	2	4	1	4	0	7	4	5	7	1	5	0	1	1	1	1	1	4	1	4	8	1									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	539	15	16	22	12	17	0	0	0	23	16	18	24	0	0	4	11	14	3	6	4	50	10	3	0	31	4	0	0	15	18	13	4	12	0	6	8	2	19	13	7	28	4	0	0	0	20	3	5	0	6	12	9	0	7	19	3	3									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	14994	822	686	1068	898	266	240	123	175	340	166	231	279	160	207	230	173	126	86	224	141	286	180	221	115	263	105	142	109	631	537	380	421	253	63	203	200	84	285	245	101	372	210	102	290	193	357	104	241	125	263	328	278	131	121	135	190	89									
9	Число недействительных избирательных бюллетеней	58	0	0	6	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	6	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0									
10	Число действительных избирательных бюллетеней	15475	837	702	1084	874	283	240	123	175	363	182	249	303	160	207	234	184	140	89	230	145	336	190	223	115	294	109	142	109	640	548	393	425	265	63	209	208	86	304	258	108	400	214	102	290	193	376	107	246	125	269	340	287	131	128	153	193	92									
