Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																			
Дата голосования: 04.12.2011																																			
																																			
Наименование Избирательной комиссии:    Родниковская																																			
																																			
Сводная таблица предварительных итогов голосования																																			
																																			
		Сумма	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728					
1	"Число избирателей, внесенных в список избирателей"	28977	1346	1556	1542	2325	2271	1717	2515	1550	1581	2305	1502	1478	1428	503	355	165	170	569	610	363	444	440	437	475	478	518	184	150					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	30177	1330	1540	1470	2270	2220	1710	2510	1550	1570	2320	1500	1480	1440	598	439	262	262	671	674	466	547	537	546	571	566	616	271	241					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	11969	632	639	632	766	1012	702	1173	502	586	1020	508	461	612	237	146	106	92	184	322	158	222	190	191	247	204	210	130	85					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2722	69	117	151	199	72	73	81	62	114	117	82	115	173	116	107	32	48	200	109	105	50	77	81	84	126	111	31	20					
6	Число погашенных избирательных бюллетеней	15486	629	784	687	1305	1136	935	1256	986	870	1183	910	904	655	245	186	124	122	287	243	203	275	270	274	240	236	295	110	136					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2720	69	117	151	199	72	73	81	62	114	117	82	115	173	116	107	32	47	200	109	105	50	77	81	84	125	111	31	20					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	11969	632	639	632	766	1012	702	1173	502	586	1020	508	461	612	237	146	106	92	184	322	158	222	190	191	247	204	210	130	85					
9	Число недействительных избирательных бюллетеней	142	13	4	12	8	14	12	17	8	4	6	10	4	10	2	0	1	2	1	2	2	2	0	1	1	0	1	2	3					
10	Число действительных избирательных бюллетеней	14547	688	752	771	957	1070	763	1237	556	696	1131	580	572	775	351	253	137	137	383	429	261	270	267	271	330	329	320	159	102					
