Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																
Дата голосования: 04.12.2011																																
																																
Наименование Избирательной комиссии:    район Преображенское																																
																																
Сводная таблица результатов выборов																																
																																
		Сумма	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №3287	УИК №3288	УИК №3289					
1	"Число избирателей, внесенных в список избирателей"	50652	2010	2071	1641	2085	1928	2210	2072	1988	2509	2538	2463	2259	2307	2195	2230	2221	2298	2181	2472	2521	2519	2294	800	92	748					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	42150	1600	1700	1700	1600	1600	1800	1800	1800	2000	2000	2000	1800	1900	1700	1800	1700	2000	2050	2000	2000	2100	1800	800	150	750					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	37613	1434	1096	1594	1539	1296	1650	1566	1614	1958	1938	1671	1627	1706	1601	1535	1641	1637	1701	1843	1717	1954	1655	800	92	748					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1273	66	22	47	35	26	36	133	100	39	51	69	35	69	87	92	36	97	49	58	56	35	35	0	0	0					
6	Число погашенных избирательных бюллетеней	3264	100	582	59	26	278	114	101	86	3	11	260	138	125	12	173	23	266	300	99	227	111	110	0	58	2					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1273	66	22	47	35	26	36	133	100	39	51	69	35	69	87	92	36	97	49	58	56	35	35	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	37367	1372	1081	1594	1539	1295	1643	1564	1606	1958	1936	1671	1579	1706	1600	1496	1611	1634	1699	1843	1717	1932	1651	800	92	748					
9	Число недействительных избирательных бюллетеней	1332	15	13	24	34	19	155	26	29	135	32	90	18	29	74	143	25	25	199	29	122	26	39	22	0	9					
10	Число действительных избирательных бюллетеней	37308	1423	1090	1617	1540	1302	1524	1671	1677	1862	1955	1650	1596	1746	1613	1445	1622	1706	1549	1872	1651	1941	1647	778	92	739					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1185	50	50	50	50	50	50	50	50	70	70	44	50	56	50	50	52	58	50	65	50	70	50	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	908	40	31	41	30	32	35	40	32	60	57	39	32	36	47	46	29	50	40	54	42	57	38	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1272	51	22	13	96	27	70	75	43	53	29	15	37	78	20	36	54	36	36	31	49	51	22	191	6	131					
14	Число погашенных неиспользованных открепительных удостоверений	277	10	19	9	20	18	15	10	18	10	13	5	18	20	3	4	23	8	10	11	8	13	12	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	64	2	0	2	3	4	3	3	1	5	4	4	0	1	3	3	5	5	2	1	4	4	5	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	4457	202	180	206	101	104	212	191	192	258	234	178	229	236	189	182	209	167	154	223	214	248	169	90	6	83					
		11.53%	14.05%	16.32%	12.55%	6.42%	7.87%	12.63%	11.26%	11.25%	12.92%	11.78%	10.23%	14.19%	13.30%	11.20%	11.46%	12.69%	9.65%	8.81%	11.73%	12.07%	12.61%	10.02%	11.25%	6.52%	11.10%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	2791	99	87	97	127	92	122	94	112	119	145	81	158	193	121	153	115	145	91	140	104	96	102	104	4	90					
