Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																		
Дата голосования: 07.12.2003 0:00:00																																		
																																		
Наименование Избирательной комиссии:    район Нагатино-Садовники																																		
																																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																		
																																		
		Сумма	УИК №1759	УИК №1760	УИК №1761	УИК №1762	УИК №1763	УИК №1764	УИК №1765	УИК №1766	УИК №1767	УИК №1768	УИК №1769	УИК №1770	УИК №1771	УИК №1772	УИК №1773	УИК №1774	УИК №1775	УИК №1776	УИК №1777	УИК №1778	УИК №1779	УИК №1780	УИК №3148	УИК №3149	УИК №3150	УИК №3151	УИК №3152					
1	"Число избирателей, внесенных в списки"	45585	1299	1844	1688	2379	1511	1894	1792	1694	2233	2448	2377	2283	1941	1537	1262	2034	1822	2419	2062	1500	2529	2616	278	27	1000	454	662					
2	"Число бюллетеней, полученных участковыми комиссиями"	43105	1230	1700	1510	2160	1390	1730	1560	1560	2020	2240	2160	2050	1800	1390	1180	1870	1665	2240	1970	1390	2350	2410	278	202	1400	650	1000					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	26807	701	1008	939	1386	783	1178	1120	1019	1245	1241	1245	1272	1120	765	783	1172	1070	1360	1193	912	1483	1391	278	27	1000	454	662					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1107	31	41	40	48	61	36	40	65	47	98	52	65	47	74	31	46	30	46	59	30	42	78	0	0	0	0	0					
6	Число погашенных бюллетеней	15191	498	651	531	726	546	516	400	476	728	901	863	713	633	551	366	652	565	834	718	448	825	941	0	175	400	196	338					
7	Число бюллетеней в переносных ящиках для голосования	1106	31	41	40	48	61	36	40	65	47	98	52	64	47	74	31	46	30	46	59	30	42	78	0	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	26711	701	1005	935	1385	775	1166	1120	1019	1209	1219	1245	1270	1115	765	783	1171	1070	1359	1192	912	1483	1391	278	27	1000	454	662					
9	Число недействительных бюллетеней	325	14	13	15	13	8	9	14	15	15	16	10	19	13	5	7	13	15	26	22	7	17	33	2	0	0	3	1					
10	Число действительных бюллетеней	27492	718	1033	960	1420	828	1193	1146	1069	1241	1301	1287	1315	1149	834	807	1204	1085	1379	1229	935	1508	1436	276	27	1000	451	661					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1080	45	40	35	45	35	50	45	45	65	65	65	45	45	35	30	90	40	70	45	35	60	50	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	808	39	26	20	35	16	41	33	33	38	46	42	24	37	17	22	78	39	66	38	21	50	47	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1044	26	35	16	29	17	23	68	22	36	24	22	29	29	20	23	41	25	23	25	31	75	31	0	12	55	27	280					
14	Число погашенных открепительных удостоверений	272	6	14	15	10	19	9	12	12	27	19	23	21	8	18	8	12	1	4	7	14	10	3	0	0	0	0	0					
15	Число открепительных удостоверений выданных ТИК	9	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	1	3	0	0	1	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																		
18	"1. ""ЕДИНЕНИЕ"""	185	7	6	10	9	7	7	5	4	3	11	7	9	8	7	2	7	5	11	8	6	12	14	1	1	11	6	1					
		0.66%	0.95%	0.57%	1.02%	0.62%	0.83%	0.58%	0.43%	0.36%	0.23%	0.83%	0.53%	0.67%	0.68%	0.83%	0.24%	0.57%	0.45%	0.78%	0.63%	0.63%	0.78%	0.95%	0.35%	3.70%	1.1%	1.32%	0.15%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	1926	42	84	62	81	53	74	60	106	109	97	87	120	55	36	52	97	107	110	74	93	80	109	5	2	48	13	70					
		6.92%	5.73%	8.03%	6.35%	5.65%	6.33%	6.15%	5.17%	9.77%	8.67%	7.36%	6.70%	8.99%	4.73%	4.29%	6.38%	7.97%	9.72%	7.82%	5.91%	9.87%	5.24%	7.42%	1.79%	7.40%	4.8%	2.86%	10.57%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	585	14	26	26	27	22	25	34	17	24	29	14	24	32	21	19	23	27	27	20	16	38	19	0	0	42	11	8					
		2.10%	1.91%	2.48%	2.66%	1.88%	2.63%	2.07%	2.93%	1.56%	1.91%	2.20%	1.07%	1.79%	2.75%	2.50%	2.33%	1.88%	2.45%	1.92%	1.59%	1.69%	2.49%	1.29%	0.0%	0.0%	4.2%	2.42%	1.20%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	2549	32	68	83	133	84	108	91	98	127	133	115	143	125	74	77	135	124	156	118	87	104	173	19	1	55	16	70					
		9.16%	4.37%	6.50%	8.51%	9.28%	10.04%	8.98%	7.84%	9.04%	10.11%	10.09%	8.86%	10.71%	10.75%	8.82%	9.45%	11.09%	11.27%	11.10%	9.43%	9.23%	6.81%	11.77%	6.83%	3.70%	5.5%	3.52%	10.57%					
22	"5. ""За Русь Святую"""	145	6	6	3	9	3	2	9	5	6	9	3	6	5	10	5	5	12	5	6	3	9	7	1	0	7	3	0					
		0.52%	0.81%	0.57%	0.30%	0.62%	0.35%	0.16%	0.77%	0.46%	0.47%	0.68%	0.23%	0.44%	0.43%	1.19%	0.61%	0.41%	1.09%	0.35%	0.47%	0.31%	0.59%	0.47%	0.35%	0.0%	0.7%	0.66%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	65	0	1	5	2	0	0	1	1	4	4	2	1	6	2	0	4	3	3	3	3	0	6	1	0	12	0	1					
		0.23%	0.0%	0.09%	0.51%	0.13%	0.0%	0.0%	0.08%	0.09%	0.31%	0.30%	0.15%	0.07%	0.51%	0.23%	0.0%	0.32%	0.27%	0.21%	0.23%	0.31%	0.0%	0.40%	0.35%	0.0%	1.2%	0.0%	0.15%					
24	"7. ""Новый курс - Автомобильная Россия"""	385	10	13	12	16	6	30	15	9	20	14	14	30	23	6	11	25	17	17	31	10	14	29	1	0	1	4	7					
		1.38%	1.36%	1.24%	1.23%	1.11%	0.71%	2.49%	1.29%	0.83%	1.59%	1.06%	1.07%	2.24%	1.97%	0.71%	1.35%	2.05%	1.54%	1.20%	2.47%	1.06%	0.91%	1.97%	0.35%	0.0%	0.1%	0.88%	1.05%					
25	"8. ""Народно-республиканская партия России"""	11	0	0	0	0	0	0	0	1	1	0	0	3	0	0	0	0	2	0	1	0	1	2	0	0	0	0	0					
		0.03%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.09%	0.07%	0.0%	0.0%	0.22%	0.0%	0.0%	0.0%	0.0%	0.18%	0.0%	0.07%	0.0%	0.06%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	192	2	5	2	14	6	15	13	9	9	7	10	14	6	7	7	7	9	15	4	7	8	9	0	1	3	1	2					
		0.69%	0.27%	0.47%	0.20%	0.97%	0.71%	1.24%	1.12%	0.83%	0.71%	0.53%	0.77%	1.04%	0.51%	0.83%	0.85%	0.57%	0.81%	1.06%	0.31%	0.74%	0.52%	0.61%	0.0%	3.70%	0.3%	0.22%	0.30%					
27	"10. ""Аграрная партия России"""	458	16	20	14	30	18	13	22	18	12	34	24	19	11	15	13	25	29	30	16	15	13	20	0	1	13	9	8					
		1.64%	2.18%	1.91%	1.43%	2.09%	2.15%	1.08%	1.89%	1.66%	0.95%	2.58%	1.85%	1.42%	0.94%	1.78%	1.59%	2.05%	2.63%	2.13%	1.27%	1.59%	0.85%	1.36%	0.0%	3.70%	1.3%	1.98%	1.20%					
28	"11. ""Истинные патриоты России"""	24	5	2	0	1	2	0	1	0	1	0	1	1	0	0	0	0	3	0	0	0	5	0	1	0	1	0	0					
		0.08%	0.68%	0.19%	0.0%	0.06%	0.23%	0.0%	0.08%	0.0%	0.07%	0.0%	0.07%	0.07%	0.0%	0.0%	0.0%	0.0%	0.27%	0.0%	0.0%	0.0%	0.32%	0.0%	0.35%	0.0%	0.1%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	270	4	14	9	17	12	16	11	4	12	14	14	9	12	5	4	6	14	14	16	15	13	17	0	1	6	1	10					
		0.97%	0.54%	1.33%	0.92%	1.18%	1.43%	1.33%	0.94%	0.36%	0.95%	1.06%	1.07%	0.67%	1.03%	0.59%	0.49%	0.49%	1.27%	0.99%	1.27%	1.59%	0.85%	1.15%	0.0%	3.70%	0.6%	0.22%	1.51%					
30	"13. ""Демократическая партия России"""	35	0	1	0	1	1	0	0	3	4	1	7	3	0	1	0	1	0	3	3	1	0	1	0	0	3	1	0					
		0.12%	0.0%	0.09%	0.0%	0.06%	0.11%	0.0%	0.0%	0.27%	0.31%	0.07%	0.53%	0.22%	0.0%	0.11%	0.0%	0.08%	0.0%	0.21%	0.23%	0.10%	0.0%	0.06%	0.0%	0.0%	0.3%	0.22%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	41	1	4	2	2	2	3	4	1	4	2	1	2	1	0	0	0	1	1	4	1	0	1	0	0	2	0	2					
		0.14%	0.13%	0.38%	0.20%	0.13%	0.23%	0.24%	0.34%	0.09%	0.31%	0.15%	0.07%	0.14%	0.08%	0.0%	0.0%	0.0%	0.09%	0.07%	0.31%	0.10%	0.0%	0.06%	0.0%	0.0%	0.2%	0.0%	0.30%					
32	"15. ""Партия СЛОН"""	69	2	1	2	6	2	5	2	2	1	0	1	2	2	1	1	6	0	6	3	2	15	2	1	0	1	1	2					
		0.24%	0.27%	0.09%	0.20%	0.41%	0.23%	0.41%	0.17%	0.18%	0.07%	0.0%	0.07%	0.14%	0.17%	0.11%	0.12%	0.49%	0.0%	0.42%	0.23%	0.21%	0.98%	0.13%	0.35%	0.0%	0.1%	0.22%	0.30%					
33	"16. ""Родина"" (народно-патриотический союз)"""	4097	82	130	123	269	125	170	147	154	186	171	224	208	208	146	164	189	193	246	183	160	200	181	0	3	116	45	74					
		14.72%	11.20%	12.42%	12.61%	18.77%	14.95%	14.14%	12.67%	14.20%	14.80%	12.98%	17.27%	15.59%	17.90%	17.40%	20.14%	15.52%	17.54%	17.50%	14.62%	16.98%	13.11%	12.32%	0.0%	11.11%	11.6%	9.91%	11.17%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	37	6	1	2	2	1	1	0	3	2	2	2	1	1	1	1	1	1	0	2	0	0	3	0	0	3	1	0					
		0.13%	0.81%	0.09%	0.20%	0.13%	0.11%	0.08%	0.0%	0.27%	0.15%	0.15%	0.15%	0.07%	0.08%	0.11%	0.12%	0.08%	0.09%	0.0%	0.15%	0.0%	0.0%	0.20%	0.0%	0.0%	0.3%	0.22%	0.0%					
35	"18. ""ЛДПР"""	1796	74	97	58	90	49	71	92	61	106	77	103	86	61	44	52	64	60	81	65	47	145	105	2	0	50	23	33					
		6.45%	10.10%	9.27%	5.94%	6.28%	5.86%	5.90%	7.93%	5.62%	8.43%	5.84%	7.94%	6.44%	5.24%	5.24%	6.38%	5.25%	5.45%	5.76%	5.19%	4.98%	9.50%	7.14%	0.71%	0.0%	5.0%	5.06%	4.98%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	257	10	5	13	11	9	13	6	6	12	14	16	23	9	3	5	16	9	6	3	11	10	21	0	0	13	7	6					
		0.92%	1.36%	0.47%	1.33%	0.76%	1.07%	1.08%	0.51%	0.55%	0.95%	1.06%	1.23%	1.72%	0.77%	0.35%	0.61%	1.31%	0.81%	0.42%	0.23%	1.16%	0.65%	1.42%	0.0%	0.0%	1.3%	1.54%	0.90%					
37	"20. ""Политическая партия ""Единая Россия"""	10436	300	376	374	528	320	457	487	403	413	499	451	442	414	330	275	425	286	463	493	324	655	512	235	15	446	239	274					
		37.51%	40.98%	35.94%	38.35%	36.84%	38.27%	38.01%	41.98%	37.17%	32.88%	37.88%	34.77%	33.13%	35.62%	39.33%	33.78%	34.92%	26.0%	32.95%	39.40%	34.39%	42.95%	34.85%	84.53%	55.55%	44.6%	52.64%	41.38%					
38	"21. ""Российская Конституционно-демократическая партия"""	40	1	4	1	1	1	0	0	2	1	1	1	2	1	1	0	0	3	1	4	3	1	3	0	0	5	3	0					
		0.14%	0.13%	0.38%	0.10%	0.06%	0.11%	0.0%	0.0%	0.18%	0.07%	0.07%	0.07%	0.14%	0.08%	0.11%	0.0%	0.0%	0.27%	0.07%	0.31%	0.31%	0.06%	0.20%	0.0%	0.0%	0.5%	0.66%	0.0%					
39	"22. ""Развитие предпринимательства"""	65	2	5	2	2	3	5	4	3	4	2	1	3	1	1	2	4	4	0	1	5	4	5	0	0	0	1	1					
		0.23%	0.27%	0.47%	0.20%	0.13%	0.35%	0.41%	0.34%	0.27%	0.31%	0.15%	0.07%	0.22%	0.08%	0.11%	0.24%	0.32%	0.36%	0.0%	0.07%	0.53%	0.26%	0.34%	0.0%	0.0%	0.0%	0.22%	0.15%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1977	42	81	87	90	60	101	66	102	86	89	101	86	95	76	79	83	82	74	93	72	76	103	4	2	73	34	40					
		7.10%	5.73%	7.74%	8.92%	6.28%	7.17%	8.40%	5.68%	9.40%	6.84%	6.75%	7.78%	6.44%	8.17%	9.05%	9.70%	6.82%	7.45%	5.26%	7.43%	7.64%	4.98%	7.01%	1.43%	7.40%	7.3%	7.48%	6.04%					
																																		
41	Против всех	1847	60	83	70	79	42	77	76	57	94	91	88	78	73	47	38	81	94	110	78	54	105	94	5	0	89	32	52					
		6.63%	8.19%	7.93%	7.17%	5.51%	5.02%	6.40%	6.55%	5.25%	7.48%	6.90%	6.78%	5.84%	6.28%	5.60%	4.66%	6.65%	8.54%	7.82%	6.23%	5.73%	6.88%	6.39%	1.79%	0.0%	8.9%	7.04%	7.85%					
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
