Выборы Президента Российской Федерации																																																																			
																																																																			
Наименование Избирательной комиссии:    Красносельская №26																																																																			
																																																																			
Итоги голосования 																																																																			
																																																																			
		Сумма	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955					
1	"Число избирателей, внесенных в список"	118406	508	2196	2047	2189	2322	2396	2481	2552	2755	2641	2320	2238	1779	1710	2025	2314	2482	1971	2110	2078	258	1708	1758	1325	2168	2154	2109	2372	2246	2376	2306	2150	2104	1114	2043	2255	2012	2348	1964	3082	860	960	2046	1968	2359	1620	2336	1983	2359	2204	2658	777	2169	2629	2093	1876	285	855	428	2975					
2	Число полученных избирательных бюллетеней	118100	600	2200	2000	2200	2300	2300	2500	2500	2700	2600	2500	2300	1900	1700	2000	2300	2500	2000	2000	2200	500	1700	1700	1300	2200	2200	2000	2300	2300	2300	2300	2100	2000	1100	2200	2200	2000	2300	2000	3000	900	1000	2000	2000	2300	1300	2300	2000	2400	2200	2600	800	2200	2500	2000	1800	500	800	500	3000					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	66119	508	1290	1115	1269	1298	1380	1307	1392	1653	1505	1206	1300	987	942	1105	1326	1368	1176	1124	946	258	923	966	666	1302	1160	1220	1342	1179	1358	1366	1169	1153	579	858	1292	1163	1343	1633	1812	494	438	1131	999	1177	669	1315	1087	1254	1145	1615	343	1248	1379	1187	1006	239	535	185	1734					
5	"Число избирательных бюллетеней, выданных вне помещения"	2125	0	27	23	29	13	23	24	36	19	15	14	24	19	22	23	26	26	15	11	58	0	25	21	41	29	25	20	40	33	37	26	41	15	86	102	35	34	12	42	14	15	38	11	12	26	364	38	34	43	26	30	32	18	152	25	16	46	12	57	5					
6	Число погашенных избирательных бюллетеней	49856	92	883	862	902	989	897	1169	1072	1028	1080	1280	976	894	736	872	948	1106	809	865	1196	242	752	713	593	869	1015	760	918	1088	905	908	890	832	435	1240	873	803	945	325	1174	391	524	858	989	1097	267	947	879	1103	1029	955	425	934	969	788	778	215	253	258	1261					
7	Число избирательных бюллетеней в переносных ящиках	2119	0	27	23	29	13	23	24	36	19	15	14	24	19	22	23	26	26	15	11	58	0	25	21	41	29	25	20	40	33	37	26	41	15	86	102	35	34	12	42	14	15	38	11	12	26	358	38	34	43	26	30	32	18	152	25	16	46	12	57	5					
8	Число бюллетеней в стационарных ящиках для голосования	66070	508	1290	1111	1268	1298	1378	1307	1392	1653	1504	1206	1300	984	942	1105	1326	1368	1173	1123	946	258	922	966	666	1302	1160	1220	1342	1178	1358	1361	1166	1153	579	858	1288	1163	1339	1630	1810	494	438	1128	999	1177	669	1315	1087	1254	1144	1613	343	1244	1379	1186	1006	239	535	185	1734					
9	Число недействительных избирательных бюллетеней	330	1	2	6	4	6	5	3	6	4	3	8	6	7	1	6	10	0	3	11	5	5	7	4	3	8	4	4	11	7	3	5	3	6	0	0	11	6	6	7	9	2	7	8	1	2	4	41	5	8	2	11	1	5	8	8	0	5	2	0	4					
10	Число действительных избирательных бюллетеней	67859	507	1315	1128	1293	1305	1396	1328	1422	1668	1516	1212	1318	996	963	1122	1342	1394	1185	1123	999	253	940	983	704	1323	1181	1236	1371	1204	1392	1382	1204	1162	665	960	1312	1191	1345	1665	1815	507	469	1131	1010	1201	1023	1312	1116	1289	1168	1632	374	1257	1523	1203	1022	280	545	242	1735					
11	Число полученных открепительных  удостоверений	3890	0	60	60	60	70	59	70	71	70	60	80	60	60	40	60	70	70	60	60	60	0	60	60	60	60	60	60	60	60	60	80	60	60	60	80	60	60	60	80	130	60	30	80	70	80	60	90	60	100	70	100	60	100	90	60	70	0	60	60	120					
12	Число выданных открепительных удостоверений	2806	0	45	42	46	55	48	65	63	54	48	63	49	42	28	33	59	45	47	38	14	0	38	30	25	44	41	46	45	55	36	73	48	34	25	76	37	24	39	56	121	29	10	55	61	72	41	69	53	82	62	83	27	72	67	53	56	0	10	7	120					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	2345	40	58	73	32	51	32	26	23	60	28	48	48	20	21	25	40	52	27	22	49	18	11	38	21	28	29	44	23	23	33	69	29	27	25	20	17	14	19	48	190	11	19	26	15	15	391	48	21	57	30	36	25	27	29	17	25	3	17	14	18					
14	Число неиспользованных открепительных удостоверений	1084	0	15	18	14	15	11	5	8	16	12	17	11	18	12	27	11	25	13	22	46	0	22	30	35	16	19	14	15	5	24	7	12	26	35	4	23	36	21	24	9	31	20	25	9	8	19	21	7	18	8	17	33	28	23	7	14	0	50	53	0					
15	"Число открепительных удостоверений, выданных в ТИК"	51	0	1	0	4	1	0	0	3	0	3	1	0	3	0	2	3	0	1	1	0	0	1	0	0	1	1	0	0	3	0	1	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	2	2	1	1	3	0	3	1	0	1	0	0	1	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																			
18	. Глазьев Сергей Юрьевич	2609	15	52	56	53	67	53	48	61	98	62	42	31	30	35	49	70	40	60	47	43	11	37	35	23	56	43	50	55	33	65	46	46	55	17	29	56	49	37	29	74	13	16	36	31	54	39	52	59	52	55	52	10	51	43	50	43	11	9	9	66					
		3.83%	2.95%	3.95%	4.94%	4.09%	5.11%	3.78%	3.61%	4.27%	5.86%	4.08%	3.44%	2.34%	2.99%	3.63%	4.34%	5.18%	2.87%	5.05%	4.14%	4.28%	4.26%	3.91%	3.55%	3.25%	4.21%	3.63%	4.03%	3.98%	2.73%	4.66%	3.32%	3.81%	4.71%	2.56%	3.02%	4.23%	4.09%	2.74%	1.73%	4.06%	2.55%	3.36%	3.16%	3.07%	4.49%	3.80%	3.84%	5.26%	4.01%	4.70%	3.16%	2.67%	4.04%	2.81%	4.13%	4.21%	3.86%	1.65%	3.72%	3.80%					
19	. Малышкин Олег Александрович	624	6	12	10	16	13	7	14	8	9	13	3	12	7	15	6	6	6	11	5	11	4	7	15	3	13	8	10	12	13	10	10	9	5	8	10	10	13	11	26	31	7	3	12	10	8	8	12	9	13	15	17	7	9	12	7	10	6	11	4	26					
