Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																
Дата голосования: 18.09.2016																																																																
																																																																
Наименование Избирательной комиссии:    Левашинская																																																																
																																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																																
																																																																
		Сумма	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	49268	743	883	353	219	904	460	265	103	568	207	560	121	554	1904	305	1647	959	1721	1230	153	752	1530	1909	2270	1977	1094	792	619	502	381	1203	773	1139	1410	1677	1963	1792	1063	1292	1585	1360	634	984	1003	980	501	296	170	271	1121	747	1040	579									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	48496	710	879	339	214	894	501	258	113	548	203	555	116	544	1860	305	1647	940	1709	1222	153	752	1444	1909	2250	1968	1103	798	621	502	381	1203	773	1120	1368	1668	1951	1788	1045	1114	1575	1224	625	974	973	981	491	304	170	269	1105	718	1040	579									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	43274	462	788	323	208	620	431	203	88	513	96	129	102	498	1469	275	1323	732	1709	1222	94	695	1384	1849	2250	1960	1051	718	571	250	274	1083	696	1071	1258	1634	1950	1773	1035	1086	1279	903	613	874	875	900	434	287	143	215	975	294	1030	579									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	298	24	0	0	0	0	29	25	15	0	21	47	6	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	28	0	0	0	0	0	20	0	0	0	0	0	29	0	0									
6	Число погашенных избирательных бюллетеней	4924	224	91	16	6	274	41	30	10	35	86	379	8	46	391	30	324	208	0	0	59	57	10	60	0	8	52	80	50	252	107	120	77	49	106	34	1	15	10	0	296	321	12	100	98	61	57	17	27	54	130	395	10	0									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	270	24	0	0	0	0	29	25	15	0	21	47	6	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	29	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	43274	462	788	323	208	620	431	203	88	513	96	129	102	498	1469	275	1323	732	1709	1222	94	695	1384	1849	2250	1960	1051	718	571	250	274	1083	696	1071	1258	1634	1950	1773	1035	1086	1279	903	613	874	875	900	434	287	143	215	975	294	1030	579									
9	Число недействительных избирательных бюллетеней	293	2	1	0	6	5	0	0	0	4	7	4	0	0	0	0	0	0	51	0	4	0	0	0	0	0	0	0	1	0	4	0	51	8	32	0	0	0	0	0	35	0	11	24	0	20	9	0	0	1	5	5	3	0									
10	Число действительных избирательных бюллетеней	43251	484	787	323	202	615	460	228	103	509	110	172	108	498	1469	275	1323	732	1658	1222	90	695	1434	1849	2250	1960	1051	718	570	250	270	1083	645	1063	1230	1634	1950	1773	1035	1086	1244	903	602	850	875	900	425	287	143	214	970	318	1027	579									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	220	4	4	3	3	4	4	3	3	4	3	4	3	4	6	3	6	4	6	5	3	4	5	6	6	6	5	4	4	3	3	4	3	4	4	4	6	6	4	4	5	5	4	4	4	4	3	3	3	5	4	4	4	4									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	220	4	4	3	3	4	4	3	3	4	3	4	3	4	6	3	6	4	6	5	3	4	5	6	6	6	5	4	4	3	3	4	3	4	4	4	6	6	4	4	5	5	4	4	4	4	3	3	3	5	4	4	4	4									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	275	8	0	0	0	0	13	0	0	0	0	26	0	0	0	3	68	0	36	0	0	0	0	8	0	0	4	2	2	1	0	0	0	3	12	0	0	0	0	41	11	0	20	0	0	0	1	0	0	0	0	4	1	11									
		0.63%	1.65%	0.00%	0.00%	0.00%	0.00%	2.83%	0.00%	0.00%	0.00%	0.00%	14.77%	0.00%	0.00%	0.00%	1.09%	5.14%	0.00%	2.11%	0.00%	0.00%	0.00%	0.00%	0.43%	0.00%	0.00%	0.38%	0.28%	0.35%	0.40%	0.00%	0.00%	0.00%	0.28%	0.95%	0.00%	0.00%	0.00%	0.00%	3.78%	0.86%	0.00%	3.26%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	1.24%	0.10%	1.90%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	330	6	0	0	0	0	7	3	2	5	2	15	0	0	0	1	26	0	0	0	0	0	0	7	0	0	10	5	3	0	0	0	0	8	59	0	0	0	0	9	5	100	6	0	0	16	4	0	10	0	5	7	4	5									
		0.76%	1.23%	0.00%	0.00%	0.00%	0.00%	1.52%	1.32%	1.94%	0.97%	1.71%	8.52%	0.00%	0.00%	0.00%	0.36%	1.97%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.38%	0.00%	0.00%	0.95%	0.70%	0.53%	0.00%	0.00%	0.00%	0.00%	0.75%	4.68%	0.00%	0.00%	0.00%	0.00%	0.83%	0.39%	11.07%	0.98%	0.00%	0.00%	1.74%	0.92%	0.00%	6.99%	0.00%	0.51%	2.17%	0.39%	0.86%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	109	0	0	0	0	0	5	0	4	0	0	4	0	0	0	1	16	0	3	0	0	0	0	24	0	0	4	0	0	0	0	0	0	3	0	0	8	0	0	2	5	0	11	0	0	0	0	7	0	0	11	0	1	0									
		0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	1.09%	0.00%	3.88%	0.00%	0.00%	2.27%	0.00%	0.00%	0.00%	0.36%	1.21%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	1.30%	0.00%	0.00%	0.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.00%	0.00%	0.41%	0.00%	0.00%	0.18%	0.39%	0.00%	1.79%	0.00%	0.00%	0.00%	0.00%	2.44%	0.00%	0.00%	1.13%	0.00%	0.10%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	34473	393	594	203	120	600	277	195	91	500	100	63	76	294	1400	171	1085	443	1312	978	84	417	1290	1582	2100	1960	592	445	327	153	185	586	361	917	525	1610	1926	1773	1035	955	660	698	405	765	565	836	395	276	105	214	505	217	672	442									
		79.17%	80.86%	75.38%	62.85%	57.69%	96.77%	60.22%	85.53%	88.35%	97.47%	85.47%	35.80%	70.37%	59.04%	95.30%	62.18%	82.01%	60.52%	76.77%	80.03%	89.36%	60.00%	89.96%	85.56%	93.33%	100.00%	56.33%	61.98%	57.27%	61.20%	67.52%	54.11%	51.87%	85.62%	41.60%	98.53%	98.77%	100.00%	100.00%	87.94%	51.60%	77.30%	66.07%	87.53%	64.57%	90.87%	91.01%	96.17%	73.43%	99.53%	51.79%	67.18%	65.24%	76.34%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	42	0	0	0	0	0	0	0	0	0	1	5	0	0	0	2	0	2	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	5	0	7	0	0	0	1	0	0	0	5	0	0	2									
		0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.85%	2.84%	0.00%	0.00%	0.00%	0.73%	0.00%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.43%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.09%	0.08%	0.00%	0.00%	0.00%	0.00%	0.18%	0.39%	0.00%	1.14%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.51%	0.00%	0.00%	0.35%									
24	"6. Политическая партия ""Гражданская Платформа"""	24	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	2	0	8	0	0	0	2	0	0	0	0	0	0	1									
		0.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.48%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	1.31%	0.00%	0.00%	0.00%	0.46%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	99	11	0	0	0	0	10	0	0	0	0	3	0	0	0	1	3	0	4	0	0	0	0	8	0	0	2	1	5	0	0	0	0	10	8	0	0	0	0	8	2	0	2	0	0	0	5	0	0	0	0	3	0	13									
		0.23%	2.26%	0.00%	0.00%	0.00%	0.00%	2.17%	0.00%	0.00%	0.00%	0.00%	1.70%	0.00%	0.00%	0.00%	0.36%	0.23%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.43%	0.00%	0.00%	0.19%	0.14%	0.88%	0.00%	0.00%	0.00%	0.00%	0.93%	0.63%	0.00%	0.00%	0.00%	0.00%	0.74%	0.16%	0.00%	0.33%	0.00%	0.00%	0.00%	1.15%	0.00%	0.00%	0.00%	0.00%	0.93%	0.00%	2.25%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	13	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	3	0	0	0	0	0	0	0	0	0	0	2									
		0.03%	0.00%	0.00%	0.00%	0.00%	0.00%	0.65%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.08%	0.00%	0.49%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.35%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	5	0	0	5	0	0	0	0	0	0	27	55	16	10	0	0	3	1	0	0	0	0	0	6	0	0	0	10	1	0	38									
		0.43%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.82%	0.00%	0.00%	0.00%	0.27%	0.00%	0.00%	0.48%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.52%	4.36%	0.98%	0.51%	0.00%	0.00%	0.28%	0.08%	0.00%	0.00%	0.00%	0.00%	0.00%	1.38%	0.00%	0.00%	0.00%	1.03%	0.31%	0.00%	6.56%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	54	0	6	0	0	1	1	0	11	0	0	0	0	0	0	0	0	0	0	5									
		0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.73%	0.15%	0.00%	0.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.35%	0.00%	0.00%	0.00%	0.00%	0.09%	4.28%	0.00%	0.31%	0.00%	0.00%	0.09%	0.08%	0.00%	1.79%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.86%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	80	8	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	12	0	0	3	0	3	3	0	0	0	0	5	0	0	0	0	3	0	0	1	0	0	0	1	0	2	0	34	0	0	2									
		0.18%	1.65%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.36%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.65%	0.00%	0.00%	0.29%	0.00%	0.53%	1.20%	0.00%	0.00%	0.00%	0.00%	0.40%	0.00%	0.00%	0.00%	0.00%	0.28%	0.00%	0.00%	0.16%	0.00%	0.00%	0.00%	0.23%	0.00%	1.40%	0.00%	3.49%	0.00%	0.00%	0.35%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	4495	40	193	33	35	15	35	19	4	0	7	28	32	102	69	60	79	103	174	128	6	150	0	165	150	0	130	201	189	90	50	426	284	52	360	0	0	0	0	28	55	105	61	40	310	32	10	1	0	0	285	78	52	29									
		10.32%	8.23%	24.49%	10.22%	16.83%	2.42%	7.61%	8.33%	3.88%	0.00%	5.98%	15.91%	29.63%	20.48%	4.70%	21.82%	5.97%	14.07%	10.18%	10.47%	6.38%	21.58%	0.00%	8.92%	6.67%	0.00%	12.37%	27.99%	33.10%	36.00%	18.25%	39.34%	40.80%	4.86%	28.53%	0.00%	0.00%	0.00%	0.00%	2.58%	4.30%	11.63%	9.95%	4.58%	35.43%	3.48%	2.30%	0.35%	0.00%	0.00%	29.23%	24.15%	5.05%	5.01%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	118	5	0	0	0	0	3	0	0	0	0	4	0	0	0	0	2	3	2	4	0	0	0	2	0	0	1	3	0	1	0	0	0	6	59	0	0	0	0	3	1	0	2	0	0	0	0	0	4	0	10	2	1	0									
		0.27%	1.03%	0.00%	0.00%	0.00%	0.00%	0.65%	0.00%	0.00%	0.00%	0.00%	2.27%	0.00%	0.00%	0.00%	0.00%	0.15%	0.41%	0.12%	0.33%	0.00%	0.00%	0.00%	0.11%	0.00%	0.00%	0.10%	0.42%	0.00%	0.40%	0.00%	0.00%	0.00%	0.56%	4.68%	0.00%	0.00%	0.00%	0.00%	0.28%	0.08%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	2.80%	0.00%	1.03%	0.62%	0.10%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2920	13	0	87	47	0	107	11	2	4	0	22	0	102	0	33	40	181	125	102	0	128	144	25	0	0	300	61	39	2	35	71	0	35	86	8	0	0	0	28	495	0	65	45	0	16	0	3	22	0	105	6	296	29									
		6.71%	2.67%	0.00%	26.93%	22.60%	0.00%	23.26%	4.82%	1.94%	0.78%	0.00%	12.50%	0.00%	20.48%	0.00%	12.00%	3.02%	24.73%	7.31%	8.35%	0.00%	18.42%	10.04%	1.35%	0.00%	0.00%	28.54%	8.50%	6.83%	0.80%	12.77%	6.56%	0.00%	3.27%	6.81%	0.49%	0.00%	0.00%	0.00%	2.58%	38.70%	0.00%	10.60%	5.15%	0.00%	1.74%	0.00%	1.05%	15.38%	0.00%	10.77%	1.86%	28.74%	5.01%									
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
