Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																										
Дата голосования: 07.12.2003 0:00:00																																																										
																																																										
Наименование Избирательной комиссии:    Чистопольская городская																																																										
																																																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																										
																																																										
		Сумма	УИК  2804	УИК  2805	УИК  2806	УИК  2807	УИК  2808	УИК  2809	УИК  2810	УИК  2811	УИК  2812	УИК  2813	УИК  2814	УИК  2815	УИК  2816	УИК  2817	УИК  2818	УИК  2819	УИК  2820	УИК  2821	УИК  2822	УИК  2823	УИК  2824	УИК  2825	УИК  2826	УИК  2827	УИК  2828	УИК  2829	УИК  2830	УИК  2831	УИК  2832	УИК  2833	УИК  2834	УИК  2835	УИК  2836	УИК  2837	УИК  2838	УИК  2839	УИК  2840	УИК  2841	УИК  2842	УИК  2843	УИК  2844	УИК  2845	УИК  2846	УИК  2847	УИК  2848	УИК  2849	УИК  2850	УИК  2851	УИК  2852	УИК  2853	УИК  2854					
1	"Число избирателей, внесенных в списки"	49778	1040	1590	1249	1207	1013	795	54	1027	1140	1045	1083	1106	61	686	151	1065	1388	1297	1184	883	1140	1069	1251	1225	1017	1050	907	1119	922	1069	931	1110	977	1216	1098	1220	1105	15	1307	1185	986	983	1105	1241	1196	900	151	1026	1091	557	545					
2	"Число бюллетеней, полученных участковыми комиссиями"	45928	960	1430	1230	1090	1040	750	82	930	1040	940	990	1010	60	650	202	990	1270	1170	1080	800	1020	1020	1120	1120	940	960	840	1030	850	990	890	1030	910	1140	990	1110	1010	82	1190	1070	930	870	990	1130	1100	820	202	930	970	460	500					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	31706	723	864	1048	688	979	446	54	652	959	782	675	632	45	365	151	598	832	647	749	561	746	634	766	767	614	676	618	652	550	549	579	651	477	755	672	780	709	15	842	743	487	618	722	881	847	654	144	612	725	349	422					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1682	21	18	66	33	26	20	0	25	23	15	53	51	0	21	0	53	29	84	27	59	38	56	22	29	37	45	41	44	32	48	55	47	79	24	33	26	27	0	63	29	26	38	36	24	31	16	0	22	10	54	26					
6	Число погашенных бюллетеней	12540	216	548	116	369	35	284	28	253	58	143	262	327	15	264	51	339	409	439	304	180	236	330	332	324	289	239	181	334	268	393	256	332	354	361	285	304	274	67	285	298	417	214	232	225	222	150	58	296	235	57	52					
7	Число бюллетеней в переносных ящиках для голосования	1682	21	18	66	33	26	20	0	25	23	15	53	51	0	21	0	53	29	84	27	59	38	56	22	29	37	45	41	44	32	48	55	47	79	24	33	26	27	0	63	29	26	38	36	24	31	16	0	22	10	54	26					
8	Число бюллетеней в стационарных ящиках для голосования	31699	723	864	1048	688	979	446	54	652	959	782	675	632	45	365	151	598	832	647	749	561	746	634	762	767	614	676	618	652	550	549	579	651	477	755	672	780	709	15	842	743	487	618	722	880	845	654	144	612	725	349	422					
9	Число недействительных бюллетеней	381	10	9	0	6	48	6	0	2	7	0	3	13	0	10	0	4	4	5	18	12	17	3	12	8	15	21	2	5	8	9	4	2	6	16	2	0	5	0	10	9	2	0	5	8	3	15	3	1	9	1	23					
10	Число действительных бюллетеней	33000	734	873	1114	715	957	460	54	675	975	797	725	670	45	376	151	647	857	726	758	608	767	687	772	788	636	700	657	691	574	588	630	696	550	763	703	806	731	15	895	763	511	656	753	896	873	655	141	633	726	402	425					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	899	25	21	25	25	10	25	0	25	25	25	25	25	0	10	0	10	25	25	25	25	25	25	25	25	25	25	10	25	25	25	18	10	10	17	25	20	10	0	15	25	10	10	18	25	25	10	0	10	10	10	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	556	19	20	15	16	10	13	0	11	12	19	7	12	0	7	0	8	15	13	13	6	12	16	10	14	17	17	10	14	10	19	10	6	9	17	11	14	9	0	6	20	8	9	15	10	20	6	0	7	10	4	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	405	7	4	1	1	8	1	37	1	2	3	1	11	1	5	101	1	3	4	1	2	0	1	10	2	0	2	7	3	1	1	2	1	0	3	2	0	6	15	2	6	0	1	4	4	0	2	126	2	2	0	5					
14	Число погашенных открепительных удостоверений	343	6	1	10	9	0	12	0	14	13	6	18	13	0	3	0	2	10	12	12	19	13	9	15	11	8	8	0	11	15	6	8	4	1	0	14	6	1	0	9	5	2	1	3	15	5	4	0	3	0	6	0					
15	Число открепительных удостоверений выданных ТИК	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																										
18	"1. ""ЕДИНЕНИЕ"""	477	11	13	12	11	8	8	2	1	5	16	10	10	1	4	0	8	9	10	10	6	15	11	12	8	16	13	1	13	8	11	22	18	10	10	14	6	7	0	17	7	16	6	13	7	4	10	2	11	20	6	8					
		1.42%	1.47%	1.47%	1.07%	1.52%	0.79%	1.71%	3.70%	0.14%	0.50%	2.00%	1.37%	1.46%	2.22%	1.03%	0.0%	1.22%	1.04%	1.36%	1.28%	0.96%	1.91%	1.59%	1.53%	1.00%	2.45%	1.80%	0.15%	1.86%	1.37%	1.84%	3.47%	2.57%	1.79%	1.28%	1.98%	0.74%	0.95%	0.0%	1.87%	0.90%	3.11%	0.91%	1.71%	0.77%	0.45%	1.49%	1.38%	1.73%	2.72%	1.48%	1.78%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	318	9	8	13	4	7	3	0	8	7	8	5	11	0	2	0	10	6	5	3	6	11	3	16	4	5	10	3	3	1	7	7	7	2	6	5	2	9	0	4	9	3	5	4	18	20	13	0	14	7	3	2					
		0.95%	1.20%	0.90%	1.16%	0.55%	0.69%	0.64%	0.0%	1.18%	0.71%	1.00%	0.68%	1.61%	0.0%	0.51%	0.0%	1.53%	0.69%	0.68%	0.38%	0.96%	1.40%	0.43%	2.04%	0.50%	0.76%	1.38%	0.45%	0.43%	0.17%	1.17%	1.10%	1.00%	0.35%	0.77%	0.70%	0.24%	1.22%	0.0%	0.44%	1.16%	0.58%	0.76%	0.52%	1.99%	2.28%	1.94%	0.0%	2.20%	0.95%	0.74%	0.44%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	718	15	20	14	21	19	17	0	14	6	17	18	26	0	11	2	9	16	18	19	19	13	9	15	19	23	15	9	15	14	11	7	11	7	24	14	9	18	0	22	33	6	17	23	14	17	11	0	8	32	5	16					
		2.15%	2.01%	2.26%	1.25%	2.91%	1.89%	3.64%	0.0%	2.06%	0.61%	2.13%	2.47%	3.80%	0.0%	2.84%	1.32%	1.38%	1.85%	2.46%	2.44%	3.06%	1.65%	1.30%	1.91%	2.38%	3.53%	2.08%	1.36%	2.15%	2.40%	1.84%	1.10%	1.57%	1.25%	3.08%	1.98%	1.11%	2.44%	0.0%	2.43%	4.27%	1.16%	2.59%	3.03%	1.54%	1.94%	1.64%	0.0%	1.26%	4.35%	1.24%	3.57%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	1432	31	54	27	49	32	14	1	36	39	33	34	32	0	12	0	11	35	21	18	16	8	29	20	41	29	21	25	43	32	31	12	16	20	26	34	36	39	0	44	37	17	51	55	36	65	30	6	35	55	31	13					
		4.28%	4.16%	6.12%	2.42%	6.79%	3.18%	3.00%	1.85%	5.31%	3.97%	4.14%	4.67%	4.68%	0.0%	3.10%	0.0%	1.68%	4.06%	2.87%	2.31%	2.58%	1.02%	4.20%	2.55%	5.15%	4.45%	2.91%	3.79%	6.17%	5.49%	5.19%	1.89%	2.29%	3.59%	3.33%	4.82%	4.46%	5.29%	0.0%	4.86%	4.79%	3.31%	7.77%	7.25%	3.98%	7.42%	4.47%	4.16%	5.52%	7.48%	7.69%	2.90%					
22	"5. ""За Русь Святую"""	196	5	4	0	3	5	6	0	8	1	13	5	8	1	2	0	13	5	1	2	2	5	4	4	2	4	5	3	1	1	3	10	5	1	1	2	8	8	1	6	5	6	4	4	4	2	6	0	4	1	0	2					
		0.58%	0.67%	0.45%	0.0%	0.41%	0.49%	1.28%	0.0%	1.18%	0.10%	1.63%	0.68%	1.17%	2.22%	0.51%	0.0%	1.99%	0.58%	0.13%	0.25%	0.32%	0.63%	0.57%	0.51%	0.25%	0.61%	0.69%	0.45%	0.14%	0.17%	0.50%	1.57%	0.71%	0.17%	0.12%	0.28%	0.99%	1.08%	6.66%	0.66%	0.64%	1.16%	0.60%	0.52%	0.44%	0.22%	0.89%	0.0%	0.63%	0.13%	0.0%	0.44%					
