Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																						
Дата голосования: 18.09.2016																																						
																																						
Наименование Избирательной комиссии:    Опочецкая																																						
																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																						
																																						
		Сумма	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	15382	733	1511	1601	1282	1496	1214	676	675	577	391	205	348	887	454	243	171	150	174	235	221	338	241	244	344	435	212	324									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	14400	700	1500	1500	1200	1450	1100	600	600	500	350	200	300	800	400	250	150	150	150	250	200	300	250	250	350	400	200	300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4830	239	577	484	355	442	294	250	188	182	218	60	124	259	83	70	58	69	67	54	76	171	86	73	102	104	63	82									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1225	9	27	29	15	28	15	7	3	16	14	43	29	101	146	54	33	20	8	68	57	76	69	79	65	90	44	80									
6	Число погашенных избирательных бюллетеней	8345	452	896	987	830	980	791	343	409	302	118	97	147	440	171	126	59	61	75	128	67	53	95	98	183	206	93	138									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1225	9	27	29	15	28	15	7	3	16	14	43	29	101	146	54	33	20	8	68	57	76	69	79	65	90	44	80									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4828	239	577	484	355	441	294	250	188	182	218	60	124	258	83	70	58	69	67	54	76	171	86	73	102	104	63	82									
9	Число недействительных избирательных бюллетеней	140	4	6	11	5	17	8	5	3	5	12	3	1	8	1	4	0	0	0	0	3	31	3	1	0	4	0	5									
10	Число действительных избирательных бюллетеней	5913	244	598	502	365	452	301	252	188	193	220	100	152	351	228	120	91	89	75	122	130	216	152	151	167	190	107	157									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	280	15	25	20	15	20	15	15	10	10	5	5	5	10	10	5	10	10	5	5	10	5	5	10	10	10	5	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	44	5	4	11	1	6	2	3	1	2	0	1	1	2	0	0	0	0	1	0	2	0	0	0	0	0	0	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	54	3	6	9	3	3	2	0	1	3	0	0	0	2	2	0	2	2	0	1	0	1	0	2	9	1	2	0									
14	Число погашенных неиспользованных открепительных удостоверений	236	10	21	9	14	14	13	12	9	8	5	4	4	8	10	5	10	10	4	5	8	5	5	10	10	10	5	8									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	12	0	3	3	1	0	1	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	86	5	5	4	3	5	5	4	7	1	4	0	1	10	1	0	1	1	0	3	0	16	1	5	1	1	0	2									
		1.42%	2.02%	0.83%	0.78%	0.81%	1.07%	1.62%	1.56%	3.66%	0.51%	1.72%	0.00%	0.65%	2.79%	0.44%	0.00%	1.10%	1.12%	0.00%	2.46%	0.00%	6.48%	0.65%	3.29%	0.60%	0.52%	0.00%	1.23%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	192	9	12	15	12	17	6	16	8	11	13	0	3	13	9	3	5	1	3	1	1	10	6	3	3	4	5	3									
		3.17%	3.63%	1.99%	2.92%	3.24%	3.62%	1.94%	6.23%	4.19%	5.56%	5.60%	0.00%	1.96%	3.62%	3.93%	2.42%	5.49%	1.12%	4.00%	0.82%	0.75%	4.05%	3.87%	1.97%	1.80%	2.06%	4.67%	1.85%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	123	8	19	12	12	6	6	4	3	3	6	3	1	5	3	2	2	2	3	5	2	6	0	5	1	0	0	4									
		2.03%	3.23%	3.15%	2.34%	3.24%	1.28%	1.94%	1.56%	1.57%	1.52%	2.59%	2.91%	0.65%	1.39%	1.31%	1.61%	2.20%	2.25%	4.00%	4.10%	1.50%	2.43%	0.00%	3.29%	0.60%	0.00%	0.00%	2.47%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2946	115	268	240	168	225	142	103	79	101	126	59	85	161	114	61	48	62	38	73	76	103	86	71	97	121	45	79									
		48.67%	46.37%	44.37%	46.78%	45.41%	47.97%	45.95%	40.08%	41.36%	51.01%	54.31%	57.28%	55.56%	44.85%	49.78%	49.19%	52.75%	69.66%	50.67%	59.84%	57.14%	41.70%	55.48%	46.71%	58.08%	62.37%	42.06%	48.77%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	45	2	7	3	6	3	4	2	1	0	0	0	1	1	1	5	0	0	0	0	1	4	0	1	1	1	0	1									
		0.74%	0.81%	1.16%	0.58%	1.62%	0.64%	1.29%	0.78%	0.52%	0.00%	0.00%	0.00%	0.65%	0.28%	0.44%	4.03%	0.00%	0.00%	0.00%	0.00%	0.75%	1.62%	0.00%	0.66%	0.60%	0.52%	0.00%	0.62%									
24	"6. Политическая партия ""Гражданская Платформа"""	10	3	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	1	0									
		0.17%	1.21%	0.00%	0.00%	0.27%	0.00%	0.00%	0.39%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.44%	0.00%	0.00%	0.00%	0.00%	0.00%	0.75%	0.00%	0.65%	0.00%	0.60%	0.00%	0.93%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	867	29	87	67	71	50	44	30	41	22	32	14	23	57	44	22	12	7	13	16	16	22	31	25	18	27	19	28									
		14.32%	11.69%	14.40%	13.06%	19.19%	10.66%	14.24%	11.67%	21.47%	11.11%	13.79%	13.59%	15.03%	15.88%	19.21%	17.74%	13.19%	7.87%	17.33%	13.11%	12.03%	8.91%	20.00%	16.45%	10.78%	13.92%	17.76%	17.28%									
