Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																															
Дата голосования: 07.12.2003 0:00:00																															
																															
Наименование Избирательной комиссии:    Нейская																															
																															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																															
																															
		Сумма	УИК №393	УИК №394	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439					
1	"Число избирателей, внесенных в списки"	14038	793	696	210	105	249	383	616	58	172	406	206	249	730	258	246	673	190	1425	1431	1329	1507	1305	427	374					
2	"Число бюллетеней, полученных участковыми комиссиями"	14072	798	688	220	104	252	384	626	55	170	413	202	256	740	275	255	660	198	1425	1410	1350	1480	1307	434	370					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	7975	407	465	139	61	163	193	369	46	100	263	130	145	447	158	142	415	115	785	730	742	863	663	232	202					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	687	26	21	12	24	26	43	41	4	0	18	17	32	49	59	14	43	29	44	38	22	51	30	18	26					
6	Число погашенных бюллетеней	5410	365	202	69	19	63	148	216	5	70	132	55	79	244	58	99	202	54	596	642	586	566	614	184	142					
7	Число бюллетеней в переносных ящиках для голосования	687	26	21	12	24	26	43	41	4	0	18	17	32	49	59	14	43	29	44	38	22	51	30	18	26					
8	Число бюллетеней в стационарных ящиках для голосования	7974	407	465	139	61	163	193	369	46	100	263	130	145	447	158	142	415	115	785	729	742	863	663	232	202					
9	Число недействительных бюллетеней	82	7	11	1	0	0	0	2	0	3	1	1	1	11	3	2	4	1	6	3	10	5	5	3	2					
10	Число действительных бюллетеней	8579	426	475	150	85	189	236	408	50	97	280	146	176	485	214	154	454	143	823	764	754	909	688	247	226					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	180	9	10	3	1	3	5	7	1	2	5	2	6	8	3	6	7	3	17	20	14	22	16	5	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	63	3	10	0	0	1	3	2	0	0	1	0	3	8	3	4	1	2	6	6	1	3	3	2	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	44	2	6	0	0	0	4	0	1	1	0	1	0	1	0	1	0	0	2	2	10	6	6	1	0					
14	Число погашенных открепительных удостоверений	117	6	0	3	1	2	2	5	1	2	4	2	3	0	0	2	6	1	11	14	13	19	13	3	4					
15	Число открепительных удостоверений выданных ТИК	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
