Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																	
Дата голосования: 18.09.2016																																																																																	
																																																																																	
Наименование Избирательной комиссии:    Территориальная избирательная комиссия №23																																																																																	
																																																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																	
																																																																																	
		Сумма	УИК №2035	УИК №2036	УИК №2037	УИК №2038	УИК №2039	УИК №2040	УИК №2041	УИК №2042	УИК №2043	УИК №2044	УИК №2045	УИК №2046	УИК №2047	УИК №2048	УИК №2049	УИК №2050	УИК №2051	УИК №2052	УИК №2053	УИК №2054	УИК №2055	УИК №2056	УИК №2057	УИК №2058	УИК №2059	УИК №2060	УИК №2061	УИК №2062	УИК №2063	УИК №2064	УИК №2065	УИК №2066	УИК №2067	УИК №2068	УИК №2069	УИК №2070	УИК №2071	УИК №2072	УИК №2073	УИК №2074	УИК №2075	УИК №2076	УИК №2077	УИК №2078	УИК №2079	УИК №2080	УИК №2081	УИК №2082	УИК №2083	УИК №2084	УИК №2085	УИК №2086	УИК №2087	УИК №2088	УИК №2089	УИК №2090	УИК №2091	УИК №2092	УИК №2093	УИК №2094	УИК №2095	УИК №2096	УИК №2097	УИК №2098	УИК №2099	УИК №2100	УИК №2101	УИК №2102	УИК №8050	УИК №8317									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	140386	1935	2313	2387	2287	1344	2024	1400	2061	1537	1557	1696	2038	2217	1417	2471	2248	2591	2558	2440	2542	2038	2219	1972	2496	2365	1500	1644	2085	2052	2258	2426	2075	2413	2051	2098	1698	1764	1879	2100	1728	1581	1576	2257	2652	2610	2730	2034	2191	1942	1902	2353	2164	2780	2039	1934	2283	2017	1987	1987	2060	2253	1974	2278	1973	2248	2155	468	525	949	560									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	166500	1500	2000	2000	2000	1000	1500	1000	2000	1100	1500	1500	2000	2000	1000	2000	2000	2500	2500	2000	2500	2000	2000	1500	2500	2000	1100	1500	2000	2000	2000	2000	2000	2000	2000	2000	1500	1500	1500	2000	1500	1500	1500	2000	2500	2500	2500	2000	2000	1500	1500	2000	2000	2500	2000	1500	2000	2000	1500	1500	2000	2000	1500	2000	1500	2000	2000	1000	3000	14400	26400									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	189	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	42180	475	510	583	537	333	464	397	562	425	472	514	543	646	427	695	646	739	783	682	776	502	664	554	782	1177	459	520	649	552	571	707	561	670	538	658	461	535	582	560	555	479	523	653	825	799	797	583	619	615	570	736	655	736	601	505	725	619	617	579	574	718	513	635	590	724	646	244	525	751	558									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	847	10	5	12	11	2	54	6	5	6	8	3	11	5	4	5	20	12	8	11	11	7	9	20	9	13	12	1	14	9	11	11	8	8	9	12	6	9	16	8	13	6	12	15	10	10	16	6	5	10	11	15	11	15	15	11	7	13	7	10	14	15	13	8	9	14	14	130	0	9	2									
6	Число погашенных избирательных бюллетеней	123284	1015	1485	1405	1452	665	982	597	1433	669	1020	983	1446	1349	569	1300	1334	1749	1709	1307	1713	1491	1327	926	1709	810	629	979	1337	1439	1418	1282	1431	1322	1453	1330	1033	956	902	1432	932	1015	965	1332	1665	1691	1687	1411	1376	875	919	1249	1334	1749	1384	984	1268	1368	876	911	1412	1267	974	1357	901	1262	1340	626	2475	13451	25840									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1035	10	5	12	11	2	54	6	5	6	8	3	11	5	4	5	20	12	8	11	11	7	9	20	9	13	12	1	14	9	11	11	8	8	9	12	6	9	16	8	13	6	12	15	10	10	16	6	5	10	11	15	11	15	15	11	7	13	7	10	14	15	13	8	9	14	14	129	0	198	2									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	41981	475	509	576	537	333	463	391	562	419	472	514	542	646	427	682	646	736	777	678	765	502	659	532	781	1177	443	520	649	548	571	704	559	667	538	658	461	535	581	555	553	479	523	649	817	799	797	583	619	615	570	728	640	736	601	505	723	606	610	579	573	703	513	633	589	724	646	244	525	751	558									
9	Число недействительных избирательных бюллетеней	933	7	14	14	8	7	19	6	13	6	6	9	18	22	1	19	0	18	24	17	20	9	4	19	27	25	9	10	18	6	24	18	15	12	12	13	12	24	14	14	11	0	18	9	13	26	6	12	19	10	6	16	13	6	16	15	11	26	12	9	18	12	11	14	17	29	14	14	9	4	4									
10	Число действительных избирательных бюллетеней	42083	478	500	574	540	328	498	391	554	419	474	508	535	629	430	668	666	730	761	672	756	500	664	533	763	1165	446	511	645	551	558	697	552	663	535	657	455	520	583	549	555	485	517	655	814	783	807	577	605	615	575	727	638	745	600	501	719	593	605	580	569	706	515	627	581	709	646	359	516	945	556									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2675	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	0	0	20	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1160	16	19	26	16	14	15	12	12	12	8	11	18	12	9	8	18	28	15	21	20	10	22	17	28	17	7	15	21	12	23	21	18	20	16	23	21	22	29	16	13	10	14	20	19	25	21	15	15	15	15	20	22	32	11	12	23	15	18	18	18	31	22	16	20	14	18	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1006	21	18	31	34	21	9	13	15	18	4	8	5	5	24	12	14	21	55	13	27	11	10	7	17	15	16	14	14	11	15	13	12	12	6	13	29	23	16	9	11	11	12	22	19	12	16	28	23	12	9	9	9	13	7	5	11	26	7	15	5	26	9	6	11	4	13	3	10	9	2									
14	Число погашенных неиспользованных открепительных удостоверений	1515	24	21	14	24	26	25	28	28	28	32	29	22	28	31	32	22	12	25	19	20	30	18	23	12	23	33	25	19	28	17	19	22	20	24	17	19	18	11	24	27	30	26	20	21	15	19	25	25	25	25	20	18	8	29	28	17	25	22	22	22	9	18	24	20	26	22	0	0	20	15									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	142	2	0	3	1	2	1	1	1	0	0	2	5	1	2	2	3	6	3	6	1	0	1	1	3	3	4	1	5	3	0	1	7	0	2	1	0	4	2	3	2	3	2	5	2	6	3	1	2	1	0	2	2	3	5	1	2	3	1	3	0	0	0	0	2	5	3	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
