Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																							
Дата голосования: 18.09.2016																																							
																																							
Наименование Избирательной комиссии:    Котовская																																							
																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																							
																																							
		Сумма	УИК №2301	УИК №2302	УИК №2303	УИК №2304	УИК №2305	УИК №2306	УИК №2307	УИК №2308	УИК №2309	УИК №2310	УИК №2311	УИК №2312	УИК №2313	УИК №2314	УИК №2315	УИК №2316	УИК №2317	УИК №2318	УИК №2319	УИК №2320	УИК №2321	УИК №2322	УИК №2323	УИК №2324	УИК №2325	УИК №2326	УИК №2327	УИК №2328									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	28182	3036	2811	2824	3000	2825	2759	2972	579	109	485	126	390	764	223	80	279	69	175	749	663	181	889	119	190	179	853	699	154									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	28210	3007	2807	2800	2943	2770	2747	2937	585	112	530	81	385	761	230	162	286	69	372	742	660	181	889	114	184	174	828	706	148									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	10895	968	1066	1266	1250	1123	944	859	251	53	192	60	164	303	58	72	117	24	131	377	268	60	371	70	87	86	388	214	73									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	965	62	73	59	162	33	22	39	30	9	20	10	22	28	21	8	13	1	44	81	38	8	22	6	12	6	31	90	15									
6	Число погашенных избирательных бюллетеней	16350	1977	1668	1475	1531	1614	1781	2039	304	50	318	11	199	430	151	82	156	44	197	284	354	113	496	38	85	82	409	402	60									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	965	62	73	59	162	33	22	39	30	9	20	10	22	28	21	8	13	1	44	81	38	8	22	6	12	6	31	90	15									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	10806	968	1066	1207	1250	1123	944	857	251	53	192	60	164	275	58	72	117	24	131	377	268	60	371	70	87	86	388	214	73									
9	Число недействительных избирательных бюллетеней	227	17	17	36	21	27	14	21	7	0	5	1	3	5	0	4	0	0	4	5	10	1	8	3	0	6	10	2	0									
10	Число действительных избирательных бюллетеней	11544	1013	1122	1230	1391	1129	952	875	274	62	207	69	183	298	79	76	130	25	171	453	296	67	385	73	99	86	409	302	88									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	350	40	35	35	40	35	35	40	7	3	5	2	4	6	4	3	3	2	4	7	5	2	8	3	3	3	7	6	3									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	69	5	7	9	10	7	4	6	0	0	3	2	0	0	0	0	1	0	1	3	1	0	2	0	0	3	5	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	50	2	1	3	2	8	9	1	1	0	2	1	1	4	0	0	0	0	0	5	1	1	1	0	0	3	4	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	281	35	28	26	30	28	31	34	7	3	2	0	4	6	4	3	2	2	3	4	4	2	6	3	3	0	2	6	3									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	19	1	3	0	0	4	5	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	126	5	15	18	20	20	7	11	3	2	0	0	1	4	0	2	1	1	1	3	1	0	2	1	0	1	2	5	0									
