Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва														
Дата голосования: 02.12.2007														
														
Наименование Избирательной комиссии:    Пенжинская														
														
Сводная таблица результатов выборов														
														
		Сумма	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210					
1	"Число избирателей, внесенных в списки избирателей"	1895	55	659	185	497	55	260	184					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	1765	50	615	182	437	51	250	180					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	29	0	13	1	0	0	13	2					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	1315	49	398	151	360	45	170	142					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	50	0	18	6	15	2	6	3					
6	Число погашенных избирательных бюллетеней	371	1	186	24	62	4	61	33					
7	Число избирательных бюллетеней в переносных ящиках для голосования	79	0	31	7	15	2	19	5					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	1314	49	398	151	359	45	170	142					
9	Число недействительных избирательных бюллетеней	41	3	19	3	2	2	7	5					
10	Число действительных избирательных бюллетеней	1352	46	410	155	372	45	182	142					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	78	0	25	10	23	0	10	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	20	0	8	0	12	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	9	0	0	0	2	7	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	58	0	17	10	11	0	10	10					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	2	0	0	0	2	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0					
														
18	1.Политическая партия «Аграрная партия России»	14	0	0	2	2	0	6	4					
		1.01%	0.00%	0.00%	1.27%	0.53%	0.00%	3.17%	2.72%					
19	2.Всероссийская политическая партия «Гражданская Сила»	7	0	1	0	5	0	0	1					
		0.50%	0.00%	0.23%	0.00%	1.34%	0.00%	0.00%	0.68%					
20	3.Политическая партия «Демократическая партия России»	1	0	0	0	1	0	0	0					
		0.07%	0.00%	0.00%	0.00%	0.27%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	119	5	24	7	33	11	11	28					
		8.54%	10.20%	5.59%	4.43%	8.82%	23.40%	5.82%	19.05%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	4	0	1	0	1	1	1	0					
		0.29%	0.00%	0.23%	0.00%	0.27%	2.13%	0.53%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	0	0	0	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	110	2	33	7	43	0	15	10					
		7.90%	4.08%	7.69%	4.43%	11.50%	0.00%	7.94%	6.80%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	27	1	5	0	13	2	3	3					
		1.94%	2.04%	1.17%	0.00%	3.48%	4.26%	1.59%	2.04%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	14	0	3	3	4	0	1	3					
		1.01%	0.00%	0.70%	1.90%	1.07%	0.00%	0.53%	2.04%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	1051	38	343	136	269	31	143	91					
		75.45%	77.55%	79.95%	86.08%	71.93%	65.96%	75.66%	61.90%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	5	0	0	0	1	0	2	2					
		0.36%	0.00%	0.00%	0.00%	0.27%	0.00%	1.06%	1.36%					
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
