Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва														
Дата голосования: 04.12.2011														
														
Наименование Избирательной комиссии:    Пенжинская														
														
Сводная таблица результатов выборов														
														
		Сумма	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197					
1	"Число избирателей, внесенных в список избирателей"	1597	54	546	170	419	43	178	187					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	1797	53	581	189	479	47	240	208					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	37	0	14	6	0	0	17	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	1148	44	347	137	303	42	118	157					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	30	0	10	3	9	1	2	5					
6	Число погашенных избирательных бюллетеней	582	9	210	43	167	4	103	46					
7	Число избирательных бюллетеней в переносных ящиках для голосования	67	0	24	9	9	1	19	5					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	1148	44	347	137	303	42	118	157					
9	Число недействительных избирательных бюллетеней	12	1	7	1	0	1	1	1					
10	Число действительных избирательных бюллетеней	1203	43	364	145	312	42	136	161					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	80	5	20	10	20	5	10	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	28	0	4	5	14	0	4	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	4	0	2	0	1	0	0	1					
14	Число погашенных неиспользованных открепительных удостоверений	52	5	16	5	6	5	6	9					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0					
														
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	80	0	26	11	29	2	6	6					
		6.58%	0.00%	7.01%	7.53%	9.29%	4.65%	4.38%	3.70%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	152	3	46	15	64	3	15	6					
		12.51%	6.82%	12.40%	10.27%	20.51%	6.98%	10.95%	3.70%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	19	0	3	0	10	1	2	3					
		1.56%	0.00%	0.81%	0.00%	3.21%	2.33%	1.46%	1.85%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	103	2	28	5	45	4	12	7					
		8.48%	4.55%	7.55%	3.42%	14.42%	9.30%	8.76%	4.32%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	10	0	0	0	6	0	2	2					
		0.82%	0.00%	0.00%	0.00%	1.92%	0.00%	1.46%	1.23%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	838	38	260	114	158	32	99	137					
		68.97%	86.36%	70.08%	78.08%	50.64%	74.42%	72.26%	84.57%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	1	0	1	0	0	0	0	0					
		0.08%	0.00%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%					
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
