Выборы Президента Российской Федерации																																																																											
																																																																											
Наименование Избирательной комиссии:    Павловская																																																																											
																																																																											
Итоги голосования 																																																																											
																																																																											
		Сумма	УИК №1841	УИК №1842	УИК №1843	УИК №1844	УИК №1845	УИК №1846	УИК №1847	УИК №1848	УИК №1849	УИК №1850	УИК №1851	УИК №1852	УИК №1853	УИК №1854	УИК №1855	УИК №1856	УИК №1857	УИК №1858	УИК №1859	УИК №1860	УИК №1861	УИК №1862	УИК №1863	УИК №1864	УИК №1865	УИК №1866	УИК №1867	УИК №1868	УИК №1869	УИК №1870	УИК №1871	УИК №1872	УИК №1873	УИК №1874	УИК №1875	УИК №1876	УИК №1877	УИК №1878	УИК №1879	УИК №1880	УИК №1881	УИК №1882	УИК №1883	УИК №1884	УИК №1885	УИК №1886	УИК №1887	УИК №1888	УИК №1889	УИК №1890	УИК №1891	УИК №1892	УИК №1893	УИК №1894	УИК №1895	УИК №1896	УИК №1897	УИК №1898	УИК №1899	УИК №1900	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №1907	УИК №1908					
1	"Число избирателей, внесенных в список"	82209	1320	1790	1366	2144	1953	2139	1974	1971	959	2804	2204	1769	1689	564	1357	1812	2252	1678	1885	1813	2040	1977	1562	1802	2431	1111	1614	282	1538	1391	1372	1474	1431	1626	1338	883	998	147	2672	1488	1480	289	499	197	163	1171	468	503	167	191	239	1201	120	1083	186	775	1421	1379	590	131	1342	1210	532	72	280	196	364	1340					
2	Число полученных избирательных бюллетеней	79240	1200	1700	1300	2100	1900	2000	1900	1900	900	2700	2100	1700	1600	560	1300	1800	2200	1600	1800	1800	2000	1900	1400	1700	2300	1000	1500	500	1500	1400	1300	1400	1400	1500	1300	870	1000	145	2600	1400	1500	280	480	200	160	1100	450	490	170	200	260	1200	145	1000	185	790	1300	1300	590	135	1300	1200	520	70	280	200	360	1200					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	42936	969	1028	775	1275	1090	1204	1062	1076	390	1343	1090	909	797	281	694	943	1080	878	945	972	961	943	854	854	1117	519	840	128	719	704	727	725	737	966	708	579	613	83	1232	684	691	105	220	115	106	633	285	237	116	106	116	860	94	569	106	309	677	725	350	106	787	630	270	51	180	120	150	728					
5	"Число избирательных бюллетеней, выданных вне помещения"	4541	39	29	17	95	98	98	35	46	59	68	50	39	35	24	63	59	49	52	58	77	33	28	13	65	102	37	62	154	99	82	60	98	87	20	58	69	63	29	124	97	104	75	55	29	17	97	67	172	36	60	80	75	20	72	36	184	95	42	55	6	53	178	137	12	59	48	131	76					
6	Число погашенных избирательных бюллетеней	31763	192	643	508	730	712	698	803	778	451	1289	960	752	768	255	543	798	1071	670	797	751	1006	929	533	781	1081	444	598	218	682	614	513	577	576	514	534	222	324	33	1244	619	705	100	205	56	37	370	98	81	18	34	64	265	31	359	43	297	528	533	185	23	460	392	113	7	41	32	79	396					
7	Число избирательных бюллетеней в переносных ящиках	4541	39	29	17	95	98	98	35	46	59	68	50	39	35	24	63	59	49	52	58	77	33	28	13	65	102	37	62	154	99	82	60	98	87	20	58	69	63	29	124	97	104	75	55	29	17	97	67	172	36	60	80	75	20	72	36	184	95	42	55	6	53	178	137	12	59	48	131	76					
8	Число бюллетеней в стационарных ящиках для голосования	42929	969	1028	775	1275	1090	1202	1062	1074	390	1343	1090	909	796	281	694	943	1079	878	944	972	961	943	854	854	1117	519	840	128	719	704	727	725	737	966	708	579	613	83	1232	684	691	105	220	115	106	633	285	237	116	106	116	860	94	569	106	309	677	725	350	106	787	630	270	51	180	120	150	728					
9	Число недействительных избирательных бюллетеней	442	9	8	6	10	10	9	10	4	6	16	7	15	14	0	11	11	7	6	6	8	14	9	14	8	2	4	3	1	14	12	6	10	7	6	5	6	4	0	13	16	4	1	1	2	5	8	2	0	1	3	3	3	1	12	4	3	9	6	7	4	5	4	2	0	3	2	2	18					
10	Число действительных избирательных бюллетеней	47028	999	1049	786	1360	1178	1291	1087	1116	443	1395	1133	933	817	305	746	991	1121	924	996	1041	980	962	853	911	1217	552	899	281	804	774	781	813	817	980	761	642	672	112	1343	765	791	179	274	142	118	722	350	409	151	163	193	932	113	629	138	490	763	761	398	108	835	804	405	63	236	166	279	786					
11	Число полученных открепительных  удостоверений	787	20	20	20	15	20	20	20	20	10	20	20	20	20	10	20	20	20	20	20	20	20	20	20	20	20	20	20	0	10	10	10	10	10	10	10	5	5	5	10	5	17	5	0	5	5	10	5	5	5	5	5	5	5	5	5	5	5	10	5	5	5	6	4	5	5	5	5	20					
12	Число выданных открепительных удостоверений	310	3	9	9	10	12	13	11	8	4	10	5	5	4	2	4	10	10	13	4	12	6	17	3	0	11	4	5	0	2	2	6	2	4	1	4	5	5	0	10	2	17	0	0	0	0	6	1	3	0	0	0	2	0	3	0	2	2	7	1	0	4	6	0	1	2	1	0	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	293	5	2	3	5	9	12	5	8	3	8	22	10	1	5	8	8	3	4	9	4	3	2	5	4	10	6	10	1	3	2	6	3	1	0	5	4	3	6	5	3	0	7	0	1	1	6	4	5	2	1	3	2	5	1	2	2	2	3	3	1	5	1	2	4	3	0	3	8					
14	Число неиспользованных открепительных удостоверений	477	17	11	11	5	8	7	9	12	6	10	15	15	16	8	16	10	10	7	16	8	14	3	17	20	9	16	15	0	8	8	4	8	6	9	6	0	0	5	0	3	0	5	0	5	5	4	4	2	5	5	5	3	5	2	5	3	3	3	4	5	1	0	4	4	3	4	5	15					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																											
18	. Глазьев Сергей Юрьевич	2241	50	52	49	61	77	70	59	69	17	78	43	41	34	15	29	65	75	56	67	70	75	62	52	50	70	36	77	10	26	39	37	36	30	40	39	20	19	4	41	24	37	7	13	10	3	21	9	3	5	0	0	21	3	35	2	11	35	22	7	2	26	33	16	0	8	4	7	37					
		4.72%	4.96%	4.92%	6.19%	4.45%	6.48%	5.38%	5.38%	6.16%	3.79%	5.53%	3.77%	4.32%	4.09%	4.92%	3.83%	6.49%	6.65%	6.02%	6.69%	6.67%	7.55%	6.39%	6.00%	5.44%	5.74%	6.47%	8.54%	3.55%	3.18%	4.96%	4.70%	4.37%	3.64%	4.06%	5.09%	3.09%	2.81%	3.57%	3.02%	3.07%	4.65%	3.89%	4.73%	6.94%	2.44%	2.88%	2.56%	0.73%	3.29%	0.00%	0.00%	2.25%	2.63%	5.46%	1.41%	2.23%	4.53%	2.87%	1.73%	1.79%	3.10%	4.08%	3.93%	0.00%	3.35%	2.38%	2.49%	4.60%					
19	. Малышкин Олег Александрович	1277	28	52	61	64	30	47	37	47	22	30	46	25	27	6	17	23	29	21	14	28	19	36	29	34	20	8	21	11	19	21	4	15	15	17	18	17	14	6	24	12	16	6	5	0	4	12	6	11	1	9	7	24	0	20	3	9	18	23	6	1	26	17	9	0	2	0	7	21					
		2.69%	2.78%	4.92%	7.70%	4.67%	2.53%	3.62%	3.37%	4.20%	4.90%	2.13%	4.04%	2.64%	3.25%	1.97%	2.25%	2.30%	2.57%	2.26%	1.40%	2.67%	1.91%	3.71%	3.34%	3.70%	1.64%	1.44%	2.33%	3.90%	2.32%	2.67%	0.51%	1.82%	1.82%	1.72%	2.35%	2.62%	2.07%	5.36%	1.77%	1.54%	2.01%	3.33%	1.82%	0.00%	3.25%	1.64%	1.70%	2.69%	0.66%	5.42%	3.57%	2.57%	0.00%	3.12%	2.11%	1.83%	2.33%	3.00%	1.48%	0.89%	3.10%	2.10%	2.21%	0.00%	0.84%	0.00%	2.49%	2.61%					
20	. Миронов Сергей Михайлович	357	6	5	7	12	12	6	3	9	3	10	8	13	7	3	2	8	10	13	4	10	8	11	8	3	10	2	12	4	4	5	4	4	2	4	7	8	7	2	9	7	8	1	0	1	0	9	4	1	1	0	1	7	2	4	2	0	5	3	1	0	3	7	5	0	1	1	5	13					
		0.75%	0.60%	0.47%	0.88%	0.88%	1.01%	0.46%	0.27%	0.80%	0.67%	0.71%	0.70%	1.37%	0.84%	0.98%	0.26%	0.80%	0.89%	1.40%	0.40%	0.95%	0.80%	1.13%	0.92%	0.33%	0.82%	0.36%	1.33%	1.42%	0.49%	0.64%	0.51%	0.49%	0.24%	0.41%	0.91%	1.23%	1.04%	1.79%	0.66%	0.90%	1.01%	0.56%	0.00%	0.69%	0.00%	1.23%	1.14%	0.24%	0.66%	0.00%	0.51%	0.75%	1.75%	0.62%	1.41%	0.00%	0.65%	0.39%	0.25%	0.00%	0.36%	0.87%	1.23%	0.00%	0.42%	0.60%	1.78%	1.62%					
21	. Путин Владимир Владимирович	31441	571	626	491	816	729	862	625	670	304	908	673	600	546	236	495	622	681	582	634	654	593	600	541	573	792	349	573	195	548	540	570	553	591	722	521	406	501	76	971	552	556	127	211	101	85	537	247	302	124	107	143	762	88	447	98	348	566	571	294	56	625	604	299	43	177	119	211	501					
		66.23%	56.65%	59.22%	61.99%	59.56%	61.36%	66.31%	56.97%	59.82%	67.71%	64.35%	59.04%	63.29%	65.70%	77.38%	65.39%	62.08%	60.37%	62.58%	63.27%	62.35%	59.66%	61.79%	62.40%	62.35%	64.97%	62.77%	63.53%	69.15%	66.99%	68.70%	72.43%	67.19%	71.72%	73.23%	68.02%	62.65%	74.11%	67.86%	71.61%	70.68%	69.94%	70.56%	76.73%	70.14%	69.11%	73.56%	70.17%	73.84%	81.58%	64.46%	72.96%	81.50%	77.19%	69.73%	69.01%	70.59%	73.32%	74.45%	72.59%	50.00%	74.40%	74.75%	73.46%	68.25%	74.06%	70.83%	75.09%	62.31%					
22	. Хакамада Ирина Муцуовна	1462	82	44	25	55	53	37	41	33	18	46	60	32	21	8	23	36	42	34	31	29	25	34	30	32	46	33	35	6	16	17	26	27	17	32	22	13	33	3	28	22	10	6	5	2	0	13	10	10	4	3	1	15	0	7	3	9	12	18	8	5	26	11	6	2	3	0	3	23					
		3.08%	8.13%	4.16%	3.16%	4.01%	4.46%	2.85%	3.74%	2.95%	4.01%	3.26%	5.26%	3.38%	2.53%	2.62%	3.04%	3.59%	3.72%	3.66%	3.09%	2.76%	2.52%	3.50%	3.46%	3.48%	3.77%	5.94%	3.88%	2.13%	1.96%	2.16%	3.30%	3.28%	2.06%	3.25%	2.87%	2.01%	4.88%	2.68%	2.06%	2.82%	1.26%	3.33%	1.82%	1.39%	0.00%	1.78%	2.84%	2.44%	2.63%	1.81%	0.51%	1.60%	0.00%	1.09%	2.11%	1.83%	1.55%	2.35%	1.98%	4.46%	3.10%	1.36%	1.47%	3.17%	1.26%	0.00%	1.07%	2.86%					
23	. Харитонов Николай Михайлович	8310	155	189	109	247	222	198	264	229	56	266	250	199	165	27	144	188	215	182	199	197	218	152	126	174	225	92	151	40	178	134	121	157	148	126	122	157	75	19	215	118	143	28	38	28	23	106	68	75	14	41	39	97	20	97	26	105	117	97	76	44	105	128	62	16	40	40	39	149					
		17.51%	15.38%	17.88%	13.76%	18.03%	18.69%	15.23%	24.07%	20.45%	12.47%	18.85%	21.93%	20.99%	19.86%	8.85%	19.02%	18.76%	19.06%	19.57%	19.86%	18.78%	21.93%	15.65%	14.53%	18.93%	18.46%	16.55%	16.74%	14.18%	21.76%	17.05%	15.37%	19.08%	17.96%	12.78%	15.93%	24.23%	11.09%	16.96%	15.86%	15.11%	17.99%	15.56%	13.82%	19.44%	18.70%	14.52%	19.32%	18.34%	9.21%	24.70%	19.90%	10.37%	17.54%	15.13%	18.31%	21.30%	15.16%	12.65%	18.77%	39.29%	12.50%	15.84%	15.23%	25.40%	16.74%	23.81%	13.88%	18.53%					
																																																																											
24	Против всех	1940	107	81	44	105	55	71	58	59	23	57	53	23	17	10	36	49	69	36	47	53	42	67	67	45	54	32	30	15	13	18	19	21	14	39	32	21	23	2	55	30	21	4	2	0	3	24	6	7	2	3	2	6	0	19	4	8	10	27	6	0	24	4	8	2	5	2	7	42					
		4.09%	10.62%	7.66%	5.56%	7.66%	4.63%	5.46%	5.29%	5.27%	5.12%	4.04%	4.65%	2.43%	2.05%	3.28%	4.76%	4.89%	6.12%	3.87%	4.69%	5.05%	4.23%	6.90%	7.73%	4.90%	4.43%	5.76%	3.33%	5.32%	1.59%	2.29%	2.41%	2.55%	1.70%	3.96%	4.18%	3.24%	3.40%	1.79%	4.06%	3.84%	2.64%	2.22%	0.73%	0.00%	2.44%	3.29%	1.70%	1.71%	1.32%	1.81%	1.02%	0.64%	0.00%	2.96%	2.82%	1.62%	1.30%	3.52%	1.48%	0.00%	2.86%	0.50%	1.97%	3.17%	2.09%	1.19%	2.49%	5.22%					
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
