Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																							
Дата голосования: 18.09.2016																																							
																																							
Наименование Избирательной комиссии:    Асбестовская городская																																							
																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																							
																																							
		Сумма	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №2607									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	57754	361	1607	1661	2696	2634	2655	2612	2592	2673	2547	2739	829	1851	2543	2601	2457	2624	1701	1963	1593	2668	2690	2175	2004	2640	2124	311	203									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	56400	300	1500	1500	2700	2600	2600	2600	2600	2600	2500	2700	800	1800	2500	2600	2400	2600	1700	1900	1500	2600	2700	2000	1900	2600	2000	300	300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	23606	166	713	410	770	1048	1136	1028	1161	1008	1164	1107	397	908	1203	1206	912	1220	729	838	709	1174	1015	861	761	1067	618	115	162									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	444	4	14	10	57	10	10	12	8	29	9	14	7	9	11	30	10	19	8	10	14	27	33	22	11	33	18	5	0									
6	Число погашенных избирательных бюллетеней	32350	130	773	1080	1873	1542	1454	1560	1431	1563	1327	1579	396	883	1286	1364	1478	1361	963	1052	777	1399	1652	1117	1128	1500	1364	180	138									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	444	4	14	10	57	10	10	12	8	29	9	14	7	9	11	30	10	19	8	10	14	27	33	22	11	33	18	5	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	23564	166	713	410	769	1048	1131	1028	1161	1008	1160	1107	397	908	1203	1203	912	1220	729	838	709	1147	1015	861	761	1065	618	115	162									
9	Число недействительных избирательных бюллетеней	781	6	24	18	26	46	28	40	42	20	21	29	15	31	47	46	27	43	17	36	26	34	45	24	25	41	16	5	3									
10	Число действительных избирательных бюллетеней	23227	164	703	402	800	1012	1113	1000	1127	1017	1148	1092	389	886	1167	1187	895	1196	720	812	697	1140	1003	859	747	1057	620	115	159									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1280	15	40	40	60	60	60	50	50	50	60	50	30	40	40	40	40	60	40	60	60	60	60	60	60	40	40	15	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	292	1	9	10	6	15	14	17	11	14	19	15	3	9	23	11	13	8	9	4	12	8	13	8	8	20	9	3	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	191	5	6	7	7	13	3	8	4	1	2	12	3	2	6	4	6	12	4	1	10	30	2	10	12	3	4	2	12									
14	Число погашенных неиспользованных открепительных удостоверений	988	14	31	30	54	45	46	33	39	36	41	35	27	31	17	29	27	52	31	56	48	52	47	52	52	20	31	12	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	29	0	0	2	1	0	2	1	1	1	2	0	0	1	2	2	1	1	0	1	0	2	5	0	1	2	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
