Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва												
Дата голосования: 02.12.2007												
												
Наименование Избирательной комиссии:    Судов загранплавания												
												
Сводная таблица результатов выборов												
												
		Сумма	УИК №3695	УИК №3696	УИК №3697	УИК №3698	УИК №3699					
1	"Число избирателей, внесенных в списки избирателей"	175	32	23	75	22	23					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	175	32	23	75	22	23					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	171	32	21	74	21	23					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	4	0	2	1	1	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	0	0	0	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	171	32	21	74	21	23					
9	Число недействительных избирательных бюллетеней	4	0	0	2	2	0					
10	Число действительных избирательных бюллетеней	167	32	21	72	19	23					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	0	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	0	0	0	0	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0					
												
18	1.Политическая партия «Аграрная партия России»	17	3	3	9	1	1					
		9.94%	9.38%	14.29%	12.16%	4.76%	4.35%					
19	2.Всероссийская политическая партия «Гражданская Сила»	9	5	1	2	1	0					
		5.26%	15.63%	4.76%	2.70%	4.76%	0.00%					
20	3.Политическая партия «Демократическая партия России»	3	0	1	0	0	2					
		1.75%	0.00%	4.76%	0.00%	0.00%	8.70%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	20	4	5	5	4	2					
		11.70%	12.50%	23.81%	6.76%	19.05%	8.70%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	5	3	0	1	0	1					
		2.92%	9.38%	0.00%	1.35%	0.00%	4.35%					
23	6.Политическая партия «Партия социальной справедливости»	3	0	0	2	0	1					
		1.75%	0.00%	0.00%	2.70%	0.00%	4.35%					
24	7.Политическая партия «Либерально-демократическая партия России»	27	3	2	15	3	4					
		15.79%	9.38%	9.52%	20.27%	14.29%	17.39%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	15	3	3	6	1	2					
		8.77%	9.38%	14.29%	8.11%	4.76%	8.70%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	1	1	0	0	0	0					
		0.58%	3.13%	0.00%	0.00%	0.00%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	63	9	6	29	9	10					
		36.84%	28.13%	28.57%	39.19%	42.86%	43.48%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	4	1	0	3	0	0					
		2.34%	3.13%	0.00%	4.05%	0.00%	0.00%					
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
