Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																
Дата голосования: 07.12.2003 0:00:00																
																
Наименование Избирательной комиссии:    Район Арбат																
																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																
																
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №3000					
1	"Число избирателей, внесенных в списки"	17407	2167	2221	1510	2358	2315	2512	2018	2273	33					
2	"Число бюллетеней, полученных участковыми комиссиями"	15647	2000	1900	1350	2300	2100	1900	2000	2000	97					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	9757	1291	1291	865	1341	1143	1411	1190	1203	22					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	349	46	41	40	54	51	26	40	42	9					
6	Число погашенных бюллетеней	5541	663	568	445	905	906	463	770	755	66					
7	Число бюллетеней в переносных ящиках для голосования	349	46	41	40	54	51	26	40	42	9					
8	Число бюллетеней в стационарных ящиках для голосования	9707	1291	1291	865	1339	1143	1408	1186	1162	22					
9	Число недействительных бюллетеней	55	10	3	5	5	9	8	5	10	0					
10	Число действительных бюллетеней	10001	1327	1329	900	1388	1185	1426	1221	1194	31					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	498	60	60	40	70	40	128	40	60	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	284	42	15	13	33	15	114	21	31	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1046	63	243	72	51	62	236	140	158	21					
14	Число погашенных открепительных удостоверений	214	18	45	27	37	25	14	19	29	0					
15	Число открепительных удостоверений выданных ТИК	2	0	0	1	0	0	0	0	1	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0					
																
18	"1. ""ЕДИНЕНИЕ"""	46	2	2	5	1	6	11	7	12	0					
		0.45%	0.14%	0.15%	0.55%	0.07%	0.50%	0.76%	0.57%	0.99%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	1562	254	196	148	266	175	165	183	175	0					
		15.53%	18.99%	14.71%	16.35%	19.09%	14.65%	11.50%	14.92%	14.53%	0.0%					
