Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																	
Дата голосования: 18.09.2016																																	
																																	
Наименование Избирательной комиссии:    Клетская																																	
																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																	
																																	
		Сумма	УИК №2101	УИК №2102	УИК №2103	УИК №2104	УИК №2105	УИК №2106	УИК №2107	УИК №2108	УИК №2109	УИК №2110	УИК №2111	УИК №2112	УИК №2113	УИК №2114	УИК №2115	УИК №2116	УИК №2117	УИК №2118	УИК №2119	УИК №2120	УИК №2121	УИК №2122									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	13618	733	878	262	122	643	309	259	858	220	777	2071	2038	341	161	785	827	205	712	183	128	949	157									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	13540	730	880	260	120	650	310	280	860	220	800	2000	2000	340	150	800	840	200	700	180	120	950	150									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5259	292	365	121	44	334	134	110	417	73	278	737	832	107	79	325	227	63	266	60	51	295	49									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1991	172	143	39	17	69	17	51	43	67	74	223	213	85	27	158	100	48	93	23	40	240	49									
6	Число погашенных избирательных бюллетеней	6290	266	372	100	59	247	159	119	400	80	448	1040	955	148	44	317	513	89	341	97	29	415	52									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1991	172	143	39	17	69	17	51	43	67	74	223	213	85	27	158	100	48	93	23	40	240	49									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5259	292	365	121	44	334	134	110	417	73	278	737	832	107	79	325	227	63	266	60	51	295	49									
9	Число недействительных избирательных бюллетеней	66	0	3	0	0	7	0	2	3	1	4	14	13	0	0	3	2	0	2	0	0	11	1									
10	Число действительных избирательных бюллетеней	7184	464	505	160	61	396	151	159	457	139	348	946	1032	192	106	480	325	111	357	83	91	524	97									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	234	15	10	6	5	15	7	7	15	5	15	25	25	8	8	15	15	6	10	5	5	10	2									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	72	2	3	6	5	2	0	0	3	1	13	8	19	0	0	6	0	0	2	1	0	1	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	34	3	0	0	0	3	1	1	1	1	0	5	7	2	0	4	0	1	2	1	1	0	1									
14	Число погашенных неиспользованных открепительных удостоверений	162	13	7	0	0	13	7	7	12	4	2	17	6	8	8	9	15	6	8	4	5	9	2									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	13	0	0	0	0	0	0	0	0	0	0	11	1	0	0	0	0	0	1	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																	
