Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																														
Дата голосования: 07.12.2003 0:00:00																														
																														
Наименование Избирательной комиссии:    Пучежская																														
																														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																														
																														
		Сумма	УИК  676	УИК  677	УИК  678	УИК  679	УИК  680	УИК  681	УИК  682	УИК  683	УИК  684	УИК  685	УИК  686	УИК  687	УИК  688	УИК  689	УИК  690	УИК  691	УИК  692	УИК  693	УИК  694	УИК  695	УИК  696	УИК  697	УИК  698					
1	"Число избирателей, внесенных в списки"	14729	1481	1252	1093	1598	1952	596	1091	443	919	398	581	186	193	297	151	226	286	395	445	499	188	264	195					
2	"Число бюллетеней, полученных участковыми комиссиями"	13740	1400	1100	1110	1460	1860	550	1050	420	830	370	520	170	180	280	120	210	260	370	410	470	180	240	180					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	6996	784	699	527	750	875	318	543	218	394	198	278	59	92	120	89	112	137	118	166	228	102	95	94					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1392	24	39	27	55	70	159	10	57	114	74	62	50	19	49	5	64	46	121	119	53	19	106	50					
6	Число погашенных бюллетеней	5352	592	362	556	655	915	73	497	145	322	98	180	61	69	111	26	34	77	131	125	189	59	39	36					
7	Число бюллетеней в переносных ящиках для голосования	1392	24	39	27	55	70	159	10	57	114	74	62	50	19	49	5	64	46	121	119	53	19	106	50					
8	Число бюллетеней в стационарных ящиках для голосования	6994	784	698	527	749	875	318	543	218	394	198	278	59	92	120	89	112	137	118	166	228	102	95	94					
9	Число недействительных бюллетеней	152	13	13	6	15	21	19	3	5	12	3	3	2	3	3	0	4	5	3	3	8	6	2	0					
10	Число действительных бюллетеней	8234	795	724	548	789	924	458	550	270	496	269	337	107	108	166	94	172	178	236	282	273	115	199	144					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	142	10	10	10	10	15	10	10	5	6	4	5	3	6	3	3	3	3	5	5	5	3	5	3					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	55	5	9	5	3	3	0	1	4	3	4	2	1	4	1	0	0	0	4	1	2	0	3	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	35	7	1	1	4	1	1	1	0	5	2	0	2	2	0	1	0	1	0	2	1	1	0	2					
14	Число погашенных открепительных удостоверений	87	5	1	5	7	12	10	9	1	3	0	3	2	2	2	3	3	3	1	4	3	3	2	3					
15	Число открепительных удостоверений выданных ТИК	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																														
18	"1. ""ЕДИНЕНИЕ"""	124	11	15	4	8	23	2	9	4	11	3	5	2	5	2	1	3	2	3	2	3	2	3	1					
		1.47%	1.36%	2.03%	0.72%	0.99%	2.43%	0.41%	1.62%	1.45%	2.16%	1.10%	1.47%	1.83%	4.50%	1.18%	1.06%	1.70%	1.09%	1.25%	0.70%	1.06%	1.65%	1.49%	0.69%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	76	3	8	4	10	9	3	5	3	8	4	2	1	2	2	0	0	3	2	2	1	3	0	1					
		0.90%	0.37%	1.08%	0.72%	1.24%	0.95%	0.62%	0.90%	1.09%	1.57%	1.47%	0.58%	0.91%	1.80%	1.18%	0.0%	0.0%	1.63%	0.83%	0.70%	0.35%	2.47%	0.0%	0.69%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	289	34	23	9	34	32	9	9	17	17	9	14	4	1	14	0	8	8	11	8	8	9	3	8					
		3.44%	4.20%	3.12%	1.62%	4.22%	3.38%	1.88%	1.62%	6.18%	3.34%	3.30%	4.11%	3.66%	0.90%	8.28%	0.0%	4.54%	4.37%	4.60%	2.80%	2.84%	7.43%	1.49%	5.55%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	173	19	21	10	25	16	8	9	8	7	3	9	1	2	1	2	0	3	10	6	8	2	3	0					
		2.06%	2.35%	2.84%	1.80%	3.10%	1.69%	1.67%	1.62%	2.90%	1.37%	1.10%	2.64%	0.91%	1.80%	0.59%	2.12%	0.0%	1.63%	4.18%	2.10%	2.84%	1.65%	1.49%	0.0%					
22	"5. ""За Русь Святую"""	51	3	3	2	7	2	3	2	1	3	6	3	0	0	3	0	0	0	2	8	2	1	0	0					
		0.60%	0.37%	0.40%	0.36%	0.87%	0.21%	0.62%	0.36%	0.36%	0.59%	2.20%	0.88%	0.0%	0.0%	1.77%	0.0%	0.0%	0.0%	0.83%	2.80%	0.71%	0.82%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	27	5	0	2	1	1	2	0	1	2	0	4	1	0	0	1	0	0	3	1	1	2	0	0					
		0.32%	0.61%	0.0%	0.36%	0.12%	0.10%	0.41%	0.0%	0.36%	0.39%	0.0%	1.17%	0.91%	0.0%	0.0%	1.06%	0.0%	0.0%	1.25%	0.35%	0.35%	1.65%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	29	7	2	2	2	3	1	1	0	2	2	0	0	0	1	1	0	1	0	1	1	1	0	1					
		0.34%	0.86%	0.27%	0.36%	0.24%	0.31%	0.20%	0.18%	0.0%	0.39%	0.73%	0.0%	0.0%	0.0%	0.59%	1.06%	0.0%	0.54%	0.0%	0.35%	0.35%	0.82%	0.0%	0.69%					
25	"8. ""Народно-республиканская партия России"""	16	0	0	1	0	1	9	0	0	1	0	0	0	0	1	0	0	0	2	0	1	0	0	0					
		0.19%	0.0%	0.0%	0.18%	0.0%	0.10%	1.88%	0.0%	0.0%	0.19%	0.0%	0.0%	0.0%	0.0%	0.59%	0.0%	0.0%	0.0%	0.83%	0.0%	0.35%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	39	2	2	1	2	5	17	0	0	1	3	0	0	0	1	2	0	0	1	1	0	1	0	0					
		0.46%	0.24%	0.27%	0.18%	0.24%	0.52%	3.56%	0.0%	0.0%	0.19%	1.10%	0.0%	0.0%	0.0%	0.59%	2.12%	0.0%	0.0%	0.41%	0.35%	0.0%	0.82%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	746	48	44	29	38	41	10	41	45	39	50	33	12	33	33	21	31	31	26	41	32	37	23	8					
		8.89%	5.94%	5.97%	5.23%	4.72%	4.33%	2.09%	7.41%	16.36%	7.67%	18.38%	9.70%	11.00%	29.72%	19.52%	22.34%	17.61%	16.93%	10.87%	14.38%	11.38%	30.57%	11.44%	5.55%					
28	"11. ""Истинные патриоты России"""	11	0	0	1	0	0	0	0	0	1	2	2	0	0	0	1	2	0	0	1	1	0	0	0					
		0.13%	0.0%	0.0%	0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.19%	0.73%	0.58%	0.0%	0.0%	0.0%	1.06%	1.13%	0.0%	0.0%	0.35%	0.35%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	64	2	5	3	7	5	6	2	3	13	2	3	1	0	0	0	2	0	1	2	4	1	2	0					
