Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																								
Дата голосования: 18.09.2016																																								
																																								
Наименование Избирательной комиссии:    Тамбовская																																								
																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																								
																																								
		Сумма	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №1907	УИК №1908	УИК №1909	УИК №1910	УИК №1911	УИК №1912	УИК №1913	УИК №1914	УИК №1915	УИК №1916	УИК №1917	УИК №1918	УИК №1919	УИК №1920	УИК №1921	УИК №1922	УИК №1923	УИК №1924	УИК №1925	УИК №1926	УИК №1927	УИК №1928	УИК №1929									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	18808	2535	2155	1834	581	439	270	540	161	1073	120	264	1322	95	165	847	708	193	609	599	1573	126	319	432	175	206	97	441	84	845									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	18581	2550	2250	1647	582	445	275	534	158	1100	115	267	1283	94	166	860	706	193	610	607	1578	125	313	430	173	183	91	442	85	719									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8104	944	787	578	206	158	111	273	109	660	80	129	575	41	69	365	277	60	258	233	728	66	149	207	87	105	69	181	40	559									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	456	30	26	21	25	21	14	11	3	26	4	10	47	0	6	7	12	0	24	25	47	0	16	17	18	1	0	22	2	21									
6	Число погашенных избирательных бюллетеней	10021	1576	1437	1048	351	266	150	250	46	414	31	128	661	53	91	488	417	133	328	349	803	59	148	206	68	77	22	239	43	139									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	456	30	26	21	25	21	14	11	3	26	4	10	47	0	6	7	12	0	24	25	47	0	16	17	18	1	0	22	2	21									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8051	914	765	578	206	158	111	273	109	660	80	129	574	41	69	365	277	60	258	233	728	66	149	207	87	105	69	181	40	559									
9	Число недействительных избирательных бюллетеней	213	28	28	24	8	2	11	5	3	11	3	1	18	0	3	11	7	3	7	3	15	1	2	5	1	2	0	2	1	8									
10	Число действительных избирательных бюллетеней	8294	916	763	575	223	177	114	279	109	675	81	138	603	41	72	361	282	57	275	255	760	65	163	219	104	104	69	201	41	572									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	192	15	15	10	2	2	2	2	2	12	2	2	6	2	2	22	3	2	13	3	5	2	2	3	2	3	2	2	2	50									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	85	11	5	8	0	0	1	2	0	8	0	0	4	0	1	13	3	0	6	3	1	1	0	0	0	1	0	1	0	16									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	141	3	5	2	1	1	1	0	3	0	0	1	15	0	0	1	3	1	2	0	4	0	0	1	0	2	1	0	0	94									
14	Число погашенных неиспользованных открепительных удостоверений	107	4	10	2	2	2	1	0	2	4	2	2	2	2	1	9	0	2	7	0	4	1	2	3	2	2	2	1	2	34									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	21	1	3	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0	8									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
