Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																														
Дата голосования: 18.09.2016																																														
																																														
"Наименование Избирательной комиссии:    Ростов-на-Дону, Железнодорожная"																																														
																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																														
																																														
		Сумма	УИК №1592	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751	УИК №1752	УИК №1753	УИК №1754	УИК №1755	УИК №1756	УИК №1757	УИК №1758	УИК №1759	УИК №1760	УИК №1761	УИК №1762	УИК №1763	УИК №1764	УИК №1765	УИК №1766	УИК №1767	УИК №1768	УИК №1769	УИК №1770	УИК №1771	УИК №1772	УИК №1773									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	68580	7	1586	1715	2191	1909	2398	2281	2038	2183	1904	2498	2308	2476	1845	2397	2000	2136	2220	2001	1999	2841	1315	1528	2097	1962	2169	2026	2023	2744	2385	2790	2005	30	443	2130									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	61900	200	1450	1600	2000	1750	2200	2100	1900	2000	1750	2250	2050	2050	1700	2050	1900	2050	2050	1850	1850	2500	1200	1400	1900	1800	2000	1800	1800	2400	2150	2550	1150	200	400	1900									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	29527	7	588	543	730	573	736	477	447	1416	1364	639	599	671	1077	635	1122	1324	928	1078	1371	810	633	657	1077	1050	1055	816	1291	613	1416	1750	1071	30	277	656									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	4215	0	179	104	35	85	96	71	87	64	65	77	125	364	128	166	113	134	131	108	126	140	225	43	293	305	131	45	154	165	113	129	42	0	16	156									
6	Число погашенных избирательных бюллетеней	28158	193	683	953	1235	1092	1368	1552	1366	520	321	1534	1326	1015	495	1249	665	592	991	664	353	1550	342	700	530	445	814	939	355	1622	621	671	37	170	107	1088									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	4215	0	179	104	35	85	96	71	87	64	65	77	125	364	128	166	113	134	131	108	126	140	225	43	293	305	131	45	154	165	113	129	42	0	16	156									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	29398	7	588	543	730	488	735	477	447	1416	1364	639	599	671	1062	635	1122	1324	924	1078	1371	810	633	642	1077	1050	1055	816	1291	613	1416	1750	1062	30	277	656									
9	Число недействительных избирательных бюллетеней	282	0	9	9	14	19	14	18	13	0	0	13	12	12	15	7	0	13	7	6	0	2	1	13	19	0	4	9	0	8	0	14	20	0	0	11									
10	Число действительных избирательных бюллетеней	33331	7	758	638	751	554	817	530	521	1480	1429	703	712	1023	1175	794	1235	1445	1048	1180	1497	948	857	672	1351	1355	1182	852	1445	770	1529	1865	1084	30	293	801									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1675	0	50	50	70	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	80	50	0	25	50									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1030	0	15	47	60	24	44	25	26	32	28	24	37	31	29	38	41	29	40	22	25	39	15	30	38	35	42	16	21	47	44	47	18	0	5	16									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1173	7	2	20	13	6	11	13	9	0	3	7	23	22	37	21	0	7	4	0	25	18	15	28	3	2	3	7	15	18	22	20	715	30	0	47									
14	Число погашенных неиспользованных открепительных удостоверений	645	0	35	3	10	26	6	25	24	18	22	26	13	19	21	12	9	21	10	28	25	11	35	20	12	15	8	34	29	3	6	33	32	0	20	34									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	82	0	3	1	1	4	5	1	1	1	3	1	2	2	5	9	1	2	4	1	5	5	1	0	2	6	3	2	1	2	4	2	0	0	1	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																														
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	534	1	7	19	15	14	17	13	8	42	21	18	23	22	20	11	4	0	13	26	25	27	9	14	24	28	20	10	0	25	0	22	11	0	5	20									
		1.59%	14.29%	0.91%	2.94%	1.96%	2.44%	2.05%	2.37%	1.50%	2.84%	1.47%	2.51%	3.18%	2.13%	1.68%	1.37%	0.32%	0.00%	1.23%	2.19%	1.67%	2.84%	1.05%	2.04%	1.75%	2.07%	1.69%	1.16%	0.00%	3.21%	0.00%	1.17%	0.99%	0.00%	1.71%	2.46%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	549	0	16	16	22	7	17	20	22	42	33	17	17	37	18	7	5	1	14	12	18	17	15	15	16	16	17	13	0	21	0	35	20	0	3	20									
		1.63%	0.00%	2.09%	2.47%	2.88%	1.22%	2.05%	3.65%	4.12%	2.84%	2.31%	2.37%	2.35%	3.57%	1.51%	0.87%	0.40%	0.07%	1.33%	1.01%	1.20%	1.79%	1.75%	2.19%	1.17%	1.18%	1.43%	1.51%	0.00%	2.70%	0.00%	1.86%	1.81%	0.00%	1.02%	2.46%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	491	0	15	18	19	9	15	20	12	30	9	28	21	16	14	18	2	0	14	17	16	16	6	8	11	26	16	10	0	21	20	14	17	1	9	23									
		1.46%	0.00%	1.96%	2.78%	2.48%	1.57%	1.81%	3.65%	2.25%	2.03%	0.63%	3.91%	2.90%	1.55%	1.18%	2.25%	0.16%	0.00%	1.33%	1.43%	1.07%	1.68%	0.70%	1.17%	0.80%	1.92%	1.35%	1.16%	0.00%	2.70%	1.31%	0.75%	1.54%	3.33%	3.07%	2.83%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	21270	5	466	281	359	293	404	295	228	986	983	351	343	539	792	502	898	998	689	837	1058	507	622	368	940	970	875	499	1286	362	995	1329	625	15	207	363									
		63.28%	71.43%	60.76%	43.43%	46.93%	51.13%	48.62%	53.83%	42.70%	66.62%	68.79%	49.02%	47.38%	52.08%	66.55%	62.67%	72.71%	68.45%	65.31%	70.57%	70.67%	53.37%	72.49%	53.72%	68.61%	71.59%	73.78%	57.96%	88.99%	46.53%	65.08%	70.73%	56.61%	50.00%	70.65%	44.70%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	229	0	8	7	10	6	8	0	3	5	0	10	10	14	7	6	4	0	7	4	11	12	8	8	9	12	10	8	0	13	0	15	8	0	0	6									
