Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																					
Дата голосования: 02.12.2007																																																																					
																																																																					
Наименование Избирательной комиссии:    Новокузнецкая																																																																					
																																																																					
Сводная таблица результатов выборов																																																																					
																																																																					
		Сумма	УИК №1236	УИК №1237	УИК №1238	УИК №1239	УИК №1240	УИК №1241	УИК №1242	УИК №1243	УИК №1244	УИК №1245	УИК №1246	УИК №1247	УИК №1248	УИК №1249	УИК №1250	УИК №1251	УИК №1252	УИК №1253	УИК №1254	УИК №1255	УИК №1256	УИК №1257	УИК №1258	УИК №1259	УИК №1260	УИК №1261	УИК №1262	УИК №1263	УИК №1264	УИК №1265	УИК №1266	УИК №1267	УИК №1268	УИК №1269	УИК №1270	УИК №1271	УИК №1272	УИК №1273	УИК №1274	УИК №1275	УИК №1276	УИК №1277	УИК №1278	УИК №1279	УИК №1280	УИК №1281	УИК №1282	УИК №1283	УИК №1284	УИК №1285	УИК №1286	УИК №1287	УИК №1288	УИК №1289	УИК №1290	УИК №1291	УИК №1292	УИК №1293	УИК №1294	УИК №1295	УИК №1296	УИК №1297					
1	"Число избирателей, внесенных в списки избирателей"	36752	1367	2221	309	804	299	541	1287	330	1873	398	293	829	201	293	196	396	1318	378	1311	1495	958	352	997	183	322	317	406	736	249	331	459	738	442	1383	1125	343	166	1919	1751	947	352	231	234	109	606	103	93	203	146	57	176	271	476	162	389	167	319	1122	574	378	241	80					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	33430	1237	1986	280	741	268	501	1171	305	1692	375	259	758	175	269	166	330	1203	339	1199	1350	867	324	849	153	544	282	354	626	229	314	404	658	393	1271	1002	310	166	1674	1594	873	324	206	213	98	514	108	99	175	145	80	161	250	418	182	347	149	298	1011	511	351	214	85					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	25678	802	1198	195	637	223	394	813	205	1230	295	207	498	126	180	123	270	735	225	955	1235	798	292	721	149	313	237	267	500	192	247	292	410	306	839	753	231	88	1603	1482	739	314	183	177	96	463	89	73	163	106	42	135	210	304	91	257	112	208	752	406	258	182	52					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1729	70	60	3	13	36	34	33	16	40	0	25	69	22	15	11	4	24	24	35	18	34	15	47	0	9	5	28	19	10	26	46	105	26	73	31	29	56	24	16	9	0	6	7	0	22	2	7	0	11	0	9	16	98	71	37	37	48	60	47	59	13	19					
6	Число погашенных избирательных бюллетеней	6023	365	728	82	91	9	73	325	84	422	80	27	191	27	74	32	56	444	90	209	97	35	17	81	4	222	40	59	107	27	41	66	143	61	359	218	50	22	47	96	125	10	17	29	2	29	17	19	12	28	38	17	24	16	20	53	0	42	199	58	34	19	14					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1729	70	60	3	13	36	34	33	16	40	0	25	69	22	15	11	4	24	24	35	18	34	15	47	0	9	5	28	19	10	26	46	105	26	73	31	29	56	24	16	9	0	6	7	0	22	2	7	0	11	0	9	16	98	71	37	37	48	60	47	59	13	19					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	25671	802	1198	195	637	223	394	813	205	1228	295	207	498	126	180	123	270	735	224	952	1235	798	292	721	149	313	237	267	500	192	247	292	410	306	838	753	231	88	1603	1482	739	314	183	177	96	463	89	73	163	106	42	135	210	304	91	257	112	208	752	406	258	182	52					
9	Число недействительных избирательных бюллетеней	320	4	12	0	3	7	1	16	6	18	2	1	5	0	4	0	0	24	3	10	58	4	0	8	4	6	3	3	3	0	5	4	7	6	8	4	2	1	10	14	9	6	1	6	0	2	0	1	1	0	1	0	0	1	0	2	0	0	8	7	5	2	2					
10	Число действительных избирательных бюллетеней	27080	868	1246	198	647	252	427	830	215	1250	293	231	562	148	191	134	274	735	245	977	1195	828	307	760	145	316	239	292	516	202	268	334	508	326	903	780	258	143	1617	1484	739	308	188	178	96	483	91	79	162	117	41	144	226	401	162	292	149	256	804	446	312	193	69					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	994	15	15	0	20	5	15	18	15	15	15	15	24	5	15	5	15	25	15	30	30	15	15	15	5	15	25	15	15	15	22	15	15	15	15	15	15	15	15	30	25	15	15	15	15	20	20	20	20	20	20	15	15	20	5	15	15	15	25	15	15	15	0					
