Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																										
Дата голосования: 04.12.2011																																																																										
																																																																										
Наименование Избирательной комиссии:    Новокузнецкая																																																																										
																																																																										
Сводная таблица результатов выборов																																																																										
																																																																										
		Сумма	УИК №1262	УИК №1263	УИК №1264	УИК №1265	УИК №1266	УИК №1267	УИК №1268	УИК №1269	УИК №1270	УИК №1271	УИК №1272	УИК №1273	УИК №1274	УИК №1275	УИК №1276	УИК №1277	УИК №1278	УИК №1279	УИК №1280	УИК №1281	УИК №1282	УИК №1283	УИК №1284	УИК №1285	УИК №1286	УИК №1287	УИК №1288	УИК №1289	УИК №1290	УИК №1291	УИК №1292	УИК №1293	УИК №1294	УИК №1295	УИК №1296	УИК №1297	УИК №1298	УИК №1299	УИК №1300	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326	УИК №1327	УИК №1328					
1	"Число избирателей, внесенных в список избирателей"	37175	1161	223	2098	137	331	895	324	560	1275	318	1393	629	425	324	879	236	293	194	403	1329	389	1331	1492	960	395	901	194	505	136	397	743	239	347	444	754	428	1235	210	892	241	328	196	1887	1759	969	363	140	249	118	583	94	88	229	149	56	164	282	466	204	389	155	578	1122	375	275	234	63					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	37241	1170	220	2110	135	325	910	315	560	1330	310	1390	630	425	320	870	225	290	190	380	1360	390	1330	1520	970	400	910	200	500	130	390	725	250	350	440	760	420	1240	210	890	230	325	195	1910	1800	980	370	130	255	100	570	90	85	220	145	55	170	275	455	200	390	165	580	1100	385	280	230	61					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	19937	547	95	1057	55	161	546	182	309	673	162	767	287	158	134	417	82	132	92	196	665	163	803	853	456	178	462	132	266	76	214	422	120	181	222	388	264	726	113	513	131	203	54	1164	1130	514	226	97	156	51	343	81	84	161	98	53	93	180	233	74	230	68	248	561	134	124	135	42					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1747	31	5	35	9	8	23	24	27	56	18	52	43	27	23	67	24	33	11	21	30	24	29	30	26	41	18	4	12	5	26	47	17	14	39	38	21	17	8	25	18	18	52	32	29	38	10	8	7	21	70	0	0	0	7	0	13	10	69	51	33	25	46	67	68	16	12	19					
6	Число погашенных избирательных бюллетеней	15552	592	120	1017	71	156	341	109	224	601	130	571	299	240	163	386	119	125	87	163	665	203	498	637	488	181	430	64	222	49	150	256	113	155	179	334	135	496	89	352	79	104	89	714	641	428	134	25	92	28	157	9	1	59	40	2	64	85	153	75	127	72	286	472	183	140	83	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1747	31	5	35	9	8	23	24	27	56	18	52	43	27	23	67	24	33	11	21	30	24	29	30	26	41	18	4	12	5	26	47	17	14	39	38	21	17	8	25	18	18	52	32	29	38	10	8	7	21	70	0	0	0	7	0	13	10	69	51	33	25	46	67	68	16	12	19					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	19930	547	95	1057	55	161	546	182	308	673	162	767	287	158	134	417	82	132	92	196	665	163	803	849	456	178	462	132	266	76	214	422	120	181	222	388	264	726	113	513	131	203	54	1164	1130	514	226	97	156	51	341	81	84	161	98	53	93	180	233	74	230	68	248	561	134	124	135	42					
9	Число недействительных избирательных бюллетеней	342	8	1	22	0	6	10	3	6	20	6	20	5	4	2	7	1	2	6	3	9	4	17	17	10	5	7	1	2	2	6	5	0	0	4	2	7	13	7	13	5	1	1	24	0	0	4	0	5	1	4	0	0	5	0	0	1	2	3	1	3	0	3	7	3	3	3	0					
10	Число действительных избирательных бюллетеней	21335	570	99	1070	64	163	559	203	329	709	174	799	325	181	155	477	105	163	97	214	686	183	815	862	472	214	473	135	276	79	234	464	137	195	257	424	278	730	114	525	144	220	105	1172	1159	552	232	105	158	71	407	81	84	156	105	53	105	188	299	124	260	93	291	621	199	137	144	61					
