Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																			
Дата голосования: 18.09.2016																																			
																																			
Наименование Избирательной комиссии:    Кинешемская																																			
																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																			
																																			
		Сумма	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	17644	383	209	238	269	1061	186	339	268	219	141	178	1436	796	1331	391	1415	1265	1014	1152	1123	1407	1304	1170	349									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	17350	440	220	250	290	1080	190	360	280	220	140	180	1400	850	1300	390	1300	1200	1000	1100	1100	1350	1250	1100	360									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6333	172	97	147	114	324	95	131	127	86	101	55	629	311	530	111	435	423	252	401	375	383	484	409	141									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1852	59	47	23	58	300	23	113	50	71	20	66	147	153	71	103	86	37	104	54	50	101	35	42	39									
6	Число погашенных избирательных бюллетеней	9165	209	76	80	118	456	72	116	103	63	19	59	624	386	699	176	779	740	644	645	675	866	731	649	180									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1852	59	47	23	58	300	23	113	50	71	20	66	147	153	71	103	86	37	104	54	50	101	35	42	39									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6331	172	97	147	114	324	95	131	127	86	101	55	629	311	530	111	435	423	252	400	375	383	484	408	141									
9	Число недействительных избирательных бюллетеней	146	4	0	0	3	14	1	3	1	3	0	2	14	8	13	0	8	8	5	14	11	11	6	13	4									
10	Число действительных избирательных бюллетеней	8037	227	144	170	169	610	117	241	176	154	121	119	762	456	588	214	513	452	351	440	414	473	513	437	176									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	513	38	5	7	15	30	15	20	15	6	5	5	65	40	50	20	20	15	20	22	20	25	20	20	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	513	38	5	7	15	30	15	20	15	6	5	5	65	40	50	20	20	15	20	22	20	25	20	20	15									
