Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																									
Дата голосования: 04.12.2011																																																																																									
																																																																																									
Наименование Избирательной комиссии:    Учалинская																																																																																									
																																																																																									
Сводная таблица результатов выборов																																																																																									
																																																																																									
		Сумма	УИК №3142	УИК №3143	УИК №3144	УИК №3145	УИК №3146	УИК №3147	УИК №3148	УИК №3149	УИК №3150	УИК №3151	УИК №3152	УИК №3153	УИК №3154	УИК №3155	УИК №3156	УИК №3157	УИК №3158	УИК №3159	УИК №3160	УИК №3161	УИК №3162	УИК №3163	УИК №3164	УИК №3165	УИК №3166	УИК №3167	УИК №3168	УИК №3169	УИК №3170	УИК №3171	УИК №3172	УИК №3173	УИК №3174	УИК №3175	УИК №3176	УИК №3177	УИК №3178	УИК №3179	УИК №3180	УИК №3181	УИК №3182	УИК №3183	УИК №3184	УИК №3185	УИК №3186	УИК №3187	УИК №3188	УИК №3189	УИК №3190	УИК №3191	УИК №3192	УИК №3193	УИК №3194	УИК №3195	УИК №3196	УИК №3197	УИК №3198	УИК №3199	УИК №3200	УИК №3201	УИК №3202	УИК №3203	УИК №3204	УИК №3205	УИК №3206	УИК №3207	УИК №3208	УИК №3209	УИК №3210	УИК №3211	УИК №3212	УИК №3213	УИК №3214	УИК №3215	УИК №3216	УИК №3217	УИК №3218	УИК №3219	УИК №3220	УИК №3221	УИК №3222	УИК №3223					
1	"Число избирателей, внесенных в список избирателей"	56569	338	493	1207	848	594	556	235	87	76	165	102	922	460	715	286	231	132	345	466	617	524	705	539	600	1469	363	410	235	399	357	548	491	284	1070	141	171	448	407	458	150	235	124	212	156	180	856	253	201	202	1501	255	437	834	504	432	814	528	797	402	247	1055	1500	1456	446	1367	1350	1507	1315	1466	1498	1505	1431	1379	1383	1525	1508	1341	1297	1303	1424	1402	297					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	52973	335	500	1200	850	560	550	230	88	76	150	103	850	440	700	275	230	125	340	461	618	520	700	540	600	1300	361	400	235	390	350	565	480	270	1050	141	170	450	400	445	150	241	119	209	150	173	830	255	204	200	1300	254	410	800	500	430	800	500	780	390	250	900	1400	1300	410	1200	1200	1300	1300	1400	1480	1300	1300	1200	1300	1300	1300	1100	1200	1200	1300	1300	290					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	44009	313	411	903	658	532	443	189	87	76	145	101	813	414	574	270	197	112	318	396	574	413	623	434	385	973	285	329	179	321	313	453	450	253	808	124	149	367	363	433	145	211	119	190	128	151	789	198	196	184	1024	228	385	650	347	405	663	470	655	363	244	742	1080	921	342	996	963	1116	1025	1060	1084	1144	1038	1099	1045	1145	1039	956	896	1125	1207	1021	39					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2670	11	39	78	93	19	37	37	0	0	5	0	19	15	35	2	6	5	17	52	19	42	22	66	98	158	24	24	23	12	20	61	12	17	87	10	14	45	11	8	0	13	0	10	6	15	33	0	0	0	51	6	25	27	30	21	85	27	46	20	3	17	19	70	50	7	33	28	24	39	41	66	38	17	21	22	86	25	77	37	16	25	251					
6	Число погашенных избирательных бюллетеней	6294	11	50	219	99	9	70	4	1	0	0	2	18	11	91	3	27	8	5	13	25	65	55	40	117	169	52	47	33	57	17	51	18	0	155	7	7	38	26	4	5	17	0	9	16	7	8	57	8	16	225	20	0	123	123	4	52	3	79	7	3	141	301	309	18	197	204	156	251	301	355	90	224	84	234	133	175	119	227	38	77	254	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2670	11	39	78	93	19	37	37	0	0	5	0	19	15	35	2	6	5	17	52	19	42	22	66	98	158	24	24	23	12	20	61	12	17	87	10	14	45	11	8	0	13	0	10	6	15	33	0	0	0	51	6	25	27	30	21	85	27	46	20	3	17	19	70	50	7	33	28	24	39	41	66	38	17	21	22	86	25	77	37	16	25	251					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	43999	313	411	903	658	532	442	189	87	76	145	101	813	414	574	270	197	112	318	396	574	413	622	434	385	972	285	329	179	321	313	453	450	253	808	124	149	367	363	433	145	211	119	190	128	151	789	198	196	183	1024	228	385	650	347	405	663	470	655	363	244	740	1080	920	342	996	963	1114	1025	1060	1084	1144	1037	1099	1045	1145	1039	956	896	1125	1207	1021	39					
9	Число недействительных избирательных бюллетеней	1106	0	10	23	14	5	6	8	13	0	2	0	33	5	6	3	4	1	2	2	1	11	45	18	3	19	6	2	3	2	1	5	7	15	1	8	3	8	4	23	6	3	3	6	2	3	3	4	1	0	22	1	2	12	4	3	8	7	18	4	0	31	18	26	24	16	27	28	31	19	140	18	16	20	9	17	4	21	22	143	13	27	2					
10	Число действительных избирательных бюллетеней	45563	324	440	958	737	546	473	218	74	76	148	101	799	424	603	269	199	116	333	446	592	444	599	482	480	1111	303	351	199	331	332	509	455	255	894	126	160	404	370	418	139	221	116	194	132	163	819	194	195	183	1053	233	408	665	373	423	740	490	683	379	247	726	1081	964	368	987	969	1114	1018	1080	985	1192	1059	1096	1057	1150	1121	960	951	1019	1210	1019	288					
