Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																									
Дата голосования: 02.12.2007																																																																																									
																																																																																									
Наименование Избирательной комиссии:    Учалинская																																																																																									
																																																																																									
Сводная таблица результатов выборов																																																																																									
																																																																																									
		Сумма	УИК №3156	УИК №3157	УИК №3158	УИК №3159	УИК №3160	УИК №3161	УИК №3162	УИК №3163	УИК №3164	УИК №3165	УИК №3166	УИК №3167	УИК №3168	УИК №3169	УИК №3170	УИК №3171	УИК №3172	УИК №3173	УИК №3174	УИК №3175	УИК №3176	УИК №3177	УИК №3178	УИК №3179	УИК №3180	УИК №3181	УИК №3182	УИК №3183	УИК №3184	УИК №3185	УИК №3186	УИК №3187	УИК №3188	УИК №3189	УИК №3190	УИК №3191	УИК №3192	УИК №3193	УИК №3194	УИК №3195	УИК №3196	УИК №3197	УИК №3198	УИК №3199	УИК №3200	УИК №3201	УИК №3202	УИК №3203	УИК №3204	УИК №3205	УИК №3206	УИК №3207	УИК №3208	УИК №3209	УИК №3210	УИК №3211	УИК №3212	УИК №3213	УИК №3214	УИК №3215	УИК №3216	УИК №3217	УИК №3218	УИК №3219	УИК №3220	УИК №3221	УИК №3222	УИК №3223	УИК №3224	УИК №3225	УИК №3226	УИК №3227	УИК №3228	УИК №3229	УИК №3230	УИК №3231	УИК №3232	УИК №3233	УИК №3234	УИК №3235	УИК №3236	УИК №3237					
1	"Число избирателей, внесенных в списки избирателей"	51930	529	408	325	1110	821	533	529	222	91	836	381	530	249	216	104	130	249	371	380	528	509	673	344	1505	362	330	530	220	231	119	284	472	134	928	78	261	139	84	171	113	384	414	183	436	192	150	185	813	209	175	190	1367	218	231	457	551	510	504	559	523	710	575	1316	1295	267	935	542	1421	1224	1318	1344	1305	1170	1230	2516	1138	1299	1307	1286	2534	2638	280					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	50540	517	414	325	1100	810	520	531	222	92	823	365	530	247	180	102	127	252	366	375	518	502	676	350	1490	340	330	518	213	222	120	282	470	134	927	78	270	141	83	169	112	374	417	177	421	190	150	175	830	196	175	190	1320	230	234	420	540	500	508	550	500	706	570	1300	1200	250	800	485	1350	1200	1380	1300	1200	1176	1236	2555	1142	1200	1370	1100	2500	2300	280					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	45423	449	380	306	1075	783	480	500	183	83	784	345	497	239	172	93	109	225	354	354	485	462	630	271	1197	324	296	470	198	195	98	237	439	126	829	72	261	120	83	164	112	357	404	163	394	181	134	155	769	193	175	190	1147	213	227	408	492	485	424	479	453	666	544	1127	1062	210	690	441	1311	1049	1089	1194	1045	1079	1159	2092	1088	1061	1197	1056	2115	2198	27					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2216	54	27	18	21	27	20	29	35	8	28	20	18	8	0	8	18	20	12	21	25	32	14	52	99	16	26	13	15	21	11	24	18	4	70	6	0	10	0	0	0	17	10	12	24	9	7	10	44	0	0	0	63	5	4	12	37	15	41	39	34	40	26	29	84	30	11	5	16	43	34	9	60	28	27	47	50	57	25	11	60	40	253					
6	Число погашенных избирательных бюллетеней	2901	14	7	1	4	0	20	2	4	1	11	0	15	0	8	1	0	7	0	0	8	8	32	27	194	0	8	35	0	6	11	21	13	4	28	0	9	11	0	5	0	0	3	2	3	0	9	10	17	3	0	0	110	12	3	0	11	0	43	32	13	0	0	144	54	10	99	39	23	108	257	97	95	69	50	416	4	82	148	33	325	62	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2216	54	27	18	21	27	20	29	35	8	28	20	18	8	0	8	18	20	12	21	25	32	14	52	99	16	26	13	15	21	11	24	18	4	70	6	0	10	0	0	0	17	10	12	24	9	7	10	44	0	0	0	63	5	4	12	37	15	41	39	34	40	26	29	84	30	11	5	16	43	34	9	60	28	27	47	50	57	25	11	60	40	253					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	45338	449	380	306	1075	783	480	498	183	83	784	345	497	239	172	93	109	225	354	354	485	462	627	271	1197	324	296	470	198	195	98	237	439	126	829	72	261	120	83	164	112	357	404	163	394	181	134	155	769	193	175	190	1147	213	227	408	492	485	424	479	453	666	544	1127	1062	210	690	440	1311	1049	1089	1190	1045	1079	1148	2092	1088	1061	1197	1056	2114	2135	27					
9	Число недействительных избирательных бюллетеней	602	8	7	1	11	12	3	12	0	0	17	3	0	0	6	1	4	3	3	1	1	5	7	8	14	2	3	3	12	19	0	2	7	2	79	0	6	0	0	3	2	9	5	0	6	1	0	1	8	1	0	0	20	1	0	9	6	3	0	5	3	9	0	0	6	1	7	4	18	19	18	21	8	22	4	45	10	7	8	8	24	17	1					
10	Число действительных избирательных бюллетеней	46952	495	400	323	1085	798	497	515	218	91	795	362	515	247	166	100	123	242	363	374	509	489	634	315	1282	338	319	480	201	197	109	259	450	128	820	78	255	130	83	161	110	365	409	175	412	189	141	164	805	192	175	190	1190	217	231	411	523	497	465	513	484	697	570	1156	1140	239	694	441	1309	1073	1105	1178	1097	1085	1171	2094	1128	1111	1214	1059	2150	2158	279					
