Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																							
Дата голосования: 18.09.2016																																							
																																							
Наименование Избирательной комиссии:    Ильинская																																							
																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																							
																																							
		Сумма	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1220	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227	УИК №1228									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	15583	964	969	962	865	910	362	446	370	338	630	322	233	206	522	338	519	533	815	267	94	421	277	302	560	160	119	1401	1678									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	15516	976	960	961	789	908	364	452	364	328	644	330	233	205	513	336	520	526	829	259	94	423	267	299	544	161	120	1417	1694									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5190	336	381	382	323	241	118	141	140	101	185	100	72	80	158	125	163	153	284	51	41	122	111	95	166	48	49	482	542									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1071	43	18	22	35	21	13	35	18	57	103	39	0	11	21	24	42	77	32	60	2	39	7	57	90	14	19	63	109									
6	Число погашенных избирательных бюллетеней	9255	597	561	557	431	646	233	276	206	170	356	191	161	114	334	187	315	296	513	148	51	262	149	147	288	99	52	872	1043									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1071	43	18	22	35	21	13	35	18	57	103	39	0	11	21	24	42	77	32	60	2	39	7	57	90	14	19	63	109									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5190	336	381	382	323	241	118	141	140	101	185	100	72	80	158	125	163	153	284	51	41	122	111	95	166	48	49	482	542									
9	Число недействительных избирательных бюллетеней	221	6	17	11	8	14	3	10	4	3	6	6	1	3	14	3	14	12	14	0	6	3	5	7	10	0	3	18	20									
10	Число действительных избирательных бюллетеней	6040	373	382	393	350	248	128	166	154	155	282	133	71	88	165	146	191	218	302	111	37	158	113	145	246	62	65	527	631									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	570	37	35	37	32	33	13	16	13	11	23	12	8	7	19	12	19	19	31	9	3	15	9	10	20	5	4	54	64									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	109	5	5	6	4	5	0	1	0	0	14	12	0	3	3	0	3	1	23	5	0	1	1	5	0	1	4	3	4									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	60	5	6	6	2	4	3	2	2	4	2	2	0	0	3	0	1	1	3	0	0	4	0	1	4	0	0	1	4									
14	Число погашенных неиспользованных открепительных удостоверений	461	32	30	31	28	28	13	15	13	11	9	0	8	4	16	12	16	18	8	4	3	14	8	5	20	4	0	51	60									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	18	2	1	2	3	4	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	61	5	4	2	2	0	2	2	3	1	5	1	0	0	1	0	4	1	3	1	1	1	0	2	2	0	0	7	11									
		0.97%	1.32%	1.00%	0.50%	0.56%	0.00%	1.53%	1.14%	1.90%	0.63%	1.74%	0.72%	0.00%	0.00%	0.56%	0.00%	1.95%	0.43%	0.95%	0.90%	2.33%	0.62%	0.00%	1.32%	0.78%	0.00%	0.00%	1.28%	1.69%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	211	15	11	10	17	19	4	3	3	4	9	2	2	1	4	6	8	5	10	7	0	4	3	4	8	2	3	27	20									
		3.37%	3.96%	2.76%	2.48%	4.75%	7.25%	3.05%	1.70%	1.90%	2.53%	3.13%	1.44%	2.78%	1.10%	2.23%	4.03%	3.90%	2.17%	3.16%	6.31%	0.00%	2.48%	2.54%	2.63%	3.13%	3.23%	4.41%	4.95%	3.07%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	156	10	11	14	15	8	5	1	5	8	3	0	0	3	5	3	6	6	9	2	0	4	0	2	5	0	3	19	9									
		2.49%	2.64%	2.76%	3.47%	4.19%	3.05%	3.82%	0.57%	3.16%	5.06%	1.04%	0.00%	0.00%	3.30%	2.79%	2.01%	2.93%	2.61%	2.85%	1.80%	0.00%	2.48%	0.00%	1.32%	1.95%	0.00%	4.41%	3.49%	1.38%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3365	190	185	230	177	137	70	113	103	107	178	71	47	51	86	72	111	115	165	85	23	89	81	101	176	39	31	243	289									
		53.75%	50.13%	46.37%	56.93%	49.44%	52.29%	53.44%	64.20%	65.19%	67.72%	61.81%	51.08%	65.28%	56.04%	48.04%	48.32%	54.15%	50.00%	52.22%	76.58%	53.49%	55.28%	68.64%	66.45%	68.75%	62.90%	45.59%	44.59%	44.39%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	26	4	2	2	1	1	2	0	2	1	0	0	1	1	1	0	1	1	2	0	1	0	0	0	0	0	0	1	2									
		0.42%	1.06%	0.50%	0.50%	0.28%	0.38%	1.53%	0.00%	1.27%	0.63%	0.00%	0.00%	1.39%	1.10%	0.56%	0.00%	0.49%	0.43%	0.63%	0.00%	2.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.31%									
24	"6. Политическая партия ""Гражданская Платформа"""	12	1	0	1	0	0	0	1	0	0	3	0	0	1	0	2	0	0	0	0	0	0	0	1	1	0	0	0	1									
		0.19%	0.26%	0.00%	0.25%	0.00%	0.00%	0.00%	0.57%	0.00%	0.00%	1.04%	0.00%	0.00%	1.10%	0.00%	1.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.66%	0.39%	0.00%	0.00%	0.00%	0.15%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	869	56	64	59	51	35	22	25	22	17	42	17	6	12	27	19	24	43	52	9	7	13	14	20	27	7	14	82	83									
		13.88%	14.78%	16.04%	14.60%	14.25%	13.36%	16.79%	14.20%	13.92%	10.76%	14.58%	12.23%	8.33%	13.19%	15.08%	12.75%	11.71%	18.70%	16.46%	8.11%	16.28%	8.07%	11.86%	13.16%	10.55%	11.29%	20.59%	15.05%	12.75%									
