Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва														
Дата голосования: 07.12.2003 0:00:00														
														
Наименование Избирательной комиссии:    Сут-Хольская														
														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)														
														
		Сумма	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126					
1	"Число избирателей, внесенных в списки"	4435	615	317	522	1606	482	310	583					
2	"Число бюллетеней, полученных участковыми комиссиями"	4672	932	310	532	1540	473	307	578					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	201	78	0	27	0	10	33	53					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	2808	470	251	327	874	339	183	364					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	220	20	26	15	48	38	15	58					
6	Число погашенных бюллетеней	1443	364	33	163	618	86	76	103					
7	Число бюллетеней в переносных ящиках для голосования	421	98	26	42	48	48	48	111					
8	Число бюллетеней в стационарных ящиках для голосования	2806	470	251	327	872	339	183	364					
9	Число недействительных бюллетеней	71	0	1	11	29	14	3	13					
10	Число действительных бюллетеней	3156	568	276	358	891	373	228	462					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	100	20	10	10	30	10	10	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	17	0	0	5	11	1	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	9	0	1	0	4	1	2	1					
14	Число погашенных открепительных удостоверений	83	20	10	5	19	9	10	10					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0					
														
18	"1. ""ЕДИНЕНИЕ"""	123	16	9	27	42	7	8	14					
		3.81%	2.81%	3.24%	7.31%	4.56%	1.80%	3.46%	2.94%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	8	1	0	2	4	1	0	0					
		0.24%	0.17%	0.0%	0.54%	0.43%	0.25%	0.0%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	36	8	3	8	12	2	1	2					
		1.11%	1.40%	1.08%	2.16%	1.30%	0.51%	0.43%	0.42%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	21	1	2	2	9	1	1	5					
		0.65%	0.17%	0.72%	0.54%	0.97%	0.25%	0.43%	1.05%					
22	"5. ""За Русь Святую"""	1	0	0	0	0	0	0	1					
		0.03%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.21%					
23	"6. ""Объединенная Российская партия ""Русь"""	5	1	0	1	0	1	0	2					
		0.15%	0.17%	0.0%	0.27%	0.0%	0.25%	0.0%	0.42%					
24	"7. ""Новый курс - Автомобильная Россия"""	7	2	2	2	1	0	0	0					
		0.21%	0.35%	0.72%	0.54%	0.10%	0.0%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	4	1	1	1	0	0	1	0					
		0.12%	0.17%	0.36%	0.27%	0.0%	0.0%	0.43%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	2	0	0	0	2	0	0	0					
		0.06%	0.0%	0.0%	0.0%	0.21%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	18	4	1	2	4	3	2	2					
		0.55%	0.70%	0.36%	0.54%	0.43%	0.77%	0.86%	0.42%					
