Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																				
Дата голосования: 18.09.2016																																				
																																				
Наименование Избирательной комиссии:    Смоленская																																				
																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																				
																																				
		Сумма	УИК №1441	УИК №1442	УИК №1443	УИК №1444	УИК №1445	УИК №1446	УИК №1447	УИК №1448	УИК №1449	УИК №1450	УИК №1451	УИК №1452	УИК №1453	УИК №1454	УИК №1455	УИК №1456	УИК №1457	УИК №1458	УИК №1459	УИК №1460	УИК №1461	УИК №1462	УИК №1463	УИК №1464	УИК №1465									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	20261	731	253	1158	534	554	990	212	210	127	1121	181	146	440	1106	461	2864	1906	2540	479	1138	836	783	1100	232	159									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	19690	700	250	1140	500	550	1000	210	200	120	1100	150	140	440	1100	450	2800	1890	2500	450	1100	800	750	1000	200	150									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7509	290	103	466	201	179	377	105	92	63	379	66	52	152	421	159	923	779	1028	182	342	310	310	389	72	69									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	607	19	15	29	9	51	51	11	10	1	29	12	0	11	26	13	46	44	41	23	24	43	17	43	30	9									
6	Число погашенных избирательных бюллетеней	11574	391	132	645	290	320	572	94	98	56	692	72	88	277	653	278	1831	1067	1431	245	734	447	423	568	98	72									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	607	19	15	29	9	51	51	11	10	1	29	12	0	11	26	13	46	44	41	23	24	43	17	43	30	9									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7508	290	103	466	201	179	377	105	92	63	379	66	52	152	421	159	923	779	1027	182	342	310	310	389	72	69									
9	Число недействительных избирательных бюллетеней	243	13	4	21	6	5	7	10	3	4	7	2	0	8	14	9	29	24	34	1	10	7	6	14	5	0									
10	Число действительных избирательных бюллетеней	7872	296	114	474	204	225	421	106	99	60	401	76	52	155	433	163	940	799	1034	204	356	346	321	418	97	78									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	194	16	3	2	1	5	9	3	3	3	10	3	3	10	15	7	13	18	15	7	13	9	6	10	4	6									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	137	14	0	1	1	1	7	0	1	1	6	0	0	6	14	3	13	14	15	2	7	9	5	10	1	6									
