Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																
Дата голосования: 18.09.2016																																																
																																																
"Наименование Избирательной комиссии:    Уфа, Ленинская"																																																
																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																
																																																
		Сумма	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	60054	1091	1244	1330	1200	1016	1543	1295	1288	1028	929	1619	1257	1007	904	1116	867	2676	2111	814	1540	1555	842	1679	1712	2062	1334	2631	2557	2422	1971	2699	1993	2375	2178	2456	2647	1066									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	51100	950	950	1050	950	850	1300	1050	1150	850	850	1400	1050	850	850	950	750	2350	1900	650	1300	1400	750	1500	1400	1800	1150	2300	2100	2100	1700	2200	1700	2000	1800	2000	2100	1100									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	27256	621	473	665	496	672	993	794	748	658	570	702	181	361	203	290	303	786	1137	366	863	898	217	961	739	1245	678	360	1521	1469	1095	541	458	1414	562	897	1314	1005									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2482	46	167	13	107	7	56	3	63	22	32	144	134	180	7	47	6	12	155	150	82	52	20	22	95	20	205	114	42	105	40	95	20	33	166	6	2	12									
6	Число погашенных избирательных бюллетеней	21362	283	310	372	347	171	251	253	339	170	248	554	735	309	640	613	441	1552	608	134	355	450	513	517	566	535	267	1826	537	526	565	1564	1222	553	1072	1097	784	83									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2482	46	167	13	107	7	56	3	63	22	32	144	134	180	7	47	6	12	155	150	82	52	20	22	95	20	205	114	42	105	40	95	20	33	166	6	2	12									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	27246	621	473	665	496	672	993	794	748	658	570	702	180	361	203	290	303	786	1137	366	863	898	217	961	739	1245	678	360	1521	1469	1095	532	458	1414	562	897	1314	1005									
9	Число недействительных избирательных бюллетеней	493	7	2	8	0	1	0	7	6	4	8	5	11	7	9	6	21	25	12	5	10	14	7	12	21	34	3	6	129	12	8	11	22	0	9	24	17	10									
10	Число действительных избирательных бюллетеней	29235	660	638	670	603	678	1049	790	805	676	594	841	303	534	201	331	288	773	1280	511	935	936	230	971	813	1231	880	468	1434	1562	1127	616	456	1447	719	879	1299	1007									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	811	15	20	30	20	20	20	15	30	15	10	25	15	15	10	20	10	35	25	10	15	25	20	30	25	40	25	21	25	25	25	30	25	25	15	45	30	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	680	10	15	29	17	13	20	13	30	11	7	25	12	11	8	16	3	27	17	3	15	25	8	25	21	32	24	21	25	24	25	26	25	21	15	34	27	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	674	17	26	16	45	2	7	68	10	10	4	4	4	6	7	4	19	35	11	9	4	3	4	8	54	10	4	8	13	7	5	13	8	9	21	29	7	163									
14	Число погашенных неиспользованных открепительных удостоверений	131	5	5	1	3	7	0	2	0	4	3	0	3	4	2	4	7	8	8	7	0	0	12	5	4	8	1	0	0	1	0	4	0	4	0	11	3	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	63	1	2	2	1	0	4	1	0	1	1	2	1	4	1	1	0	3	3	0	2	1	1	4	0	0	4	1	2	3	2	4	1	3	2	1	4	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	1056	13	19	5	47	9	106	12	3	103	8	24	3	6	8	6	7	25	15	16	82	8	1	5	83	29	75	10	13	11	4	15	12	16	25	22	179	31									
		3.55%	1.95%	2.97%	0.74%	7.79%	1.33%	10.10%	1.51%	0.37%	15.15%	1.33%	2.84%	0.96%	1.11%	3.81%	1.78%	2.27%	3.13%	1.16%	3.10%	8.68%	0.84%	0.42%	0.51%	9.95%	2.29%	8.49%	2.11%	0.83%	0.70%	0.35%	2.39%	2.51%	1.11%	3.43%	2.44%	13.60%	3.05%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	666	11	1	0	19	5	31	15	20	16	4	11	9	10	6	13	8	18	27	27	32	22	8	38	26	28	26	26	16	7	6	27	19	12	32	39	36	15									
		2.24%	1.65%	0.16%	0.00%	3.15%	0.74%	2.96%	1.88%	2.47%	2.35%	0.66%	1.30%	2.87%	1.85%	2.86%	3.86%	2.59%	2.26%	2.09%	5.23%	3.39%	2.32%	3.38%	3.87%	3.12%	2.21%	2.94%	5.49%	1.02%	0.44%	0.53%	4.31%	3.97%	0.83%	4.40%	4.32%	2.74%	1.47%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	494	15	1	2	7	12	13	9	1	10	12	7	11	7	4	10	3	38	23	4	15	17	5	23	20	22	17	16	21	15	0	24	15	8	26	19	20	22									
		1.66%	2.25%	0.16%	0.29%	1.16%	1.77%	1.24%	1.13%	0.12%	1.47%	1.99%	0.83%	3.50%	1.29%	1.90%	2.97%	0.97%	4.76%	1.78%	0.78%	1.59%	1.79%	2.11%	2.34%	2.40%	1.74%	1.93%	3.38%	1.34%	0.95%	0.00%	3.83%	3.14%	0.55%	3.57%	2.10%	1.52%	2.16%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	13777	327	313	332	270	331	391	396	401	240	226	412	142	265	67	150	121	306	641	231	453	472	113	483	398	655	399	228	648	843	552	287	157	716	307	420	417	667									
		46.34%	49.03%	48.91%	48.97%	44.78%	48.75%	37.27%	49.69%	49.45%	35.29%	37.54%	48.70%	45.22%	48.98%	31.90%	44.51%	39.16%	38.35%	49.61%	44.77%	47.94%	49.68%	47.68%	49.14%	47.72%	51.78%	45.19%	48.10%	41.46%	53.56%	48.63%	45.77%	32.85%	49.48%	42.17%	46.51%	31.69%	65.59%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	318	12	1	0	12	4	5	8	0	10	6	20	3	5	1	5	4	17	12	0	5	16	5	18	5	10	10	3	18	3	4	9	6	5	20	20	23	13									
		1.07%	1.80%	0.16%	0.00%	1.99%	0.59%	0.48%	1.00%	0.00%	1.47%	0.99%	2.36%	0.96%	0.92%	0.48%	1.48%	1.29%	2.13%	0.93%	0.00%	0.53%	1.68%	2.11%	1.83%	0.60%	0.79%	1.13%	0.63%	1.15%	0.19%	0.35%	1.44%	1.26%	0.35%	2.75%	2.21%	1.75%	1.28%									
24	"6. Политическая партия ""Гражданская Платформа"""	82	2	1	0	2	0	4	5	3	1	0	2	2	0	0	0	1	5	5	0	0	0	3	7	4	3	4	2	1	2	0	1	2	0	4	7	2	7									
		0.28%	0.30%	0.16%	0.00%	0.33%	0.00%	0.38%	0.63%	0.37%	0.15%	0.00%	0.24%	0.64%	0.00%	0.00%	0.00%	0.32%	0.63%	0.39%	0.00%	0.00%	0.00%	1.27%	0.71%	0.48%	0.24%	0.45%	0.42%	0.06%	0.13%	0.00%	0.16%	0.42%	0.00%	0.55%	0.78%	0.15%	0.69%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	5488	65	146	140	84	135	172	68	162	140	134	109	61	85	26	38	54	113	305	83	181	219	34	218	112	138	148	84	303	330	260	111	79	432	116	143	262	198									
		18.46%	9.75%	22.81%	20.65%	13.93%	19.88%	16.40%	8.53%	19.98%	20.59%	22.26%	12.88%	19.43%	15.71%	12.38%	11.28%	17.48%	14.16%	23.61%	16.09%	19.15%	23.05%	14.35%	22.18%	13.43%	10.91%	16.76%	17.72%	19.39%	20.97%	22.91%	17.70%	16.53%	29.85%	15.93%	15.84%	19.91%	19.47%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	148	6	2	0	10	0	4	9	3	2	7	4	3	7	4	3	4	10	9	0	2	1	5	6	4	0	0	4	6	1	0	5	3	0	0	10	6	8									
		0.50%	0.90%	0.31%	0.00%	1.66%	0.00%	0.38%	1.13%	0.37%	0.29%	1.16%	0.47%	0.96%	1.29%	1.90%	0.89%	1.29%	1.25%	0.70%	0.00%	0.21%	0.11%	2.11%	0.61%	0.48%	0.00%	0.00%	0.84%	0.38%	0.06%	0.00%	0.80%	0.63%	0.00%	0.00%	1.11%	0.46%	0.79%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	270	9	2	3	15	15	10	10	2	1	11	17	2	10	5	10	5	24	9	1	3	8	1	7	6	4	3	3	22	1	9	5	7	0	12	11	4	3									
		0.91%	1.35%	0.31%	0.44%	2.49%	2.21%	0.95%	1.25%	0.25%	0.15%	1.83%	2.01%	0.64%	1.85%	2.38%	2.97%	1.62%	3.01%	0.70%	0.19%	0.32%	0.84%	0.42%	0.71%	0.72%	0.32%	0.34%	0.63%	1.41%	0.06%	0.79%	0.80%	1.46%	0.00%	1.65%	1.22%	0.30%	0.29%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	33	2	1	2	0	0	1	3	0	1	1	3	0	1	0	0	0	1	0	0	1	0	1	4	2	0	0	1	1	2	0	0	0	0	1	1	0	3									
		0.11%	0.30%	0.16%	0.29%	0.00%	0.00%	0.10%	0.38%	0.00%	0.15%	0.17%	0.35%	0.00%	0.18%	0.00%	0.00%	0.00%	0.13%	0.00%	0.00%	0.11%	0.00%	0.42%	0.41%	0.24%	0.00%	0.00%	0.21%	0.06%	0.13%	0.00%	0.00%	0.00%	0.00%	0.14%	0.11%	0.00%	0.29%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	444	18	2	5	38	17	22	20	3	10	10	26	10	8	19	14	13	35	12	1	8	7	4	4	11	8	6	8	26	2	10	6	11	7	10	7	19	7									
		1.49%	2.70%	0.31%	0.74%	6.30%	2.50%	2.10%	2.51%	0.37%	1.47%	1.66%	3.07%	3.18%	1.48%	9.05%	4.15%	4.21%	4.39%	0.93%	0.19%	0.85%	0.74%	1.69%	0.41%	1.32%	0.63%	0.68%	1.69%	1.66%	0.13%	0.88%	0.96%	2.30%	0.48%	1.37%	0.78%	1.44%	0.69%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	4600	94	99	103	63	95	210	209	120	127	132	145	37	67	42	57	40	123	191	78	133	133	42	81	99	314	117	54	306	299	158	86	70	224	95	102	237	18									
		15.47%	14.09%	15.47%	15.19%	10.45%	13.99%	20.02%	26.22%	14.80%	18.68%	21.93%	17.14%	11.78%	12.38%	20.00%	16.91%	12.94%	15.41%	14.78%	15.12%	14.07%	14.00%	17.72%	8.24%	11.87%	24.82%	13.25%	11.39%	19.58%	18.99%	13.92%	13.72%	14.64%	15.48%	13.05%	11.30%	18.01%	1.77%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	134	11	3	3	2	20	0	2	10	0	0	12	1	3	2	1	1	3	0	2	5	2	1	4	1	2	2	1	6	2	0	3	2	4	4	5	12	2									
		0.45%	1.65%	0.47%	0.44%	0.33%	2.95%	0.00%	0.25%	1.23%	0.00%	0.00%	1.42%	0.32%	0.55%	0.95%	0.30%	0.32%	0.38%	0.00%	0.39%	0.53%	0.21%	0.42%	0.41%	0.12%	0.16%	0.23%	0.21%	0.38%	0.13%	0.00%	0.48%	0.42%	0.28%	0.55%	0.55%	0.91%	0.20%									
