Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																
Дата голосования: 02.12.2007																																
																																
Наименование Избирательной комиссии:    Казбековская																																
																																
Сводная таблица результатов выборов																																
																																
		Сумма	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556					
1	"Число избирателей, внесенных в списки избирателей"	26259	1190	117	37	2137	956	365	1812	1422	1456	1351	2043	1887	86	1218	1455	1465	1997	1597	1614	109	186	46	162	337	1214					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	26040	1190	117	37	2000	956	365	1790	1422	1456	1351	1990	1887	86	1218	1455	1465	1990	1597	1614	109	186	46	162	337	1214					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	24235	1155	117	37	1927	800	328	1703	1394	1427	1283	1803	1758	86	1167	1363	1391	1561	1567	1589	109	186	46	162	280	996					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	234	20	0	0	17	27	0	29	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	116					
6	Число погашенных избирательных бюллетеней	1571	15	0	0	56	129	37	58	28	29	68	187	129	0	51	92	49	429	30	25	0	0	0	0	57	102					
7	Число избирательных бюллетеней в переносных ящиках для голосования	234	20	0	0	17	27	0	29	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	116					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	24212	1155	117	37	1927	800	328	1703	1394	1427	1283	1803	1758	86	1167	1363	1385	1561	1567	1572	109	186	46	162	280	996					
9	Число недействительных избирательных бюллетеней	33	6	0	0	0	15	0	2	1	0	0	0	3	0	0	0	0	0	2	4	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	24413	1169	117	37	1944	812	328	1730	1393	1427	1283	1803	1755	86	1167	1363	1410	1561	1565	1568	109	186	46	162	280	1112					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	500	15	10	10	30	15	10	30	30	30	30	30	30	10	15	30	30	30	30	20	10	10	5	10	10	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	18	7	1	0	0	1	0	0	2	0	1	1	0	0	0	2	0	0	0	0	2	1	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	6	0	0	0	0	0	0	1	2	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	482	8	9	10	30	14	10	30	28	30	29	29	30	10	15	28	30	30	30	20	8	9	5	10	10	20					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																
18	1.Политическая партия «Аграрная партия России»	16	1	1	0	0	0	0	2	0	0	0	0	10	0	0	0	0	0	2	0	0	0	0	0	0	0					
		0.07%	0.09%	0.85%	0.00%	0.00%	0.00%	0.00%	0.12%	0.00%	0.00%	0.00%	0.00%	0.57%	0.00%	0.00%	0.00%	0.00%	0.00%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	2508	5	1	1	15	1	6	25	13	19	9	18	17	0	3	720	912	16	80	26	3	0	0	92	6	520					
		10.26%	0.43%	0.85%	2.70%	0.77%	0.12%	1.83%	1.44%	0.93%	1.33%	0.70%	0.99%	0.97%	0.00%	0.26%	52.82%	64.68%	1.02%	5.11%	1.65%	2.75%	0.00%	0.00%	56.79%	2.14%	46.76%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	258	7	0	0	0	2	2	5	0	0	10	0	9	0	1	90	95	14	6	15	0	2	0	0	0	0					
		1.06%	0.60%	0.00%	0.00%	0.00%	0.24%	0.61%	0.29%	0.00%	0.00%	0.78%	0.00%	0.51%	0.00%	0.09%	6.60%	6.74%	0.90%	0.38%	0.95%	0.00%	1.08%	0.00%	0.00%	0.00%	0.00%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	99	0	0	0	10	0	0	6	10	10	20	18	0	0	5	0	0	0	20	0	0	0	0	0	0	0					
		0.40%	0.00%	0.00%	0.00%	0.51%	0.00%	0.00%	0.35%	0.72%	0.70%	1.56%	0.99%	0.00%	0.00%	0.43%	0.00%	0.00%	0.00%	1.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	21526	1156	115	36	1919	809	319	1691	1370	1398	1244	1767	1719	86	1158	553	403	1531	1457	1524	106	183	46	70	274	592					
		88.06%	98.38%	98.29%	97.30%	98.71%	97.82%	97.26%	97.63%	98.28%	97.97%	96.96%	98.00%	97.78%	10.00%	99.23%	40.57%	28.58%	98.08%	92.98%	96.95%	97.25%	98.39%	10.00%	43.21%	97.86%	53.24%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0					
		0.02%	0.00%	0.00%	0.00%	0.00%	0.00%	0.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%	0.54%	0.00%	0.00%	0.00%	0.00%					
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
