Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																								
Дата голосования: 18.09.2016																								
																								
Наименование Избирательной комиссии:    Улуг-Хемская																								
																								
Сводная таблица итогов голосования по федеральному избирательному округу																								
																								
		Сумма	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	8682	1033	1058	847	777	366	1200	382	488	705	397	724	398	307									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11709	1706	1531	1382	1342	456	1302	441	617	821	463	868	472	308									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	64	0	0	0	0	0	33	1	0	0	30	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7703	960	881	771	695	327	979	368	409	633	324	690	387	279									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	855	73	170	65	77	19	188	11	74	62	43	34	11	28									
6	Число погашенных избирательных бюллетеней	3087	673	480	546	570	110	102	61	134	126	66	144	74	1									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	919	73	170	65	77	19	221	12	74	62	73	34	11	28									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7703	960	881	771	695	327	979	368	409	633	324	690	387	279									
9	Число недействительных избирательных бюллетеней	49	23	0	17	3	0	0	0	0	0	6	0	0	0									
10	Число действительных избирательных бюллетеней	8573	1010	1051	819	769	346	1200	380	483	695	391	724	398	307									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	36	7	0	1	5	5	1	1	2	3	3	0	4	4									
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	120	18	13	12	23	10	8	2	12	5	5	6	5	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	15	3	2	5	2	0	0	0	0	0	3	0	0	0									
		0.17%	0.29%	0.19%	0.60%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.76%	0.00%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	89	28	10	21	17	0	4	0	0	0	4	0	0	5									
		1.03%	2.71%	0.95%	2.51%	2.20%	0.00%	0.33%	0.00%	0.00%	0.00%	1.01%	0.00%	0.00%	1.63%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	40	11	3	16	10	0	0	0	0	0	0	0	0	0									
		0.46%	1.06%	0.29%	1.91%	1.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	7669	789	921	542	605	342	1187	375	446	679	365	724	398	296									
		88.95%	76.38%	87.63%	64.83%	78.37%	98.84%	98.92%	98.68%	92.34%	97.70%	91.94%	100.00%	100.00%	96.42%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	14	4	2	4	4	0	0	0	0	0	0	0	0	0									
		0.16%	0.39%	0.19%	0.48%	0.52%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	6	3	1	1	1	0	0	0	0	0	0	0	0	0									
		0.07%	0.29%	0.10%	0.12%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	150	42	31	56	19	0	2	0	0	0	0	0	0	0									
		1.74%	4.07%	2.95%	6.70%	2.46%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	8	3	1	2	2	0	0	0	0	0	0	0	0	0									
		0.09%	0.29%	0.10%	0.24%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
