Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																								
Дата голосования: 02.12.2007																								
																								
Наименование Избирательной комиссии:    Сандовская																								
																								
Сводная таблица результатов выборов																								
																								
		Сумма	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905					
1	"Число избирателей, внесенных в списки избирателей"	6447	1852	1236	339	148	274	319	96	322	197	287	181	217	213	305	101	182	178					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	6365	1800	1200	330	140	290	325	95	320	200	285	180	210	220	300	100	185	185					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	3854	1216	786	230	85	173	174	70	163	114	143	104	113	116	143	48	78	98					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1094	64	83	74	42	101	65	25	80	47	119	52	55	63	88	27	67	42					
6	Число погашенных избирательных бюллетеней	1417	520	331	26	13	16	86	0	77	39	23	24	42	41	69	25	40	45					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1094	64	83	74	42	101	65	25	80	47	119	52	55	63	88	27	67	42					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	3854	1216	786	230	85	173	174	70	163	114	143	104	113	116	143	48	78	98					
9	Число недействительных избирательных бюллетеней	16	5	4	0	0	2	1	0	2	0	0	1	0	0	0	0	1	0					
10	Число действительных избирательных бюллетеней	4932	1275	865	304	127	272	238	95	241	161	262	155	168	179	231	75	144	140					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	292	60	50	10	10	10	20	10	10	10	10	17	15	20	10	10	10	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	219	60	42	5	7	10	20	0	3	5	2	17	14	20	2	0	5	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	105	38	22	5	4	8	3	1	4	0	0	6	3	1	5	1	2	2					
14	Число погашенных неиспользованных открепительных удостоверений	73	0	8	5	3	0	0	10	7	5	8	0	1	0	8	10	5	3					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	8	2	3	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																								
18	1.Политическая партия «Аграрная партия России»	139	22	16	14	4	12	13	4	2	9	12	7	6	0	8	3	7	0					
		2.81%	1.72%	1.84%	4.61%	3.15%	4.38%	5.44%	4.21%	0.82%	5.59%	4.58%	4.49%	3.57%	0.00%	3.46%	4.00%	4.83%	0.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	9	3	4	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0					
		0.18%	0.23%	0.46%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.33%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0					
		0.02%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	283	106	56	7	3	11	12	4	7	6	16	23	8	5	13	0	4	2					
		5.72%	8.28%	6.44%	2.30%	2.36%	4.01%	5.02%	4.21%	2.88%	3.73%	6.11%	14.74%	4.76%	2.79%	5.63%	0.00%	2.76%	1.43%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	5	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0					
		0.10%	0.23%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.69%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	4	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0					
		0.08%	0.08%	0.00%	0.00%	0.00%	0.36%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.60%	0.00%	0.00%	0.00%	0.69%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	312	98	74	15	9	13	14	4	14	14	16	6	6	4	12	3	5	5					
		6.31%	7.66%	8.52%	4.93%	7.09%	4.74%	5.86%	4.21%	5.76%	8.70%	6.11%	3.85%	3.57%	2.23%	5.19%	4.00%	3.45%	3.57%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	249	84	59	15	3	8	15	4	6	7	7	7	6	6	7	4	4	7					
		5.03%	6.56%	6.79%	4.93%	2.36%	2.92%	6.28%	4.21%	2.47%	4.35%	2.67%	4.49%	3.57%	3.35%	3.03%	5.33%	2.76%	5.00%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	31	9	6	1	1	3	0	0	2	0	2	0	0	0	4	0	1	2					
		0.63%	0.70%	0.69%	0.33%	0.79%	1.09%	0.00%	0.00%	0.82%	0.00%	0.76%	0.00%	0.00%	0.00%	1.73%	0.00%	0.69%	1.43%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	3881	941	643	251	107	224	184	79	209	125	208	111	140	164	187	64	121	123					
		78.44%	73.52%	73.99%	82.57%	84.25%	81.75%	76.99%	83.16%	86.01%	77.64%	79.39%	71.15%	83.33%	91.62%	80.95%	85.33%	83.45%	87.86%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	18	8	6	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1					
		0.36%	0.63%	0.69%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.38%	0.64%	0.60%	0.00%	0.00%	0.00%	0.00%	0.71%					
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
