Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																					
Дата голосования: 07.12.2003 0:00:00																																																																					
																																																																					
Наименование Избирательной комиссии:    Егорьевская																																																																					
																																																																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																					
																																																																					
		Сумма	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476					
1	"Число избирателей, внесенных в списки"	84302	1710	630	2323	1525	1114	1006	2511	1496	2394	1782	2037	1031	1997	1514	2630	2498	2903	1164	2108	2270	1521	1666	1987	1602	2240	1647	2386	2507	2417	2199	921	270	675	2513	466	387	856	410	413	1341	2532	317	540	659	1719	145	2499	914	1164	1213	708	246	1018	353	409	989	386	1038	107	236	1872	171					
2	"Число бюллетеней, полученных участковыми комиссиями"	79714	1644	580	2197	1440	1073	937	2385	1408	2265	1659	1945	971	1882	1427	2496	2380	2734	1103	1996	2120	1429	1589	1871	1522	2119	1550	2272	2371	2293	2089	867	266	633	2387	430	367	831	393	380	1284	2404	295	512	628	1623	132	2288	856	1116	1150	665	226	957	329	385	951	367	988	99	220	1778	160					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	36178	862	265	846	729	408	459	961	620	1178	434	843	416	919	653	1097	1118	1475	466	1031	924	670	770	931	715	1087	768	1111	1201	1181	1077	429	263	208	1083	263	202	271	217	167	611	993	79	197	295	642	42	1051	320	425	388	266	109	359	137	153	450	73	379	57	74	696	64					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	3361	35	20	18	21	25	12	18	27	14	337	26	32	8	16	4	8	6	12	20	47	19	26	15	13	14	22	25	20	17	17	9	0	89	27	23	28	136	33	46	126	172	82	102	71	220	50	218	125	68	180	43	36	96	11	43	44	159	112	15	61	21	21					
6	Число погашенных бюллетеней	40175	747	295	1333	690	640	466	1406	761	1073	888	1076	523	955	758	1395	1254	1253	625	945	1149	740	793	925	794	1018	760	1136	1150	1095	995	429	3	336	1277	144	137	424	143	167	547	1239	134	213	262	761	40	1019	411	623	582	356	81	502	181	189	457	135	497	27	85	1061	75					
7	Число бюллетеней в переносных ящиках для голосования	3360	35	20	18	21	25	12	18	27	14	336	26	32	8	16	4	8	6	12	20	47	19	26	15	13	14	22	25	20	17	17	9	0	89	27	23	28	136	33	46	126	172	82	102	71	220	50	218	125	68	180	43	36	96	11	43	44	159	112	15	61	21	21					
8	Число бюллетеней в стационарных ящиках для голосования	36116	860	265	846	726	408	459	961	620	1178	431	798	416	919	653	1097	1118	1475	467	1031	924	670	770	929	715	1084	768	1111	1201	1179	1077	427	262	208	1083	263	202	271	217	167	611	993	79	197	295	642	42	1051	320	425	388	266	109	359	137	153	450	73	379	57	74	696	64					
9	Число недействительных бюллетеней	1119	14	5	24	10	4	11	32	10	15	15	19	8	14	11	37	7	9	11	42	51	24	29	26	22	21	36	40	28	44	16	19	12	12	98	9	4	4	16	20	22	18	2	6	11	30	2	8	10	28	17	7	7	19	2	2	13	5	24	0	1	52	4					
10	Число действительных бюллетеней	38357	881	280	840	737	429	460	947	637	1177	752	805	440	913	658	1064	1119	1472	468	1009	920	665	767	918	706	1077	754	1096	1193	1152	1078	417	250	285	1012	277	226	403	234	193	715	1147	159	293	355	832	90	1261	435	465	551	302	138	436	146	194	481	227	467	72	134	665	81					
