Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																												
Дата голосования: 18.09.2016																																												
																																												
Наименование Избирательной комиссии:    Казанская																																												
																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																												
																																												
		Сумма	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1220	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1231	УИК №1232	УИК №1233									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	17227	545	147	95	421	182	776	170	459	807	472	301	1031	195	207	232	1435	1373	1005	1075	1307	1319	133	503	319	371	288	373	92	327	140	496	503	128									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	17051	539	146	92	412	175	772	171	460	764	474	289	1008	192	193	229	1439	1372	998	1049	1319	1329	121	505	322	356	282	371	91	319	131	499	502	130									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	15123	507	134	82	376	158	637	122	431	719	416	266	658	133	155	201	1335	1217	942	1020	1130	1238	75	483	312	336	257	257	89	288	121	480	428	120									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	549	25	6	5	15	6	63	21	19	18	12	8	20	14	11	10	15	48	48	9	16	12	30	13	6	17	15	17	0	12	4	10	24	0									
6	Число погашенных избирательных бюллетеней	1379	7	6	5	21	11	72	28	10	27	46	15	330	45	27	18	89	107	8	20	173	79	16	9	4	3	10	97	2	19	6	9	50	10									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	549	25	6	5	15	6	63	21	19	18	12	8	20	14	11	10	15	48	48	9	16	12	30	13	6	17	15	17	0	12	4	10	24	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	15123	507	134	82	376	158	637	122	431	719	416	266	658	133	155	201	1335	1217	942	1020	1130	1238	75	483	312	336	257	257	89	288	121	480	428	120									
9	Число недействительных избирательных бюллетеней	76	0	0	0	0	0	5	0	0	0	0	0	26	10	1	0	13	12	0	0	0	5	0	0	0	0	0	3	0	0	1	0	0	0									
10	Число действительных избирательных бюллетеней	15596	532	140	87	391	164	695	143	450	737	428	274	652	137	165	211	1337	1253	990	1029	1146	1245	105	496	318	353	272	271	89	300	124	490	452	120									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	490	15	5	5	15	5	20	5	15	20	15	10	30	5	5	5	30	30	30	30	30	30	5	15	15	15	10	15	5	15	5	15	15	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	124	5	3	0	1	0	5	1	1	0	3	1	13	5	3	5	12	6	21	12	2	6	0	0	1	0	0	6	0	0	0	6	6	0									
