Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																										
Дата голосования: 04.12.2011																																																										
																																																										
Наименование Избирательной комиссии:    Кяхтинская																																																										
																																																										
Сводная таблица результатов выборов																																																										
																																																										
		Сумма	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417					
1	"Число избирателей, внесенных в список избирателей"	30729	607	234	188	141	105	294	1008	83	60	454	133	146	246	90	93	389	261	598	310	172	314	397	128	808	76	133	123	136	321	176	543	684	19	253	141	216	1367	1657	1401	1217	1657	1257	1357	1152	1389	1352	1113	2202	3088	338	102					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	29425	584	233	185	141	105	289	1001	84	59	444	135	144	246	91	100	382	255	589	309	171	305	397	128	799	72	131	121	136	321	169	534	685	23	257	141	212	1370	1636	1353	1200	1631	1205	1348	1102	1257	1302	1070	1960	2640	285	88					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	16062	426	120	105	83	70	163	615	53	44	288	93	91	151	57	62	209	153	286	153	101	166	226	77	484	52	85	84	73	180	85	328	363	19	162	91	178	704	886	731	585	640	520	539	496	576	483	487	1144	1970	262	63					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1661	21	19	7	24	2	14	101	5	11	33	8	3	34	19	3	15	18	42	12	8	10	42	10	35	3	0	5	5	13	3	27	30	0	23	6	8	38	63	37	55	51	28	36	133	131	47	56	256	97	4	10					
6	Число погашенных избирательных бюллетеней	11702	137	94	73	34	33	112	285	26	4	123	34	50	61	15	35	158	84	261	144	62	129	129	41	280	17	46	32	58	128	81	179	292	4	72	44	26	628	687	585	560	940	657	773	473	550	772	527	560	573	19	15					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1661	21	19	7	24	2	14	101	5	11	33	8	3	34	19	3	15	18	42	12	8	10	42	10	35	3	0	5	5	13	3	27	30	0	23	6	8	38	63	37	55	51	28	36	133	131	47	56	256	97	4	10					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	16061	426	120	105	83	70	163	615	53	44	288	93	91	151	57	62	209	153	286	153	101	166	226	77	484	52	85	84	73	180	85	328	363	19	162	91	178	704	886	731	585	640	520	539	496	576	483	487	1143	1970	262	63					
9	Число недействительных избирательных бюллетеней	239	1	6	10	2	0	1	7	1	1	5	1	1	0	1	0	2	4	2	2	0	0	4	3	2	1	0	1	0	0	1	4	0	0	6	1	1	11	6	9	10	14	11	13	10	11	11	14	11	30	6	1					
10	Число действительных избирательных бюллетеней	17483	446	133	102	105	72	176	709	57	54	316	100	93	185	75	65	222	167	326	163	109	176	264	84	517	54	85	88	78	193	87	351	393	19	179	96	185	731	943	759	630	677	537	562	619	696	519	529	1388	2037	260	72					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	778	34	10	10	10	10	10	35	5	5	35	10	10	10	10	5	15	5	10	10	10	10	10	10	15	1	5	10	10	10	10	15	10	5	10	10	15	30	10	30	30	40	15	13	10	10	10	10	20	100	35	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	558	34	2	1	0	5	6	34	5	5	24	0	1	0	10	5	15	1	10	4	0	0	10	0	15	0	1	6	1	10	10	15	8	5	5	2	7	9	7	30	12	40	14	13	9	7	10	10	20	99	21	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	263	10	4	1	1	2	1	2	1	1	0	0	1	0	2	2	6	0	2	2	2	8	1	0	7	0	0	1	1	2	1	4	2	4	1	1	4	3	7	38	2	12	18	17	6	7	10	8	12	24	15	7					
14	Число погашенных неиспользованных открепительных удостоверений	220	0	8	9	10	5	4	1	0	0	11	10	9	10	0	0	0	4	0	6	10	10	0	10	0	1	4	4	9	0	0	0	2	0	5	8	8	21	3	0	18	0	1	0	1	3	0	0	0	1	14	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	22	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	3	1	3	2	3	1	0	0	1	0	0	3	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																										
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1953	49	13	10	3	9	44	70	9	5	31	20	4	12	6	0	29	11	60	14	7	18	27	4	51	0	9	6	2	7	4	62	43	0	11	4	10	84	166	103	69	99	68	91	106	107	84	59	85	135	28	5					
		11.02%	10.96%	9.35%	8.93%	2.80%	12.50%	24.86%	9.78%	15.52%	9.09%	9.66%	19.80%	4.26%	6.49%	7.89%	0.00%	12.95%	6.43%	18.29%	8.48%	6.42%	10.23%	10.07%	4.60%	9.83%	0.00%	10.59%	6.74%	2.56%	3.63%	4.55%	17.46%	10.94%	0.00%	5.95%	4.12%	5.38%	11.32%	17.49%	13.41%	10.78%	14.33%	12.41%	15.83%	16.85%	15.13%	15.85%	10.87%	6.08%	6.53%	10.53%	6.85%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1935	9	17	6	12	1	8	56	5	2	32	11	6	23	7	0	39	13	23	5	4	0	33	6	26	2	11	12	6	1	1	28	8	0	7	12	8	64	86	118	101	82	75	62	48	63	51	71	288	335	47	4					
