Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																					
Дата голосования: 02.12.2007																																					
																																					
Наименование Избирательной комиссии:    Пожарская																																					
																																					
Сводная таблица результатов выборов																																					
																																					
		Сумма	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №1318	УИК №1319	УИК №1320					
1	"Число избирателей, внесенных в списки избирателей"	24810	167	1139	605	197	1069	167	82	106	349	568	1193	1064	2373	1145	1168	2208	1069	1143	1113	1038	852	1061	1261	195	361	1187	1140	443	220	127					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	24250	165	1130	590	188	1040	168	82	110	355	570	1150	1040	2300	1130	1150	2160	1070	1030	1040	1030	819	1000	1210	188	352	1170	1190	466	229	128					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	17	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	13405	118	626	280	104	611	92	53	81	250	344	636	491	1190	648	597	1256	583	528	633	514	495	562	740	103	262	626	550	229	115	88					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	459	8	58	33	4	41	12	10	3	15	13	4	9	17	6	14	22	12	51	8	12	8	13	5	11	10	8	42	9	1	0					
6	Число погашенных избирательных бюллетеней	10301	39	446	277	80	388	64	19	26	90	213	510	540	1093	476	539	882	407	451	399	504	316	425	465	74	80	536	581	228	113	40					
7	Число избирательных бюллетеней в переносных ящиках для голосования	544	8	58	33	4	41	12	10	3	15	13	4	9	17	6	14	22	80	51	8	12	8	13	5	11	10	8	59	9	1	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	13391	118	625	280	104	608	92	53	81	250	344	636	490	1190	648	597	1254	583	527	632	514	495	562	740	103	262	626	545	229	115	88					
9	Число недействительных избирательных бюллетеней	175	4	10	3	2	9	0	0	1	9	0	7	9	4	7	5	25	5	12	8	8	11	10	8	2	2	7	4	1	2	0					
10	Число действительных избирательных бюллетеней	13760	122	673	310	106	640	104	63	83	256	357	633	490	1203	647	606	1251	658	566	632	518	492	565	737	112	270	627	600	237	114	88					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	781	20	30	20	20	30	20	20	20	20	20	30	30	30	30	30	30	30	30	30	30	30	31	20	20	20	30	40	30	20	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	306	6	13	5	0	14	10	7	14	18	17	3	7	24	13	6	17	6	8	5	8	3	7	9	2	1	4	40	30	7	2					
