Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																				
Дата голосования: 07.12.2003 0:00:00																				
																				
Наименование Избирательной комиссии:    Плюсская																				
																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																				
																				
		Сумма	УИК  592	УИК  593	УИК  594	УИК  595	УИК  596	УИК  597	УИК  598	УИК  599	УИК  600	УИК  601	УИК  602	УИК  603	УИК  604					
1	"Число избирателей, внесенных в списки"	8978	421	303	937	346	337	2009	1194	333	441	343	562	518	1234					
2	"Число бюллетеней, полученных участковыми комиссиями"	9011	424	302	950	358	337	2000	1170	341	442	341	568	520	1258					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	3687	137	98	375	77	126	919	569	121	131	159	164	198	613					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1433	143	131	87	157	105	112	38	120	132	73	180	112	43					
6	Число погашенных бюллетеней	3891	144	73	488	124	106	969	563	100	179	109	224	210	602					
7	Число бюллетеней в переносных ящиках для голосования	1433	143	131	87	157	105	112	38	120	132	73	180	112	43					
8	Число бюллетеней в стационарных ящиках для голосования	3687	137	98	375	77	126	919	569	121	131	159	164	198	613					
9	Число недействительных бюллетеней	54	3	0	4	4	1	12	6	0	2	5	6	1	10					
10	Число действительных бюллетеней	5066	277	229	458	230	230	1019	601	241	261	227	338	309	646					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	95	5	5	5	5	5	20	10	5	5	5	5	5	15					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	41	0	1	2	4	1	14	7	5	0	0	0	2	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	44	2	3	3	4	2	2	5	3	4	4	2	8	2					
14	Число погашенных открепительных удостоверений	54	5	4	3	1	4	6	3	0	5	5	5	3	10					
15	Число открепительных удостоверений выданных ТИК	4	0	0	1	0	0	3	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																				
18	"1. ""ЕДИНЕНИЕ"""	67	2	1	9	4	5	12	4	5	7	2	5	4	7					
		1.30%	0.71%	0.43%	1.94%	1.70%	2.16%	1.16%	0.65%	2.07%	2.66%	0.86%	1.45%	1.29%	1.06%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	145	13	7	9	4	3	38	31	7	3	7	3	7	13					
		2.83%	4.64%	3.05%	1.94%	1.70%	1.29%	3.68%	5.10%	2.90%	1.14%	3.01%	0.87%	2.25%	1.98%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	166	4	10	17	18	6	27	13	5	4	12	12	11	27					
		3.24%	1.42%	4.36%	3.67%	7.69%	2.59%	2.61%	2.14%	2.07%	1.52%	5.17%	3.48%	3.54%	4.11%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	85	4	1	9	2	4	13	19	4	0	4	8	3	14					
		1.66%	1.42%	0.43%	1.94%	0.85%	1.73%	1.26%	3.13%	1.65%	0.0%	1.72%	2.32%	0.96%	2.13%					
22	"5. ""За Русь Святую"""	27	1	1	3	4	1	6	2	2	1	0	1	0	5					
		0.52%	0.35%	0.43%	0.64%	1.70%	0.43%	0.58%	0.32%	0.82%	0.38%	0.0%	0.29%	0.0%	0.76%					
23	"6. ""Объединенная Российская партия ""Русь"""	4	0	1	1	0	0	0	0	1	0	0	0	0	1					
