Выборы Президента Российской Федерации																																																			
																																																			
"Наименование Избирательной комиссии:    Иваново, Фрунзенская"																																																			
																																																			
Итоги голосования 																																																			
																																																			
		Сумма	УИК  138	УИК  139	УИК  140	УИК  141	УИК  142	УИК  143	УИК  144	УИК  145	УИК  146	УИК  147	УИК  148	УИК  149	УИК  150	УИК  151	УИК  152	УИК  153	УИК  154	УИК  155	УИК  156	УИК  157	УИК  158	УИК  159	УИК  160	УИК  161	УИК  162	УИК  163	УИК  164	УИК  165	УИК  166	УИК  167	УИК  168	УИК  169	УИК  170	УИК  171	УИК  172	УИК  173	УИК  174	УИК  175	УИК  176	УИК  177	УИК  178	УИК  179	УИК  180	УИК  181					
1	"Число избирателей, внесенных в список"	95423	2883	2051	1869	1626	1492	1378	1966	1888	1843	1921	1991	1197	2148	2610	1807	2359	1433	2013	2531	2553	2267	1967	1987	1805	2530	2320	2459	2714	2081	2289	1973	2072	2094	2203	3029	2257	2282	2375	2574	2616	2166	2719	2956	2129					
2	Число полученных избирательных бюллетеней	94969	2612	2052	1852	1604	1492	1337	1979	1882	1952	1941	1992	1193	2195	2604	1786	2429	1475	2014	2535	2573	2318	1932	2006	1811	2546	2309	2471	2726	2086	2297	1986	2079	2118	2222	2625	1982	2315	2400	2597	2680	2097	2758	2954	2155					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	45759	1432	1002	1056	845	773	693	1024	983	781	879	1007	544	881	1074	776	1255	731	1136	1419	1469	974	885	960	808	1327	1215	1294	1259	988	1014	742	1125	1008	990	1614	1140	945	1005	1108	1375	886	1110	1217	1010					
5	"Число избирательных бюллетеней, выданных вне помещения"	1953	31	47	20	30	38	53	21	36	190	47	35	51	10	57	48	19	26	10	20	16	51	58	85	51	26	89	18	32	36	83	32	47	47	40	90	12	37	37	23	32	15	83	85	39					
6	Число погашенных избирательных бюллетеней	47257	1149	1003	776	729	681	591	934	863	981	1015	950	598	1304	1473	962	1155	718	868	1096	1088	1293	989	961	952	1193	1005	1159	1435	1062	1200	1212	907	1063	1192	921	830	1333	1358	1466	1273	1196	1565	1652	1106					
7	Число избирательных бюллетеней в переносных ящиках	1952	31	47	20	30	38	53	21	36	189	47	35	51	10	57	48	19	26	10	20	16	51	58	85	51	26	89	18	32	36	83	32	47	47	40	90	12	37	37	23	32	15	83	85	39					
8	Число бюллетеней в стационарных ящиках для голосования	45732	1432	999	1055	845	773	693	1024	983	781	879	1007	544	881	1074	776	1253	731	1136	1415	1467	974	885	958	808	1326	1214	1293	1259	988	1011	742	1125	1008	989	1614	1140	943	1004	1108	1374	886	1110	1217	1008					
9	Число недействительных избирательных бюллетеней	252	9	6	7	7	5	1	12	4	5	9	7	4	11	6	3	2	8	1	2	4	3	10	5	2	5	9	11	6	0	8	3	3	0	8	15	4	3	4	9	5	3	5	11	7					
10	Число действительных избирательных бюллетеней	47432	1454	1040	1068	868	806	745	1033	1015	965	917	1035	591	880	1125	821	1270	749	1145	1433	1479	1022	933	1038	857	1347	1294	1300	1285	1024	1086	771	1169	1055	1021	1689	1148	977	1037	1122	1401	898	1188	1291	1040					
11	Число полученных открепительных  удостоверений	1220	30	20	15	15	20	10	25	10	10	15	15	10	10	20	70	25	45	15	20	30	20	10	10	10	15	30	30	20	20	20	10	20	20	20	330	50	20	20	10	20	40	10	20	15					
12	Число выданных открепительных удостоверений	783	24	17	13	9	12	10	22	10	7	10	10	7	7	11	10	17	39	11	18	29	18	6	9	7	14	20	22	18	14	9	5	14	15	15	144	44	16	17	10	13	33	6	7	14					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	526	10	16	8	14	15	8	19	21	10	9	7	9	5	9	15	7	9	11	11	7	7	16	14	10	17	46	16	14	10	6	6	10	11	9	9	9	13	8	6	12	20	10	10	17					
14	Число неиспользованных открепительных удостоверений	437	6	3	2	6	8	0	3	0	3	5	5	3	3	9	60	8	6	4	2	1	2	4	1	3	1	10	8	2	6	11	5	6	5	5	186	6	4	3	0	7	7	4	13	1					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																			
18	. Глазьев Сергей Юрьевич	2531	111	61	59	35	49	40	49	45	64	51	74	25	37	59	42	74	32	71	100	99	81	41	66	36	95	77	95	78	50	54	41	55	74	39	39	39	42	48	46	63	42	49	54	50					
		5.31%	7.59%	5.83%	5.49%	4.00%	6.04%	5.36%	4.69%	4.42%	6.60%	5.51%	7.10%	4.20%	4.15%	5.22%	5.10%	5.82%	4.23%	6.20%	6.97%	6.68%	7.90%	4.35%	6.33%	4.19%	7.03%	5.91%	7.25%	6.04%	4.88%	4.94%	5.30%	4.69%	7.01%	3.79%	2.29%	3.39%	4.29%	4.61%	4.07%	4.48%	4.66%	4.11%	4.15%	4.78%					
19	. Малышкин Олег Александрович	1146	31	24	23	18	21	23	23	25	19	17	22	19	31	37	19	35	10	35	35	37	21	19	22	12	35	32	34	19	23	18	10	30	28	27	28	29	25	34	41	40	24	32	23	36					
		2.40%	2.12%	2.29%	2.14%	2.06%	2.59%	3.08%	2.20%	2.45%	1.96%	1.84%	2.11%	3.19%	3.48%	3.27%	2.31%	2.75%	1.32%	3.05%	2.44%	2.49%	2.05%	2.01%	2.11%	1.40%	2.59%	2.46%	2.59%	1.47%	2.25%	1.65%	1.29%	2.56%	2.65%	2.62%	1.64%	2.52%	2.55%	3.27%	3.63%	2.84%	2.66%	2.68%	1.77%	3.44%					
20	. Миронов Сергей Михайлович	449	16	6	8	6	7	5	9	14	14	7	8	5	8	7	2	10	6	11	7	23	18	10	14	8	8	13	22	5	4	7	6	10	11	11	16	19	8	15	9	16	11	10	9	10					
		0.94%	1.09%	0.57%	0.74%	0.69%	0.86%	0.67%	0.86%	1.37%	1.44%	0.76%	0.77%	0.84%	0.90%	0.62%	0.24%	0.79%	0.79%	0.96%	0.49%	1.55%	1.76%	1.06%	1.34%	0.93%	0.59%	1.00%	1.68%	0.39%	0.39%	0.64%	0.78%	0.85%	1.04%	1.07%	0.94%	1.65%	0.82%	1.44%	0.80%	1.14%	1.22%	0.84%	0.69%	0.96%					
21	. Путин Владимир Владимирович	32371	964	690	732	582	503	501	688	698	684	635	677	421	621	795	588	837	514	763	935	942	631	641	713	591	865	814	859	899	681	755	529	767	660	702	1445	917	602	726	815	928	643	830	870	718					
		67.89%	65.89%	65.97%	68.09%	66.51%	62.02%	67.16%	65.84%	68.50%	70.52%	68.57%	64.97%	70.76%	69.70%	70.29%	71.36%	65.80%	67.90%	66.58%	65.16%	63.52%	61.56%	67.97%	68.36%	68.80%	63.98%	62.47%	65.52%	69.64%	66.50%	69.01%	68.35%	65.44%	62.56%	68.22%	84.80%	79.60%	61.43%	69.74%	72.06%	66.00%	71.37%	69.57%	66.82%	68.58%					
22	. Хакамада Ирина Муцуовна	2696	88	40	48	52	61	46	57	66	44	56	69	15	49	47	46	88	49	67	101	103	79	70	61	40	105	79	71	84	54	50	64	90	70	53	34	34	47	56	56	85	46	67	46	63					
		5.65%	6.02%	3.82%	4.47%	5.94%	7.52%	6.17%	5.45%	6.48%	4.54%	6.05%	6.62%	2.52%	5.50%	4.16%	5.58%	6.92%	6.47%	5.85%	7.04%	6.95%	7.71%	7.42%	5.85%	4.66%	7.77%	6.06%	5.42%	6.51%	5.27%	4.57%	8.27%	7.68%	6.64%	5.15%	2.00%	2.95%	4.80%	5.38%	4.95%	6.05%	5.11%	5.62%	3.53%	6.02%					
23	. Харитонов Николай Михайлович	5905	153	178	139	129	125	90	144	116	104	110	120	91	100	138	90	153	105	129	160	180	147	114	114	138	165	204	152	128	169	139	83	168	146	129	73	65	216	114	110	198	76	152	233	118					
