Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																			
Дата голосования: 18.09.2016																																																			
																																																			
Наименование Избирательной комиссии:    Новгородская																																																			
																																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																																			
																																																			
		Сумма	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1220	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1231	УИК №1232	УИК №1233	УИК №1234	УИК №1235	УИК №1236	УИК №1237	УИК №1238	УИК №1239	УИК №1240									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	46971	1343	393	553	1391	1528	141	785	1260	3095	1542	2305	1389	1676	159	1114	2295	2341	2409	2467	549	1950	1757	432	329	732	859	949	447	424	1983	370	742	1290	192	394	642	1722	1303	886	833									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	37640	1100	350	550	1150	1300	150	600	1000	2400	1300	1800	1100	1300	150	800	1800	1800	1800	1900	500	1500	1400	400	300	700	700	800	400	400	1500	300	600	1000	190	300	500	1400	1000	700	700									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	15941	479	115	144	614	473	54	206	407	1176	452	650	544	520	23	411	785	796	724	936	157	515	655	184	137	338	338	433	99	105	740	151	253	340	57	72	196	690	314	305	353									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1553	21	29	59	64	97	29	63	42	10	91	31	45	32	44	8	11	7	18	48	38	97	35	72	49	25	76	33	69	67	18	12	25	21	6	67	10	11	36	28	9									
6	Число погашенных избирательных бюллетеней	20146	600	206	347	472	730	67	331	551	1214	757	1119	511	748	83	381	1004	997	1058	916	305	888	710	144	114	337	286	334	232	228	742	137	322	639	127	161	294	699	650	367	338									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1553	21	29	59	64	97	29	63	42	10	91	31	45	32	44	8	11	7	18	48	38	97	35	72	49	25	76	33	69	67	18	12	25	21	6	67	10	11	36	28	9									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	15926	479	115	144	614	473	54	206	407	1174	452	650	544	519	23	411	784	795	724	934	157	515	654	184	137	338	338	433	99	105	736	151	253	340	57	72	196	690	312	305	352									
9	Число недействительных избирательных бюллетеней	423	13	7	6	25	16	0	0	4	17	10	18	9	9	1	12	21	18	12	50	3	14	24	7	2	7	11	7	1	2	11	8	11	9	1	3	9	20	11	8	6									
10	Число действительных избирательных бюллетеней	17056	487	137	197	653	554	83	269	445	1167	533	663	580	542	66	407	774	784	730	932	192	598	665	249	184	356	403	459	167	170	743	155	267	352	62	136	197	681	337	325	355									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	771	12	9	9	28	28	26	7	11	51	17	28	35	35	15	20	26	20	25	30	10	23	15	5	5	10	20	13	11	10	25	10	35	30	16	51	10	10	10	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	306	4	4	4	25	10	17	1	6	25	3	7	30	3	0	7	10	13	10	20	3	1	8	0	0	10	7	7	6	2	4	3	16	8	2	4	2	3	7	5	9									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	210	9	4	5	7	13	8	4	1	10	3	5	5	13	2	1	7	10	6	13	7	2	2	4	2	4	9	2	0	13	3	2	7	5	0	6	3	4	4	2	3									
