Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																				
Дата голосования: 18.09.2016																																																																				
																																																																				
"Наименование Избирательной комиссии:    Магнитогорск, Правобережная"																																																																				
																																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																																				
																																																																				
		Сумма	УИК №1358	УИК №1359	УИК №1360	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365	УИК №1366	УИК №1367	УИК №1368	УИК №1369	УИК №1370	УИК №1371	УИК №1372	УИК №1373	УИК №1374	УИК №1375	УИК №1376	УИК №1377	УИК №1378	УИК №1379	УИК №1380	УИК №1381	УИК №1382	УИК №1383	УИК №1384	УИК №1385	УИК №1386	УИК №1387	УИК №1388	УИК №1389	УИК №1390	УИК №1391	УИК №1392	УИК №1393	УИК №1394	УИК №1395	УИК №1396	УИК №1397	УИК №1398	УИК №1399	УИК №1400	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №2260	УИК №2285	УИК №2300									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	83157	2011	1305	1103	1023	1489	2221	1531	1347	1209	1044	1109	1475	1187	1313	1416	1440	1386	1631	1908	1772	1147	1081	1091	1486	1182	1792	224	1661	1672	1618	1589	2249	1022	1831	1677	1637	1681	1133	1037	1484	1692	1658	1656	1000	2058	1587	1623	1664	1090	2372	1555	1716	1821	1646	1079	151	1575									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	60828	1400	950	800	750	1100	1600	1100	950	900	750	800	1100	850	950	1000	1000	1000	1200	1400	1250	850	800	800	1050	850	1200	225	1150	1200	1150	1150	1600	750	1300	1200	1200	1250	850	750	1100	1250	1200	1200	750	1500	1150	1200	1200	800	1750	1100	1150	1250	1150	1600	153	1150									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	38835	902	564	486	409	681	1070	728	572	557	417	480	629	498	565	774	739	649	751	859	728	546	497	559	693	638	846	121	768	743	718	705	1012	431	906	811	747	790	543	398	549	720	527	729	478	973	668	794	752	557	1153	695	1014	1069	754	1075	56	742									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2910	22	24	98	41	59	30	72	38	38	35	106	94	84	31	46	86	43	44	16	55	39	54	40	47	37	55	103	25	45	57	67	52	60	55	46	63	44	41	31	73	66	144	24	33	57	91	42	28	40	52	36	43	28	23	4	95	8									
6	Число погашенных избирательных бюллетеней	19083	476	362	216	300	360	500	300	340	305	298	214	377	268	354	180	175	308	405	525	467	265	249	201	310	175	299	1	357	412	375	378	536	259	339	343	390	416	266	321	478	464	529	447	239	470	391	364	420	203	545	369	93	153	373	521	2	400									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2906	22	24	98	41	59	30	72	38	38	35	106	94	84	31	46	86	43	44	16	55	39	54	40	47	37	55	103	25	45	57	67	51	60	55	46	63	44	41	31	73	66	144	24	33	57	91	42	28	40	52	36	43	28	23	4	92	8									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	38825	902	564	486	409	681	1069	727	572	557	417	480	629	498	565	774	738	649	751	858	728	546	497	559	693	638	846	121	768	742	718	705	1012	431	906	811	746	790	543	395	549	720	527	729	478	973	668	794	752	557	1153	695	1014	1069	754	1075	56	741									
9	Число недействительных избирательных бюллетеней	1180	22	26	33	10	26	33	19	19	18	22	7	14	18	19	25	20	11	20	19	26	23	22	29	27	21	36	1	22	22	31	19	30	12	33	21	30	26	17	8	11	16	12	26	16	21	18	23	23	16	26	29	31	21	22	12	1	19									
10	Число действительных избирательных бюллетеней	40551	902	562	551	440	714	1066	780	591	577	430	579	709	564	577	795	804	681	775	855	757	562	529	570	713	654	865	223	771	765	744	753	1033	479	928	836	779	808	567	418	611	770	659	727	495	1009	741	813	757	581	1179	702	1026	1076	755	1067	147	730									
