Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																												
Дата голосования: 07.12.2003 0:00:00																																																												
																																																												
Наименование Избирательной комиссии:    Рубцовская городская 																																																												
																																																												
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																												
																																																												
		Сумма	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498					
1	"Число избирателей, внесенных в списки"	127395	2393	2910	2979	2968	2697	2480	2506	2886	2988	2685	2394	2997	2754	2334	2474	2301	1966	1909	2302	2536	2657	2813	2487	2307	2852	2939	2615	2637	2673	2405	2305	2395	2424	2664	2651	2879	2903	2875	3074	2771	2064	2232	2716	3053	2114	2100	2734	1535	2602	1365	21	35	39					
2	"Число бюллетеней, полученных участковыми комиссиями"	118800	2100	2700	2800	2800	2500	2200	2300	2700	2800	2400	2200	2800	2500	2100	2300	2100	1800	1800	2100	2300	2500	2600	2400	2200	2700	2800	2500	2500	2500	2100	2200	2300	2300	2500	2500	2700	2700	2700	2800	2600	1900	2100	2600	2800	2000	2000	2600	1400	2400	1000	200	200	200					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	60866	1438	1460	1382	1472	1253	1382	1285	1364	1480	1313	1316	1587	1529	1347	1028	1293	900	983	1100	1359	1171	1327	1311	1284	1544	1462	1203	1270	1395	829	1310	1293	1298	1446	1345	1489	1528	1567	1516	1002	723	652	698	1155	770	745	1142	637	988	479	0	0	16					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1907	11	34	51	20	26	33	43	38	22	22	33	22	42	18	24	27	24	64	33	20	28	37	52	40	49	32	40	59	31	238	24	22	36	25	50	19	34	31	23	25	18	31	44	27	16	22	46	39	36	66	19	35	6					
6	Число погашенных бюллетеней	56027	651	1206	1367	1308	1221	785	972	1298	1298	1065	851	1191	929	735	1248	780	876	753	967	921	1301	1236	1037	876	1107	1306	1257	1171	1074	1033	866	985	966	1029	1105	1192	1138	1102	1261	1573	1159	1417	1858	1618	1214	1233	1412	724	1376	455	181	165	178					
7	Число бюллетеней в переносных ящиках для голосования	1906	11	34	51	20	26	33	43	38	22	22	33	22	42	18	24	27	24	64	33	20	28	37	52	40	48	32	40	59	31	238	24	22	36	25	50	19	34	31	23	25	18	31	44	27	16	22	46	39	36	66	19	35	6					
8	Число бюллетеней в стационарных ящиках для голосования	60808	1432	1458	1378	1471	1253	1382	1284	1361	1480	1312	1313	1587	1529	1330	1028	1293	900	981	1100	1358	1170	1327	1310	1284	1542	1462	1203	1270	1394	827	1310	1291	1299	1442	1344	1489	1528	1567	1515	1002	723	652	696	1154	770	745	1142	637	988	479	0	0	16					
9	Число недействительных бюллетеней	649	1	14	15	11	14	16	7	48	10	6	12	6	12	12	11	9	8	7	8	9	11	17	25	2	17	8	14	21	15	32	11	6	12	18	14	11	18	4	15	10	12	5	6	10	5	16	15	14	10	38	1	0	0					
10	Число действительных бюллетеней	62065	1442	1478	1414	1480	1265	1399	1320	1351	1492	1328	1334	1603	1559	1336	1041	1311	916	1038	1125	1369	1187	1347	1337	1322	1573	1486	1229	1308	1410	1033	1323	1307	1323	1449	1380	1497	1544	1594	1523	1017	729	678	734	1171	781	751	1173	662	1014	507	18	35	22					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	860	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	125	0	0	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	385	4	12	2	3	3	7	7	8	5	14	6	11	7	12	2	3	7	4	5	3	4	4	15	9	13	5	3	5	6	0	11	8	8	11	7	4	9	11	11	1	1	0	1	7	3	2	3	3	1	94	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	163	2	1	3	3	2	1	5	2	1	4	2	7	3	4	2	1	0	6	1	2	5	2	6	4	3	4	2	3	0	5	1	3	4	1	2	1	5	11	5	2	1	1	0	0	1	1	3	2	4	2	14	0	13					
14	Число погашенных открепительных удостоверений	475	11	3	13	12	12	8	8	7	10	1	9	4	8	3	13	12	8	11	10	12	11	11	0	6	2	10	12	10	9	15	4	7	7	4	8	11	6	4	4	14	14	15	14	8	12	13	12	12	14	31	0	0	0					
15	Число открепительных удостоверений выданных ТИК	3	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																												
18	"1. ""ЕДИНЕНИЕ"""	489	9	21	10	12	13	7	5	8	19	1	8	12	13	19	6	6	8	6	4	12	13	9	10	8	7	9	12	12	11	8	8	8	8	15	9	14	16	12	13	3	6	9	7	8	7	4	10	6	12	15	1	0	0					
