Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																													
Дата голосования: 18.09.2016																																													
																																													
Наименование Избирательной комиссии:    район Зюзино																																													
																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																													
																																													
		Сумма	УИК №2172	УИК №2173	УИК №2174	УИК №2175	УИК №2176	УИК №2177	УИК №2178	УИК №2179	УИК №2180	УИК №2181	УИК №2182	УИК №2183	УИК №2184	УИК №2185	УИК №2186	УИК №2187	УИК №2188	УИК №2189	УИК №2190	УИК №2191	УИК №2192	УИК №2193	УИК №2194	УИК №2195	УИК №2196	УИК №2197	УИК №2198	УИК №2199	УИК №2200	УИК №2201	УИК №2202	УИК №2203	УИК №3740	УИК №3741									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	72488	2238	2073	2347	2347	2260	2125	2132	2398	2568	2415	2194	2403	2087	2344	2330	1884	2292	2390	2351	2458	2595	2732	1966	2015	1996	2251	2388	1960	2281	2071	2021	2160	377	39									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	51440	1600	1500	1650	1650	1600	1550	1500	1700	1850	1750	1550	1700	1450	1650	1650	1300	1650	1700	1650	1700	1800	1900	1400	1450	1400	1600	1700	1400	1600	1450	1450	1500	400	40									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	22605	634	654	675	760	676	601	612	806	686	734	736	698	657	763	715	587	709	769	748	899	924	857	524	539	594	663	738	653	690	597	607	723	377	0									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	888	17	30	23	27	27	29	36	25	40	31	32	42	68	24	15	13	15	35	29	31	20	32	19	25	29	28	15	19	12	20	34	8	0	38									
6	Число погашенных избирательных бюллетеней	27947	949	816	952	863	897	920	852	869	1124	985	782	960	725	863	920	700	926	896	873	770	856	1011	857	886	777	909	947	728	898	833	809	769	23	2									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	888	17	30	23	27	27	29	36	25	40	31	32	42	68	24	15	13	15	35	29	31	20	32	19	25	29	28	15	19	12	20	34	8	0	38									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	22547	630	652	672	757	675	600	611	806	686	734	729	697	646	759	715	585	709	766	748	897	923	857	524	530	594	661	737	653	690	597	607	723	377	0									
9	Число недействительных избирательных бюллетеней	439	18	13	9	20	11	9	12	10	10	18	9	20	22	11	12	10	14	20	18	12	17	10	7	15	5	13	11	13	19	7	20	12	11	1									
10	Число действительных избирательных бюллетеней	22996	629	669	686	764	691	620	635	821	716	747	752	719	692	772	718	588	710	781	759	916	926	879	536	540	618	676	741	659	683	610	621	719	366	37									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	630	20	30	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	30	20	10	10	20	10	20	30	20	10	20	20	20	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	422	11	20	16	10	12	9	12	15	13	11	11	13	13	11	17	11	13	16	15	20	15	7	9	10	10	19	24	9	10	14	13	13	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	630	11	5	4	14	7	7	32	1	3	3	8	8	24	8	14	6	11	9	27	64	58	87	2	16	9	19	13	38	14	18	16	12	56	6									
14	Число погашенных неиспользованных открепительных удостоверений	208	9	10	4	10	8	11	8	5	7	9	9	7	7	9	3	9	7	4	5	10	5	3	1	10	0	1	6	11	0	6	7	7	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	74	0	0	9	0	4	4	1	1	1	1	1	5	4	1	1	3	1	2	1	2	6	3	1	1	0	2	4	4	2	3	3	3	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	913	21	34	28	34	28	28	28	27	33	27	27	25	39	34	31	24	13	28	40	30	32	33	32	20	17	23	34	22	29	22	29	27	14	0									
		3.90%	3.25%	4.99%	4.03%	4.34%	3.99%	4.45%	4.33%	3.25%	4.55%	3.53%	3.55%	3.38%	5.46%	4.34%	4.25%	4.01%	1.80%	3.50%	5.15%	3.23%	3.39%	3.71%	5.89%	3.60%	2.73%	3.34%	4.52%	3.27%	4.13%	3.57%	4.52%	3.69%	3.71%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	470	13	17	16	26	14	13	17	25	15	21	13	15	10	13	18	9	14	15	14	12	18	15	10	9	20	13	13	21	1	16	10	9	4	1									
		2.01%	2.01%	2.49%	2.30%	3.32%	1.99%	2.07%	2.63%	3.01%	2.07%	2.75%	1.71%	2.03%	1.40%	1.66%	2.47%	1.51%	1.93%	1.87%	1.80%	1.29%	1.91%	1.69%	1.84%	1.62%	3.21%	1.89%	1.73%	3.13%	0.14%	2.59%	1.56%	1.23%	1.06%	2.63%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	770	15	22	18	24	35	14	27	27	30	19	34	20	22	27	15	15	27	22	26	42	34	21	23	22	14	20	18	24	27	16	19	28	21	2									
		3.29%	2.32%	3.23%	2.59%	3.06%	4.99%	2.23%	4.17%	3.25%	4.13%	2.48%	4.47%	2.71%	3.08%	3.45%	2.05%	2.51%	3.73%	2.75%	3.35%	4.53%	3.61%	2.36%	4.24%	3.96%	2.25%	2.90%	2.39%	3.57%	3.85%	2.59%	2.96%	3.83%	5.57%	5.26%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	8197	230	201	267	273	252	257	238	317	238	256	228	265	223	244	274	231	298	263	247	353	284	350	181	194	252	247	258	216	229	200	214	255	138	24									
		34.98%	35.55%	29.47%	38.42%	34.82%	35.90%	40.86%	36.79%	38.15%	32.78%	33.46%	29.96%	35.86%	31.23%	31.16%	37.53%	38.63%	41.16%	32.83%	31.79%	38.04%	30.12%	39.37%	33.33%	34.95%	40.45%	35.85%	34.31%	32.14%	32.62%	32.41%	33.39%	34.88%	36.60%	63.16%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	395	7	6	13	12	14	10	8	14	15	14	12	18	16	13	10	9	12	13	14	19	12	16	13	8	16	12	6	3	10	14	13	15	7	1									
		1.69%	1.08%	0.88%	1.87%	1.53%	1.99%	1.59%	1.24%	1.68%	2.07%	1.83%	1.58%	2.44%	2.24%	1.66%	1.37%	1.51%	1.66%	1.62%	1.80%	2.05%	1.27%	1.80%	2.39%	1.44%	2.57%	1.74%	0.80%	0.45%	1.42%	2.27%	2.03%	2.05%	1.86%	2.63%									
24	"6. Политическая партия ""Гражданская Платформа"""	73	4	2	2	0	4	2	4	3	2	3	1	1	3	1	2	3	4	1	1	2	4	1	2	2	0	2	0	6	1	1	1	5	3	0									
		0.31%	0.62%	0.29%	0.29%	0.00%	0.57%	0.32%	0.62%	0.36%	0.28%	0.39%	0.13%	0.14%	0.42%	0.13%	0.27%	0.50%	0.55%	0.12%	0.13%	0.22%	0.42%	0.11%	0.37%	0.36%	0.00%	0.29%	0.00%	0.89%	0.14%	0.16%	0.16%	0.68%	0.80%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	3124	103	87	112	116	80	88	106	115	88	83	82	90	96	100	100	66	107	91	86	122	109	119	91	92	83	110	67	81	88	86	92	75	110	3									
		13.33%	15.92%	12.76%	16.12%	14.80%	11.40%	13.99%	16.38%	13.84%	12.12%	10.85%	10.78%	12.18%	13.45%	12.77%	13.70%	11.04%	14.78%	11.36%	11.07%	13.15%	11.56%	13.39%	16.76%	16.58%	13.32%	15.97%	8.91%	12.05%	12.54%	13.94%	14.35%	10.26%	29.18%	7.89%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	839	14	32	18	22	22	15	13	27	26	18	30	30	27	47	58	29	17	30	30	24	41	38	27	19	23	23	29	31	29	14	13	21	1	1									
		3.58%	2.16%	4.69%	2.59%	2.81%	3.13%	2.38%	2.01%	3.25%	3.58%	2.35%	3.94%	4.06%	3.78%	6.00%	7.95%	4.85%	2.35%	3.75%	3.86%	2.59%	4.35%	4.27%	4.97%	3.42%	3.69%	3.34%	3.86%	4.61%	4.13%	2.27%	2.03%	2.87%	0.27%	2.63%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	855	14	23	24	24	20	22	18	24	21	27	29	33	36	35	29	33	18	34	29	27	55	31	15	21	11	17	43	25	30	31	19	35	1	1									
		3.65%	2.16%	3.37%	3.45%	3.06%	2.85%	3.50%	2.78%	2.89%	2.89%	3.53%	3.81%	4.47%	5.04%	4.47%	3.97%	5.52%	2.49%	4.24%	3.73%	2.91%	5.83%	3.49%	2.76%	3.78%	1.77%	2.47%	5.72%	3.72%	4.27%	5.02%	2.96%	4.79%	0.27%	2.63%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	44	3	0	0	2	3	0	1	2	0	0	1	0	1	3	1	1	1	0	5	0	3	1	3	1	2	1	0	0	3	1	1	3	0	1									
		0.19%	0.46%	0.00%	0.00%	0.26%	0.43%	0.00%	0.15%	0.24%	0.00%	0.00%	0.13%	0.00%	0.14%	0.38%	0.14%	0.17%	0.14%	0.00%	0.64%	0.00%	0.32%	0.11%	0.55%	0.18%	0.32%	0.15%	0.00%	0.00%	0.43%	0.16%	0.16%	0.41%	0.00%	2.63%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	2500	67	88	53	93	78	55	44	62	104	118	103	70	96	111	48	71	68	91	88	76	117	97	38	46	52	65	114	72	93	54	70	84	12	2									
		10.67%	10.36%	12.90%	7.63%	11.86%	11.11%	8.74%	6.80%	7.46%	14.33%	15.42%	13.53%	9.47%	13.45%	14.18%	6.58%	11.87%	9.39%	11.36%	11.33%	8.19%	12.41%	10.91%	6.99%	8.29%	8.35%	9.43%	15.16%	10.71%	13.25%	8.75%	10.92%	11.49%	3.18%	5.26%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	3267	107	104	101	105	99	73	103	115	98	116	110	112	84	92	92	61	98	124	131	122	115	108	70	68	89	110	106	106	103	107	88	110	40	0									
		13.94%	16.54%	15.25%	14.53%	13.39%	14.10%	11.61%	15.92%	13.84%	13.50%	15.16%	14.45%	15.16%	11.76%	11.75%	12.60%	10.20%	13.54%	15.48%	16.86%	13.15%	12.20%	12.15%	12.89%	12.25%	14.29%	15.97%	14.10%	15.77%	14.67%	17.34%	13.73%	15.05%	10.61%	0.00%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	106	2	4	0	6	1	3	2	6	1	1	3	1	1	5	5	4	4	2	3	8	5	4	2	2	3	3	4	6	2	3	4	3	2	1									
		0.45%	0.31%	0.59%	0.00%	0.77%	0.14%	0.48%	0.31%	0.72%	0.14%	0.13%	0.39%	0.14%	0.14%	0.64%	0.68%	0.67%	0.55%	0.25%	0.39%	0.86%	0.53%	0.45%	0.37%	0.36%	0.48%	0.44%	0.53%	0.89%	0.28%	0.49%	0.62%	0.41%	0.53%	2.63%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1443	29	49	34	27	41	40	26	57	45	44	79	39	38	47	35	32	29	67	45	79	97	45	29	36	36	30	49	46	38	45	48	49	13	0									
