Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																								
Дата голосования: 07.12.2003 0:00:00																																								
																																								
Наименование Избирательной комиссии:    Красночикойская																																								
																																								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																								
																																								
		Сумма	УИК  161	УИК  162	УИК  163	УИК  164	УИК  165	УИК  166	УИК  167	УИК  168	УИК  169	УИК  170	УИК  171	УИК  172	УИК  173	УИК  174	УИК  175	УИК  176	УИК  177	УИК  178	УИК  179	УИК  180	УИК  181	УИК  182	УИК  183	УИК  184	УИК  185	УИК  186	УИК  187	УИК  188	УИК  189	УИК  190	УИК  191	УИК  192	УИК  193					
1	"Число избирателей, внесенных в списки"	15589	144	925	515	152	564	143	293	131	99	415	121	468	747	2484	2447	635	75	253	285	369	204	404	113	559	306	138	120	170	459	84	269	1361	137					
2	"Число бюллетеней, полученных участковыми комиссиями"	15765	150	980	515	155	560	165	290	135	100	430	125	490	760	2470	2410	650	80	260	300	375	210	405	120	550	310	140	120	180	450	90	280	1370	140					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	27	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	9263	120	467	323	130	471	121	284	98	88	239	107	241	421	1223	1259	487	55	192	211	286	152	265	46	326	206	100	71	113	238	54	151	619	99					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	800	0	111	45	0	0	2	6	10	0	24	5	36	64	77	103	0	10	9	32	0	0	19	22	42	25	15	18	0	23	0	11	82	9					
6	Число погашенных бюллетеней	5675	30	375	147	25	89	42	0	27	12	167	13	213	275	1170	1048	163	15	59	57	89	58	121	52	182	79	25	31	67	189	36	118	669	32					
7	Число бюллетеней в переносных ящиках для голосования	827	0	138	45	0	0	2	6	10	0	24	5	36	64	77	103	0	10	9	32	0	0	19	22	42	25	15	18	0	23	0	11	82	9					
8	Число бюллетеней в стационарных ящиках для голосования	9253	120	467	323	130	471	121	284	98	88	239	107	241	421	1223	1258	486	55	192	211	286	151	265	46	326	206	100	71	113	238	54	151	612	99					
9	Число недействительных бюллетеней	127	2	6	5	0	4	0	2	5	3	10	2	9	8	3	12	1	0	3	3	1	0	5	0	6	4	0	5	7	11	1	1	5	3					
10	Число действительных бюллетеней	9953	118	599	363	130	467	123	288	103	85	253	110	268	477	1297	1349	485	65	198	240	285	151	279	68	362	227	115	84	106	250	53	161	689	105					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	293	8	10	10	8	10	8	8	8	8	4	5	5	3	34	29	2	5	8	10	2	5	10	5	10	10	5	10	5	10	5	10	15	8					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	73	0	1	3	0	0	0	0	1	0	2	0	4	2	23	25	0	0	0	6	0	0	0	0	2	0	0	0	1	0	0	0	3	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	27	0	1	0	1	1	0	2	1	1	1	1	1	1	2	2	1	0	0	0	0	1	3	0	1	1	0	1	0	3	0	0	1	0					
14	Число погашенных открепительных удостоверений	220	8	9	7	8	10	8	8	7	8	2	5	1	1	11	4	2	5	8	4	2	5	10	5	8	10	5	10	4	10	5	10	12	8					
