Выборы Президента Российской Федерации																					
																					
Наименование Избирательной комиссии:    Курчатовская городская																					
																					
Итоги голосования 																					
																					
		Сумма	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244					
1	"Число избирателей, внесенных в список"	37035	2497	2429	2375	2583	2467	2678	2849	2738	2601	2574	2811	2769	2757	2907					
2	Число полученных избирательных бюллетеней	33928	2304	2221	2191	2380	2264	2470	2566	2523	2400	2388	2578	2540	2534	2569					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	20909	1416	1565	1412	1614	1144	1622	1347	1681	1443	1497	1618	1664	1288	1598					
5	"Число избирательных бюллетеней, выданных вне помещения"	250	37	28	23	33	13	20	8	19	21	18	6	10	10	4					
6	Число погашенных избирательных бюллетеней	12769	851	628	756	733	1107	828	1211	823	936	873	954	866	1236	967					
7	Число избирательных бюллетеней в переносных ящиках	250	37	28	23	33	13	20	8	19	21	18	6	10	10	4					
8	Число бюллетеней в стационарных ящиках для голосования	20906	1416	1565	1411	1614	1144	1621	1347	1681	1442	1497	1618	1664	1288	1598					
9	Число недействительных избирательных бюллетеней	144	11	8	5	6	8	17	16	13	14	4	10	7	16	9					
10	Число действительных избирательных бюллетеней	21012	1442	1585	1429	1641	1149	1624	1339	1687	1449	1511	1614	1667	1282	1593					
11	Число полученных открепительных  удостоверений	280	20	20	20	20	20	20	20	20	20	20	20	20	20	20					
12	Число выданных открепительных удостоверений	137	8	7	8	8	16	17	11	8	13	12	6	8	10	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	110	6	18	1	6	19	5	4	4	5	0	6	8	7	21					
14	Число неиспользованных открепительных удостоверений	143	12	13	12	12	4	3	9	12	7	8	14	12	10	15					
15	"Число открепительных удостоверений, выданных в ТИК"	12	0	1	0	0	2	2	1	1	0	1	1	0	2	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																					
18	. Глазьев Сергей Юрьевич	903	67	62	72	89	56	75	49	78	63	57	66	71	49	49					
		4.27%	4.61%	3.89%	5.02%	5.40%	4.84%	4.57%	3.62%	4.59%	4.31%	3.76%	4.06%	4.24%	3.78%	3.06%					
19	. Малышкин Олег Александрович	491	18	33	26	30	36	39	24	43	21	32	40	48	50	51					
		2.32%	1.24%	2.07%	1.81%	1.82%	3.11%	2.38%	1.77%	2.53%	1.44%	2.11%	2.46%	2.87%	3.85%	3.18%					
20	. Миронов Сергей Михайлович	141	9	19	3	15	4	13	9	5	12	9	11	15	9	8					
		0.67%	0.62%	1.19%	0.21%	0.91%	0.35%	0.79%	0.66%	0.29%	0.82%	0.59%	0.68%	0.90%	0.69%	0.50%					
21	. Путин Владимир Владимирович	15848	1101	1203	1017	1204	845	1201	1025	1279	1096	1197	1245	1257	969	1209					
		74.91%	75.77%	75.52%	70.92%	73.10%	73.03%	73.19%	75.65%	75.24%	74.91%	79.01%	76.66%	75.09%	74.65%	75.47%					
22	. Хакамада Ирина Муцуовна	605	36	44	47	60	30	44	53	49	49	27	40	47	32	47					
		2.86%	2.48%	2.76%	3.28%	3.64%	2.59%	2.68%	3.91%	2.88%	3.35%	1.78%	2.46%	2.81%	2.47%	2.93%					
23	. Харитонов Николай Михайлович	2188	163	170	204	185	131	205	127	162	133	135	148	158	116	151					
		10.34%	11.22%	10.67%	14.23%	11.23%	11.32%	12.49%	9.37%	9.53%	9.09%	8.91%	9.11%	9.44%	8.94%	9.43%					
																					
24	Против всех	836	48	54	60	58	47	47	52	71	75	54	64	71	57	78					
		3.95%	3.30%	3.39%	4.18%	3.52%	4.06%	2.86%	3.84%	4.18%	5.13%	3.56%	3.94%	4.24%	4.39%	4.87%					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
