Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																										
Дата голосования: 18.09.2016																																										
																																										
Наименование Избирательной комиссии:    Котласская городская																																										
																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																										
																																										
		Сумма	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №419									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	57914	2201	771	2797	2749	2798	1981	2712	1581	2474	1433	2807	1541	2509	2690	1353	1484	1703	703	2274	1596	396	1091	1329	1641	2128	773	2298	2283	2626	2855	337									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	42600	1600	600	2000	2000	2000	1500	2000	1200	1800	1100	2000	1100	1800	2000	1000	1100	1300	500	1700	1200	300	800	1000	1200	1500	600	1700	1700	1900	2000	400									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	22211	876	154	1124	1032	1259	760	1196	687	1195	594	1147	617	963	981	503	581	648	254	829	469	97	306	538	604	831	285	784	886	906	970	135									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	516	33	7	17	177	5	1	7	7	5	9	24	10	10	6	3	6	7	1	7	17	16	5	5	20	6	4	40	23	24	14	0									
6	Число погашенных избирательных бюллетеней	19873	691	439	859	791	736	739	797	506	600	497	829	473	827	1013	494	513	645	245	864	714	187	489	457	576	663	311	876	791	970	1016	265									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	516	33	7	17	177	5	1	7	7	5	9	24	10	10	6	3	6	7	1	7	17	16	5	5	20	6	4	40	23	24	14	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	22202	876	154	1122	1032	1259	760	1196	687	1195	593	1145	616	962	981	503	581	648	254	829	469	97	306	538	604	829	285	784	886	906	970	135									
9	Число недействительных избирательных бюллетеней	369	11	3	17	26	13	13	20	8	18	8	13	17	13	21	4	6	12	4	20	7	1	11	11	6	24	5	13	19	11	12	2									
10	Число действительных избирательных бюллетеней	22349	898	158	1122	1183	1251	748	1183	686	1182	594	1156	609	959	966	502	581	643	251	816	479	112	300	532	618	811	284	811	890	919	972	133									
