Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																						
Дата голосования: 18.09.2016																																						
																																						
"Наименование Избирательной комиссии:    Хабаровск, Кировская"																																						
																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																						
																																						
		Сумма	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	40717	966	1962	1418	1700	1815	2198	1709	1266	1244	386	1743	1672	1993	1519	782	1582	308	1521	1575	1976	1380	2214	2196	1767	2026	1089	710									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	31550	800	1500	1000	1300	1300	1700	1200	1000	1000	500	1300	1300	1400	1200	900	1200	350	1200	1200	1500	1100	1700	1700	1300	1500	800	600									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	14655	295	719	433	552	688	807	613	517	496	270	661	571	982	457	782	642	72	503	655	798	428	615	639	458	539	277	186									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	791	9	17	27	12	6	13	109	20	22	59	45	15	8	16	0	11	235	27	20	27	19	18	8	12	25	5	6									
6	Число погашенных избирательных бюллетеней	16104	496	764	540	736	606	880	478	463	482	171	594	714	410	727	118	547	43	670	525	675	653	1067	1053	830	936	518	408									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	791	9	17	27	12	6	13	109	20	22	59	45	15	8	16	0	11	235	27	20	27	19	18	8	12	25	5	6									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	14637	295	714	433	552	682	807	613	517	495	270	661	571	980	457	782	642	72	503	654	797	428	615	639	458	537	277	186									
9	Число недействительных избирательных бюллетеней	383	10	23	5	12	8	22	10	6	9	7	6	13	13	6	102	17	12	13	15	26	5	13	5	4	12	9	0									
10	Число действительных избирательных бюллетеней	15045	294	708	455	552	680	798	712	531	508	322	700	573	975	467	680	636	295	517	659	798	442	620	642	466	550	273	192									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	808	20	40	20	30	48	40	30	30	20	20	30	30	80	30	0	30	0	30	30	40	20	40	40	30	30	30	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	308	4	13	4	29	45	15	13	11	7	6	6	9	39	17	0	7	0	9	15	10	9	6	12	5	11	5	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	282	15	28	4	24	12	5	15	4	8	26	11	2	12	8	19	7	0	13	9	10	15	8	3	2	7	5	10									
14	Число погашенных неиспользованных открепительных удостоверений	500	16	27	16	1	3	25	17	19	13	14	24	21	41	13	0	23	0	21	15	30	11	34	28	25	19	25	19									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	73	3	1	3	5	2	1	2	1	3	0	1	3	13	1	0	3	0	14	1	4	1	2	3	0	6	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	335	7	14	10	14	9	15	16	22	11	4	13	13	12	15	12	17	4	10	14	21	11	15	17	9	20	5	5									
		2.17%	2.30%	1.92%	2.17%	2.48%	1.31%	1.83%	2.22%	4.10%	2.13%	1.22%	1.84%	2.22%	1.21%	3.17%	1.53%	2.60%	1.30%	1.89%	2.08%	2.55%	2.46%	2.37%	2.63%	1.91%	3.56%	1.77%	2.60%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	430	8	20	12	9	12	18	26	16	12	9	20	13	20	16	13	20	9	21	21	26	18	18	24	12	21	9	7									
		2.79%	2.63%	2.74%	2.61%	1.60%	1.74%	2.20%	3.60%	2.98%	2.32%	2.74%	2.83%	2.22%	2.02%	3.38%	1.66%	3.06%	2.93%	3.96%	3.12%	3.16%	4.03%	2.84%	3.71%	2.55%	3.74%	3.19%	3.65%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	433	6	33	15	13	14	25	16	21	22	1	26	18	15	21	9	14	10	10	26	27	13	21	16	12	17	7	5									
		2.81%	1.97%	4.51%	3.26%	2.30%	2.03%	3.05%	2.22%	3.91%	4.26%	0.30%	3.68%	3.07%	1.52%	4.44%	1.15%	2.14%	3.26%	1.89%	3.86%	3.28%	2.91%	3.32%	2.47%	2.55%	3.02%	2.48%	2.60%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5234	104	247	144	199	269	260	254	192	157	161	223	180	437	151	240	192	147	210	219	256	137	210	182	152	188	68	55									
		33.93%	34.21%	33.79%	31.30%	35.28%	39.10%	31.71%	35.18%	35.75%	30.37%	48.94%	31.59%	30.72%	44.23%	31.92%	30.69%	29.40%	47.88%	39.62%	32.49%	31.07%	30.65%	33.18%	28.13%	32.34%	33.45%	24.11%	28.65%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	249	6	7	11	6	6	20	20	6	8	6	14	11	12	9	10	17	8	6	8	16	10	8	7	5	5	4	3									
		1.61%	1.97%	0.96%	2.39%	1.06%	0.87%	2.44%	2.77%	1.12%	1.55%	1.82%	1.98%	1.88%	1.21%	1.90%	1.28%	2.60%	2.61%	1.13%	1.19%	1.94%	2.24%	1.26%	1.08%	1.06%	0.89%	1.42%	1.56%									
24	"6. Политическая партия ""Гражданская Платформа"""	51	0	1	0	0	1	3	2	1	2	1	2	2	4	5	4	2	3	7	3	2	0	0	1	3	1	1	0									
		0.33%	0.00%	0.14%	0.00%	0.00%	0.15%	0.37%	0.28%	0.19%	0.39%	0.30%	0.28%	0.34%	0.40%	1.06%	0.51%	0.31%	0.98%	1.32%	0.45%	0.24%	0.00%	0.00%	0.15%	0.64%	0.18%	0.35%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	3257	62	149	92	143	107	168	151	89	84	88	129	81	226	67	304	125	56	86	114	151	98	160	188	107	110	80	42									
