Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва											
Дата голосования: 07.12.2003 0:00:00											
											
Наименование Избирательной комиссии:    Солнечная поселковая											
											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)											
											
		Сумма	УИК  764	УИК  765	УИК  766	УИК  767					
1	"Число избирателей, внесенных в списки"	8255	2098	2029	2439	1689					
2	"Число бюллетеней, полученных участковыми комиссиями"	7893	2023	2040	2170	1660					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	429	63	37	324	5					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	4174	1024	1069	1288	793					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	114	7	8	92	7					
6	Число погашенных бюллетеней	3176	929	926	466	855					
7	Число бюллетеней в переносных ящиках для голосования	543	70	45	416	12					
8	Число бюллетеней в стационарных ящиках для голосования	4172	1024	1069	1288	791					
9	Число недействительных бюллетеней	36	5	6	8	17					
10	Число действительных бюллетеней	4679	1089	1108	1696	786					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	110	30	30	20	30					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	24	5	7	7	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	7	3	2	0	2					
14	Число погашенных открепительных удостоверений	86	25	23	13	25					
15	Число открепительных удостоверений выданных ТИК	3	1	2	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0					
											
18	"1. ""ЕДИНЕНИЕ"""	63	15	17	24	7					
		1.33%	1.37%	1.52%	1.40%	0.87%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	160	18	19	104	19					
		3.39%	1.64%	1.70%	6.10%	2.36%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	77	13	13	34	17					
		1.63%	1.18%	1.16%	1.99%	2.11%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	78	9	15	41	13					
		1.65%	0.82%	1.34%	2.40%	1.61%					
22	"5. ""За Русь Святую"""	14	3	1	7	3					
		0.29%	0.27%	0.08%	0.41%	0.37%					
23	"6. ""Объединенная Российская партия ""Русь"""	5	1	1	2	1					
		0.10%	0.09%	0.08%	0.11%	0.12%					
24	"7. ""Новый курс - Автомобильная Россия"""	64	2	6	50	6					
		1.35%	0.18%	0.53%	2.93%	0.74%					
25	"8. ""Народно-республиканская партия России"""	5	1	1	2	1					
		0.10%	0.09%	0.08%	0.11%	0.12%					
26	"9. ""Российская экологическая партия ""Зеленые"""	21	4	4	13	0					
		0.44%	0.36%	0.35%	0.76%	0.0%					
27	"10. ""Аграрная партия России"""	70	13	16	26	15					
		1.48%	1.18%	1.43%	1.52%	1.86%					
28	"11. ""Истинные патриоты России"""	15	0	4	11	0					
		0.31%	0.0%	0.35%	0.64%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	24	7	4	8	5					
		0.50%	0.63%	0.35%	0.46%	0.62%					
30	"13. ""Демократическая партия России"""	10	1	3	3	3					
		0.21%	0.09%	0.26%	0.17%	0.37%					
31	"14. ""Великая Россия - Евразийский Союз"""	11	1	2	8	0					
		0.23%	0.09%	0.17%	0.46%	0.0%					
32	"15. ""Партия СЛОН"""	15	4	5	5	1					
		0.31%	0.36%	0.44%	0.29%	0.12%					
33	"16. ""Родина"" (народно-патриотический союз)"""	522	123	148	104	147					
		11.07%	11.24%	13.28%	6.10%	18.30%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	18	2	4	10	2					
		0.38%	0.18%	0.35%	0.58%	0.24%					
35	"18. ""ЛДПР"""	1055	235	243	408	169					
		22.37%	21.48%	21.81%	23.94%	21.04%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	56	12	12	18	14					
		1.18%	1.09%	1.07%	1.05%	1.74%					
37	"20. ""Политическая партия ""Единая Россия"""	1717	491	459	515	252					
		36.41%	44.88%	41.20%	30.22%	31.38%					
38	"21. ""Российская Конституционно-демократическая партия"""	15	3	1	9	2					
		0.31%	0.27%	0.08%	0.52%	0.24%					
39	"22. ""Развитие предпринимательства"""	15	0	0	14	1					
		0.31%	0.0%	0.0%	0.82%	0.12%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	254	37	56	102	59					
		5.38%	3.38%	5.02%	5.98%	7.34%					
											
41	Против всех	395	94	74	178	49					
		8.37%	8.59%	6.64%	10.44%	6.10%					
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
