Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва												
Дата голосования: 02.12.2007												
												
Наименование Избирательной комиссии:    Жиганская												
												
Сводная таблица результатов выборов												
												
		Сумма	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190					
1	"Число избирателей, внесенных в списки избирателей"	2715	1901	259	265	166	124					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	2700	1830	270	300	170	130					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	100	87	0	10	3	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	1868	1238	191	181	149	109					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	150	127	11	5	5	2					
6	Число погашенных избирательных бюллетеней	582	378	68	104	13	19					
7	Число избирательных бюллетеней в переносных ящиках для голосования	250	214	11	15	8	2					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	1868	1238	191	181	149	109					
9	Число недействительных избирательных бюллетеней	17	14	2	1	0	0					
10	Число действительных избирательных бюллетеней	2101	1438	200	195	157	111					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	142	92	15	15	10	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	33	30	0	2	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	4	0	0	2	2	0					
14	Число погашенных неиспользованных открепительных удостоверений	109	62	15	13	10	9					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	8	8	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0					
												
18	1.Политическая партия «Аграрная партия России»	25	15	5	1	3	1					
		1.18%	1.03%	2.48%	0.51%	1.91%	0.90%					
19	2.Всероссийская политическая партия «Гражданская Сила»	4	4	0	0	0	0					
		0.19%	0.28%	0.00%	0.00%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	5	4	0	0	0	1					
		0.24%	0.28%	0.00%	0.00%	0.00%	0.90%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	111	87	14	2	6	2					
		5.24%	5.99%	6.93%	1.02%	3.82%	1.80%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	26	17	1	7	0	1					
		1.23%	1.17%	0.50%	3.57%	0.00%	0.90%					
23	6.Политическая партия «Партия социальной справедливости»	4	3	0	1	0	0					
		0.19%	0.21%	0.00%	0.51%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	48	30	11	1	2	4					
		2.27%	2.07%	5.45%	0.51%	1.27%	3.60%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	282	203	9	16	40	14					
		13.31%	13.98%	4.46%	8.16%	25.48%	12.61%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	9	6	0	1	1	1					
		0.42%	0.41%	0.00%	0.51%	0.64%	0.90%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	1581	1064	159	166	105	87					
		74.65%	73.28%	78.71%	84.69%	66.88%	78.38%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	6	5	1	0	0	0					
		0.28%	0.34%	0.50%	0.00%	0.00%	0.00%					
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
