Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва												
Дата голосования: 04.12.2011												
												
Наименование Избирательной комиссии:    Жиганская												
												
Сводная таблица результатов выборов												
												
		Сумма	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189					
1	"Число избирателей, внесенных в список избирателей"	3195	2251	301	311	186	146					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	2845	2000	250	300	160	135					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	20	4	0	16	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	1696	1131	185	156	116	108					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	174	148	6	9	9	2					
6	Число погашенных избирательных бюллетеней	955	717	59	119	35	25					
7	Число избирательных бюллетеней в переносных ящиках для голосования	194	152	6	25	9	2					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	1696	1131	185	156	116	108					
9	Число недействительных избирательных бюллетеней	49	38	4	2	4	1					
10	Число действительных избирательных бюллетеней	1841	1245	187	179	121	109					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	60	20	10	10	10	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	15	10	0	0	1	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	5	2	1	1	1	0					
14	Число погашенных неиспользованных открепительных удостоверений	45	10	10	10	9	6					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	3	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0					
												
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	425	336	18	43	18	10					
		22.49%	26.19%	9.42%	23.76%	14.40%	9.09%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	62	38	16	1	3	4					
		3.28%	2.96%	8.38%	0.55%	2.40%	3.64%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	26	9	0	1	15	1					
		1.38%	0.70%	0.00%	0.55%	12.00%	0.91%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	210	175	31	1	0	3					
		11.11%	13.64%	16.23%	0.55%	0.00%	2.73%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	10	9	1	0	0	0					
		0.53%	0.70%	0.52%	0.00%	0.00%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1101	676	121	128	85	91					
		58.25%	52.69%	63.35%	70.72%	68.00%	82.73%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	7	2	0	5	0	0					
		0.37%	0.16%	0.00%	2.76%	0.00%	0.00%					
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
