Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																															
Дата голосования: 18.09.2016																																															
																																															
Наименование Избирательной комиссии:    Пожарская																																															
																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																															
																																															
		Сумма	УИК №2501	УИК №2502	УИК №2503	УИК №2504	УИК №2505	УИК №2506	УИК №2507	УИК №2508	УИК №2509	УИК №2510	УИК №2511	УИК №2512	УИК №2513	УИК №2514	УИК №2515	УИК №2516	УИК №2517	УИК №2518	УИК №2519	УИК №2520	УИК №2521	УИК №2522	УИК №2523	УИК №2524	УИК №2525	УИК №2526	УИК №2527	УИК №2528	УИК №2529	УИК №2530	УИК №2531	УИК №2532	УИК №2533	УИК №2534	УИК №2535	УИК №2536									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	23923	170	1112	536	185	499	578	188	78	121	425	577	1013	515	1109	489	1050	1074	1110	1121	929	347	1094	668	1046	770	1025	986	1097	558	422	698	133	209	471	1211	309									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	24400	165	1130	550	190	500	590	190	75	120	410	590	1030	525	1140	490	1070	1095	1115	1145	965	355	1110	680	1055	790	1040	1010	1120	600	420	715	140	220	500	1250	310									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	9182	71	457	132	50	179	213	62	26	35	197	248	303	240	447	193	416	428	401	372	233	67	436	263	490	282	423	397	460	246	142	255	71	103	212	490	142									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	351	7	62	35	0	20	11	7	8	3	17	20	0	1	2	2	5	8	10	7	5	1	18	5	6	0	2	9	2	22	21	17	0	0	9	7	2									
6	Число погашенных избирательных бюллетеней	14867	87	611	383	140	301	366	121	41	82	196	322	727	284	691	295	649	659	704	766	727	287	656	412	559	508	615	604	658	332	257	443	69	117	279	753	166									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	351	7	62	35	0	20	11	7	8	3	17	20	0	1	2	2	5	8	10	7	5	1	18	5	6	0	2	9	2	22	21	17	0	0	9	7	2									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	9176	71	457	132	50	179	213	62	26	35	197	248	303	240	447	193	416	427	401	372	231	67	436	263	490	282	421	397	459	246	142	255	71	103	212	490	142									
9	Число недействительных избирательных бюллетеней	361	5	19	10	2	5	6	0	3	2	7	14	15	4	16	4	12	18	20	16	7	1	22	7	18	5	20	15	22	5	4	13	1	5	5	23	10									
10	Число действительных избирательных бюллетеней	9166	73	500	157	48	194	218	69	31	36	207	254	288	237	433	191	409	417	391	363	229	67	432	261	478	277	403	391	439	263	159	259	70	98	216	474	134									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	879	10	30	30	10	25	25	15	20	10	20	20	25	25	25	25	25	25	20	25	25	25	25	25	25	25	25	25	25	30	20	25	20	20	69	40	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	179	0	8	0	0	0	6	3	1	1	4	8	2	2	12	2	1	7	7	3	10	0	7	0	0	2	3	5	5	30	2	3	6	7	27	5	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	116	4	5	0	1	1	0	5	3	2	25	5	3	0	3	6	0	1	10	4	8	1	3	2	3	2	3	2	1	3	3	2	1	1	2	0	1									
14	Число погашенных неиспользованных открепительных удостоверений	700	10	22	30	10	25	19	12	19	9	16	12	23	23	13	23	24	18	13	22	15	25	18	25	25	23	22	20	20	0	18	22	14	13	42	35	20									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	71	0	0	0	0	0	0	0	0	0	1	4	3	2	3	2	2	5	7	4	1	0	10	0	4	5	1	4	3	1	1	4	0	0	1	0	3									
