Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																			
Дата голосования: 04.12.2011																																																																			
																																																																			
Наименование Избирательной комиссии:    Mихайловская																																																																			
																																																																			
Сводная таблица итогов голосования																																																																			
																																																																			
		Сумма	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276									
1	Число избирателей, внесенных в список избирателей	28481	1499	1362	1179	727	892	1128	864	1096	177	166	703	550	887	626	449	421	870	917	417	958	717	954	571	102	88	314	507	82	185	170	842	197	222	402	244	207	94	273	203	152	404	334	168	372	244	277	106	411	653	258	387	359	1082	344	350	318									
2	Число избирательных бюллетеней, полученных участковой избирательной комиссией	27090	1500	1300	1100	700	900	1100	800	1000	180	170	700	500	800	600	400	400	800	900	400	900	700	900	500	100	80	300	500	80	200	190	800	190	200	400	200	200	90	230	190	140	400	300	160	350	200	250	100	400	600	250	390	350	1000	350	350	300									
3	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных избирателям в помещении для голосования	12960	692	622	570	307	368	446	365	502	159	85	305	242	387	216	144	132	338	399	188	344	291	523	411	58	44	181	248	15	109	96	381	68	70	142	117	156	60	148	89	80	203	148	68	168	144	140	81	164	269	102	232	200	400	156	127	260									
5	Число избирательных бюллетеней, выданных избирателям вне помещения для голосования	2513	71	82	23	23	44	12	29	26	11	14	37	18	97	36	39	30	12	6	29	22	18	220	47	17	10	29	58	37	12	28	144	54	76	68	28	14	18	57	48	15	50	41	32	61	30	61	4	52	59	69	142	73	71	46	50	13									
6	Число погашенных избирательных бюллетеней	11617	737	596	507	370	488	642	406	472	10	71	358	240	316	348	217	238	450	495	183	534	391	157	42	25	26	90	194	28	79	66	275	68	54	190	55	30	12	25	53	45	147	111	60	121	26	49	15	184	272	79	16	77	529	148	173	27									
7	Число избирательных бюллетеней в переносных ящиках для голосования	2513	71	82	23	23	44	12	29	26	11	14	37	18	97	36	39	30	12	6	29	22	18	220	47	17	10	29	58	37	12	28	144	54	76	68	28	14	18	57	48	15	50	41	32	61	30	61	4	52	59	69	142	73	71	46	50	13									
8	Число избирательных бюллетеней в стационарных ящиках для голосования	12958	692	622	570	307	367	446	365	502	159	85	305	242	387	216	144	132	338	399	188	343	291	523	411	58	44	181	248	15	109	96	381	68	70	142	117	156	60	148	89	80	203	148	68	168	144	140	81	164	269	102	232	200	400	156	127	260									
9	Число недействительных избирательных бюллетеней	251	19	11	14	7	13	8	10	9	3	1	2	4	8	6	3	3	3	7	2	13	6	13	11	0	0	3	4	0	2	1	5	1	1	2	4	1	0	3	2	2	3	2	1	5	0	0	0	4	9	0	0	1	5	4	3	7									
10	Число действительных избирательных бюллетеней	15220	744	693	579	323	398	450	384	519	167	98	340	256	476	246	180	159	347	398	215	352	303	730	447	75	54	207	302	52	119	123	520	121	145	208	141	169	78	202	135	93	250	187	99	224	174	201	85	212	319	171	374	272	466	198	174	266									
11	Число открепительных удостоверений, полученных участковой избирательной комиссией	488	10	10	6	10	6	10	10	15	1	8	5	5	10	10	5	10	10	10	5	10	10	10	10	5	5	5	16	4	15	20	15	10	10	10	10	10	5	10	10	5	15	10	5	8	10	5	5	10	10	5	10	5	14	5	5	5									
12	Число открепительных удостоверений, выданных избирателям на избирательном участке	282	10	10	5	9	6	6	4	13	0	8	5	5	2	6	0	2	5	9	1	4	4	1	10	0	0	5	16	0	15	20	7	10	0	10	3	4	0	10	0	5	6	1	1	8	6	5	0	0	7	0	0	0	11	2	2	3									
13	Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке	201	13	19	12	3	3	5	2	4	1	1	4	2	2	0	2	1	0	6	2	6	2	6	5	1	1	6	1	1	4	2	8	0	13	1	2	1	2	5	4	7	2	3	2	3	3	0	1	0	2	2	0	6	8	2	0	7									
14	Число погашенных неиспользованных открепительных удостоверений	206	0	0	1	1	0	4	6	2	1	0	0	0	8	4	5	8	5	1	4	6	6	9	0	5	5	0	0	4	0	0	8	0	10	0	7	6	5	0	10	0	9	9	4	0	4	0	5	10	3	5	10	5	3	3	3	2									
15	Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	Число избирательных бюллетеней, не учтенных при получении	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																			
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2139	131	115	114	41	64	84	59	70	5	6	48	62	91	33	35	18	72	66	38	77	54	79	35	7	5	30	35	3	12	10	80	16	17	32	25	10	9	32	23	12	26	28	8	26	10	12	11	17	48	7	25	20	73	24	26	23									
		13.83%	17.17%	16.34%	19.22%	12.42%	15.57%	18.34%	14.97%	13.26%	2.94%	6.06%	14.04%	23.85%	18.80%	13.10%	19.13%	11.11%	20.57%	16.30%	17.51%	21.10%	17.48%	10.63%	7.64%	9.33%	9.26%	14.29%	11.44%	5.77%	9.92%	8.06%	15.24%	13.11%	11.64%	15.24%	17.24%	5.88%	11.54%	15.61%	16.79%	12.63%	10.28%	14.81%	8.00%	11.35%	5.75%	5.97%	12.94%	7.87%	14.63%	4.09%	6.68%	7.33%	15.50%	11.88%	14.69%	8.42%									
20	"2. Политическая партия ""Либерально-демократическая партия России"""	2286	93	127	97	61	64	74	63	113	7	26	57	44	63	32	25	24	44	65	32	57	49	67	68	16	8	31	49	2	20	24	69	18	11	36	18	22	3	48	29	13	26	25	19	18	24	19	3	43	44	25	47	32	85	47	26	34									
