Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																			
Дата голосования: 02.12.2007																																																																			
																																																																			
Наименование Избирательной комиссии:    Mихайловская																																																																			
																																																																			
Сводная таблица результатов выборов																																																																			
																																																																			
		Сумма	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287									
1	Число избирателей, внесенных в списки избирателей	28584	1461	1304	1128	735	881	1154	894	1082	226	712	585	901	151	695	912	928	957	428	713	452	426	1018	518	105	87	296	486	78	199	186	885	193	237	449	250	209	115	261	225	146	400	315	151	369	255	286	120	411	542	388	345	249	357	331	1063	334									
2	Число избирательных бюллетеней, полученных участковыми избирательными комиссиями	27010	1400	1100	1100	700	800	1100	850	1000	220	680	550	880	140	680	880	880	900	400	680	400	400	980	470	90	80	300	480	70	180	170	850	200	220	440	230	200	100	240	200	140	370	310	140	340	240	270	120	380	520	380	320	240	340	310	1030	320									
3	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных избирателям в помещениях для голосования	14616	707	635	603	366	442	531	416	535	183	325	295	407	96	278	428	465	420	201	384	208	245	647	329	60	51	159	269	21	114	92	438	77	98	164	130	155	67	146	107	73	222	180	79	184	156	187	110	200	273	250	218	88	214	165	483	240									
5	Число избирательных бюллетеней, выданных избирателям вне помещений для голосования	2649	75	135	41	38	47	27	30	47	34	45	24	82	22	35	8	11	30	21	12	39	33	189	75	12	10	50	55	45	12	39	127	59	80	90	37	18	14	73	48	15	58	54	31	55	15	47	0	48	59	130	87	86	14	29	33	19									
6	Число погашенных избирательных бюллетеней	9745	618	330	456	296	311	542	404	418	3	310	231	391	22	367	444	404	450	178	284	153	122	144	66	18	19	91	156	4	54	39	285	64	42	186	63	27	19	21	45	52	90	76	30	101	69	36	10	132	188	0	15	66	112	116	514	61									
7	Число избирательных бюллетеней в переносных ящиках для голосования	2649	75	135	41	38	47	27	30	47	34	45	24	82	22	35	8	11	30	21	12	39	33	189	75	12	10	50	55	45	12	39	127	59	80	90	37	18	14	73	48	15	58	54	31	55	15	47	0	48	59	130	87	86	14	29	33	19									
8	Число избирательных бюллетеней в стационарных ящиках для голосования	14616	707	635	603	366	442	531	416	535	183	325	295	407	96	278	428	465	420	201	384	208	245	647	329	60	51	159	269	21	114	92	438	77	98	164	130	155	67	146	107	73	222	180	79	184	156	187	110	200	273	250	218	88	214	165	483	240									
9	Число недействительных избирательных бюллетеней	167	14	4	5	5	12	9	2	7	4	3	0	4	1	3	5	6	4	2	8	3	2	10	6	1	1	0	1	0	1	0	5	1	1	3	1	0	1	2	1	1	1	1	2	2	0	1	0	1	3	3	0	0	0	2	7	5									
10	Число действительных избирательных бюллетеней	17098	768	766	639	399	477	549	444	575	213	367	319	485	117	310	431	470	446	220	388	244	276	826	398	71	60	209	323	66	125	131	560	135	177	251	166	173	80	217	154	87	279	233	108	237	171	233	110	247	329	377	305	174	228	192	509	254									
11	Число открепительных удостоверений, полученных участковыми избирательными комиссиями	589	20	20	20	15	15	15	10	15	5	10	10	15	5	15	15	15	15	10	15	10	10	20	10	5	5	5	10	5	5	5	20	9	10	10	10	10	5	10	10	5	15	10	10	10	10	5	5	10	10	10	10	10	5	5	10	5									
12	Число открепительных удостоверений, выданных избирателям на избирательных участках	202	12	18	10	4	3	4	6	14	0	4	5	5	0	1	8	5	8	0	2	2	2	0	0	0	1	5	2	0	0	4	6	9	0	4	1	0	0	2	1	3	0	9	4	2	0	1	0	3	5	0	0	10	2	2	9	4									
13	Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках	236	9	15	8	9	11	9	4	6	1	3	4	5	1	2	2	3	5	2	2	3	1	5	2	3	0	4	3	0	3	5	7	3	19	4	4	3	0	3	4	5	2	1	3	2	4	1	1	3	8	3	2	1	4	4	10	5									
14	Число погашенных неиспользованных открепительных удостоверений	387	8	2	10	11	12	11	4	1	5	6	5	10	5	14	7	10	7	10	13	8	8	20	10	5	4	0	8	5	5	1	14	0	10	6	9	10	5	8	9	2	15	1	6	8	10	4	5	7	5	10	10	0	3	3	1	1									
15	Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией	7	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0									
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
