Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																										
Дата голосования: 18.09.2016																																										
																																										
Наименование Избирательной комиссии:    Нерехтская																																										
																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																										
																																										
		Сумма	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	29440	2075	2089	2219	1683	1294	2170	2220	1723	1876	1988	259	186	920	242	421	688	738	612	605	555	358	268	356	351	505	914	549	331	396	197	652									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	29545	2068	2097	2220	1683	1301	2182	2226	1737	1883	1981	261	188	921	242	421	681	737	615	606	557	371	270	371	355	507	923	552	332	398	197	662									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	11187	817	728	760	696	458	959	978	719	758	789	110	56	318	100	135	201	229	211	200	218	145	113	126	136	156	378	192	112	114	43	232									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1211	41	34	43	16	23	17	23	47	26	26	13	27	46	16	56	56	62	89	47	16	36	23	49	38	51	28	38	38	89	32	65									
6	Число погашенных избирательных бюллетеней	17147	1210	1335	1417	971	820	1206	1225	971	1099	1166	138	105	557	126	230	424	446	315	359	323	190	134	196	181	300	517	322	182	195	122	365									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1211	41	34	43	16	23	17	23	47	26	26	13	27	46	16	56	56	62	89	47	16	36	23	49	38	51	28	38	38	89	32	65									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	11185	817	727	760	696	458	959	978	719	758	788	110	56	318	100	135	201	229	211	200	218	145	113	126	136	156	378	192	112	114	43	232									
9	Число недействительных избирательных бюллетеней	267	13	15	28	25	11	22	27	24	10	16	2	1	11	0	2	4	5	2	1	3	5	2	6	4	8	9	2	3	5	0	1									
10	Число действительных избирательных бюллетеней	12129	845	746	775	687	470	954	974	742	774	798	121	82	353	116	189	253	286	298	246	231	176	134	169	170	199	397	228	147	198	75	296									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	415	20	20	20	20	20	20	20	20	20	20	10	10	10	10	10	10	10	10	10	10	10	10	15	10	10	10	10	10	10	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	133	6	4	3	1	4	10	10	9	9	6	1	2	3	2	1	0	1	3	0	3	8	2	15	6	3	9	5	1	0	0	6									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	74	5	1	2	3	1	3	3	3	5	14	1	2	2	1	2	4	3	1	2	2	0	2	2	3	3	1	1	1	0	0	1									
14	Число погашенных неиспользованных открепительных удостоверений	282	14	16	17	19	16	10	10	11	11	14	9	8	7	8	9	10	9	7	10	7	2	8	0	4	7	1	5	9	10	10	4									
