Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																				
Дата голосования: 02.12.2007																																																				
																																																				
Наименование Избирательной комиссии:    Каменск-Шахтинская городская																																																				
																																																				
Сводная таблица результатов выборов																																																				
																																																				
		Сумма	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №1164	УИК №1168	УИК №2461	УИК №2462					
1	"Число избирателей, внесенных в списки избирателей"	76215	1533	1143	1752	1509	1910	1194	1839	1472	1614	2146	2457	1794	984	1682	1638	2181	1484	1570	1457	2030	1098	1634	2400	2585	2785	2810	2059	1846	2351	651	2159	2008	1686	1913	1080	1532	2052	1891	1054	1322	2221	1462	1322	195	710					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	67200	1310	980	1430	1320	1660	1080	1650	1340	1410	1940	2080	1480	880	1490	1460	1980	1350	1440	1300	1790	990	1440	2080	2230	2300	2460	1860	1630	2040	620	1940	1760	1460	1700	950	1370	1830	1650	930	1140	2010	1340	1180	230	690					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	46062	1028	626	1026	858	1009	708	1078	1058	1009	1343	1595	1287	667	1070	969	1395	909	997	867	1263	606	1006	1675	1534	1732	1702	1235	1140	1382	449	1256	1171	970	1133	569	826	1143	1002	464	724	1384	767	781	174	475					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2752	56	83	43	36	62	25	42	54	41	56	46	55	35	32	47	40	67	40	39	43	74	60	152	54	34	49	63	27	41	27	77	163	217	63	60	72	71	84	211	78	43	46	43	0	1					
6	Число погашенных избирательных бюллетеней	18386	226	271	361	426	589	347	530	228	360	541	439	138	178	388	444	545	374	403	394	484	310	374	253	642	534	709	562	463	617	144	607	426	273	504	321	472	616	564	255	338	583	527	356	56	214					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2752	56	83	43	36	62	25	42	54	41	56	46	55	35	32	47	40	67	40	39	43	74	60	152	54	34	49	63	27	41	27	77	163	217	63	60	72	71	84	211	78	43	46	43	0	1					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	46058	1028	626	1026	858	1009	708	1077	1058	1008	1343	1595	1287	667	1070	969	1394	909	997	867	1263	606	1006	1675	1534	1732	1702	1235	1140	1382	449	1256	1171	970	1132	569	826	1143	1002	464	724	1384	767	781	174	475					
9	Число недействительных избирательных бюллетеней	298	6	8	9	6	7	5	3	9	9	4	2	7	2	10	10	13	10	5	1	7	0	7	13	11	14	16	8	6	8	1	0	13	11	4	5	6	8	12	1	1	7	5	6	0	2					
10	Число действительных избирательных бюллетеней	48512	1078	701	1060	888	1064	728	1116	1103	1040	1395	1639	1335	700	1092	1006	1421	966	1032	905	1299	680	1059	1814	1577	1752	1735	1290	1161	1415	475	1333	1321	1176	1191	624	892	1206	1074	674	801	1420	808	818	174	474					
