Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																
Дата голосования: 18.09.2016																																
																																
Наименование Избирательной комиссии:    Пичаевская																																
																																
Сводная таблица итогов голосования по федеральному избирательному округу																																
																																
		Сумма	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	10728	500	307	375	423	187	333	676	265	240	695	590	370	72	2114	975	653	162	149	313	383	946									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8300	370	230	280	330	180	250	500	200	200	550	450	300	70	1800	700	500	120	120	250	300	600									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3907	168	97	137	177	83	137	281	71	86	252	194	150	18	777	329	228	45	60	113	162	342									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	915	32	28	27	79	25	28	88	51	22	65	57	38	22	49	61	53	20	10	29	21	110									
6	Число погашенных избирательных бюллетеней	3478	170	105	116	74	72	85	131	78	92	233	199	112	30	974	310	219	55	50	108	117	148									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	914	32	28	27	79	25	28	88	51	22	65	57	38	22	49	61	53	20	10	29	21	109									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3907	168	97	137	177	83	137	281	71	86	252	194	150	18	777	329	228	45	60	113	162	342									
9	Число недействительных избирательных бюллетеней	115	4	3	2	12	2	3	4	2	3	4	18	3	0	22	7	2	1	4	4	2	13									
10	Число действительных избирательных бюллетеней	4706	196	122	162	244	106	162	365	120	105	313	233	185	40	804	383	279	64	66	138	181	438									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	142	12	5	4	7	5	5	7	2	5	9	10	2	2	19	12	3	2	2	10	10	9									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	60	2	2	0	3	0	0	7	0	5	5	0	1	0	15	9	3	0	0	1	4	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	15	2	0	1	0	0	0	0	2	2	1	0	0	0	1	1	1	1	0	1	0	2									
14	Число погашенных неиспользованных открепительных удостоверений	82	10	3	4	4	5	5	0	2	0	4	10	1	2	4	3	0	2	2	9	6	6									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	57	1	1	2	0	3	3	3	0	0	4	4	0	0	13	8	2	0	0	2	4	7									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	224	5	6	5	3	7	13	17	1	7	14	6	2	1	63	27	11	6	0	6	14	10									
		4.65%	2.50%	4.80%	3.05%	1.17%	6.48%	7.88%	4.61%	0.82%	6.48%	4.42%	2.39%	1.06%	2.50%	7.63%	6.92%	3.91%	9.23%	0.00%	4.23%	7.65%	2.22%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	172	5	3	8	8	6	3	15	3	3	14	11	8	2	32	11	12	2	4	6	3	13									
		3.57%	2.50%	2.40%	4.88%	3.13%	5.56%	1.82%	4.07%	2.46%	2.78%	4.42%	4.38%	4.26%	5.00%	3.87%	2.82%	4.27%	3.08%	5.71%	4.23%	1.64%	2.88%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	62	3	1	4	0	1	1	6	3	3	3	3	2	1	9	9	6	0	0	1	2	4									
		1.29%	1.50%	0.80%	2.44%	0.00%	0.93%	0.61%	1.63%	2.46%	2.78%	0.95%	1.20%	1.06%	2.50%	1.09%	2.31%	2.14%	0.00%	0.00%	0.70%	1.09%	0.89%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2695	106	72	88	163	55	101	226	93	71	178	157	131	34	373	191	117	35	43	83	85	293									
		55.90%	53.00%	57.60%	53.66%	63.67%	50.93%	61.21%	61.25%	76.23%	65.74%	56.15%	62.55%	69.68%	85.00%	45.16%	48.97%	41.64%	53.85%	61.43%	58.45%	46.45%	64.97%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	12	0	0	4	0	0	0	0	1	0	1	0	1	0	0	1	1	0	0	2	0	1									
		0.25%	0.00%	0.00%	2.44%	0.00%	0.00%	0.00%	0.00%	0.82%	0.00%	0.32%	0.00%	0.53%	0.00%	0.00%	0.26%	0.36%	0.00%	0.00%	1.41%	0.00%	0.22%									
24	"6. Политическая партия ""Гражданская Платформа"""	11	1	0	0	1	0	0	2	0	0	0	1	0	0	1	2	0	1	0	0	0	2									
		0.23%	0.50%	0.00%	0.00%	0.39%	0.00%	0.00%	0.54%	0.00%	0.00%	0.00%	0.40%	0.00%	0.00%	0.12%	0.51%	0.00%	1.54%	0.00%	0.00%	0.00%	0.44%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	481	39	11	18	31	12	21	23	7	6	25	17	16	1	91	55	32	9	10	13	14	30									
		9.98%	19.50%	8.80%	10.98%	12.11%	11.11%	12.73%	6.23%	5.74%	5.56%	7.89%	6.77%	8.51%	2.50%	11.02%	14.10%	11.39%	13.85%	14.29%	9.15%	7.65%	6.65%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	18	0	0	0	0	0	0	0	1	0	0	3	0	0	6	3	1	0	0	2	0	2									
		0.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.82%	0.00%	0.00%	1.20%	0.00%	0.00%	0.73%	0.77%	0.36%	0.00%	0.00%	1.41%	0.00%	0.44%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	16	1	0	0	0	2	0	1	0	0	1	2	1	0	1	2	1	1	0	1	2	0									
		0.33%	0.50%	0.00%	0.00%	0.00%	1.85%	0.00%	0.27%	0.00%	0.00%	0.32%	0.80%	0.53%	0.00%	0.12%	0.51%	0.36%	1.54%	0.00%	0.70%	1.09%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	10	1	1	0	0	1	0	0	0	0	0	0	0	0	3	0	1	0	0	1	0	2									
		0.21%	0.50%	0.80%	0.00%	0.00%	0.93%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.36%	0.00%	0.36%	0.00%	0.00%	0.70%	0.00%	0.44%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	34	6	1	3	0	2	0	2	0	1	3	0	1	0	3	2	2	2	2	1	2	1									
		0.71%	3.00%	0.80%	1.83%	0.00%	1.85%	0.00%	0.54%	0.00%	0.93%	0.95%	0.00%	0.53%	0.00%	0.36%	0.51%	0.71%	3.08%	2.86%	0.70%	1.09%	0.22%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	843	23	20	28	33	16	22	63	10	12	62	28	19	1	190	70	89	8	7	18	55	69									
		17.49%	11.50%	16.00%	17.07%	12.89%	14.81%	13.33%	17.07%	8.20%	11.11%	19.56%	11.16%	10.11%	2.50%	23.00%	17.95%	31.67%	12.31%	10.00%	12.68%	30.05%	15.30%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	19	1	2	2	1	0	1	1	0	0	0	2	0	0	2	1	2	0	0	1	0	3									
		0.39%	0.50%	1.60%	1.22%	0.39%	0.00%	0.61%	0.27%	0.00%	0.00%	0.00%	0.80%	0.00%	0.00%	0.24%	0.26%	0.71%	0.00%	0.00%	0.70%	0.00%	0.67%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	109	5	5	2	4	4	0	9	1	2	12	3	4	0	30	9	4	0	0	3	4	8									
		2.26%	2.50%	4.00%	1.22%	1.56%	3.70%	0.00%	2.44%	0.82%	1.85%	3.79%	1.20%	2.13%	0.00%	3.63%	2.31%	1.42%	0.00%	0.00%	2.11%	2.19%	1.77%									
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
