Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																	
Дата голосования: 18.09.2016																																																																																	
																																																																																	
"Наименование Избирательной комиссии:    Екатеринбург, Железнодорожная"																																																																																	
																																																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																	
																																																																																	
		Сумма	УИК №244	УИК №245	УИК №620	УИК №679	УИК №694	УИК №695	УИК №696	УИК №960	УИК №961	УИК №964	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК №1349	УИК №1350	УИК №1351	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №1357	УИК №1358	УИК №1359	УИК №1360	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365	УИК №1366	УИК №1367	УИК №1368	УИК №1369	УИК №1370	УИК №1371	УИК №1372	УИК №1373	УИК №1374	УИК №1375	УИК №1376	УИК №1377	УИК №1378	УИК №1379	УИК №1381	УИК №1382	УИК №1383	УИК №1384	УИК №2620									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	113247	1955	1827	107	1322	2133	1745	1606	1283	617	1634	1322	1191	1320	1373	1109	1380	1995	2011	1187	1686	1620	1111	1756	1618	878	312	1541	1621	1752	1994	1566	1857	1859	1674	2249	2117	2418	1896	1962	2176	1801	1868	2109	2066	1811	1838	1727	1580	2140	1575	1867	1320	2105	2104	2163	2102	2207	1827	2180	2235	2441	275	806	905	1717	2231	166	290	1081	1930									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	95350	1500	1400	800	1000	2000	1400	1300	1000	700	1300	1000	1000	1000	1000	1000	1100	1600	1600	1000	1300	1200	1000	1400	1300	700	250	1200	1300	1400	1600	1200	1500	1500	2000	2000	1600	2000	1500	1600	2000	1400	1500	2000	2000	1400	1500	1400	1200	2000	1200	1500	1000	2000	2000	2000	2000	2000	1400	2000	2000	1800	200	600	700	1200	2000	300	300	1000	1500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	44272	708	706	107	488	844	615	580	595	565	631	554	509	572	638	488	636	904	858	644	562	724	544	802	634	386	86	480	542	535	715	664	720	739	699	892	746	942	745	849	853	980	618	812	743	627	717	706	540	748	533	698	542	766	693	721	758	845	609	812	793	893	117	304	316	630	769	164	177	537	603									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	563	3	2	0	2	4	11	1	8	0	4	21	8	6	10	13	10	7	6	14	6	5	4	6	24	5	2	2	4	3	7	5	8	4	4	12	6	9	3	7	1	3	8	4	16	3	2	8	6	5	11	2	0	9	6	8	8	1	3	5	3	7	16	5	11	24	10	0	113	5	4									
6	Число погашенных избирательных бюллетеней	50514	789	692	693	510	1152	774	719	397	135	665	425	483	422	352	499	454	689	736	342	732	471	452	592	642	309	162	718	754	862	878	531	772	757	1297	1096	848	1049	752	744	1146	417	874	1184	1241	770	781	686	654	1246	656	800	458	1225	1301	1271	1234	1154	788	1183	1204	900	67	291	373	546	1221	136	10	458	893									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	563	3	2	0	2	4	11	1	8	0	4	21	8	6	10	13	10	7	6	14	6	5	4	6	24	5	2	2	4	3	7	5	8	4	4	12	6	9	3	7	1	3	8	4	16	3	2	8	6	5	11	2	0	9	6	8	8	1	3	5	3	7	16	5	11	24	10	0	113	5	4									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	44220	707	706	107	487	841	615	577	595	565	631	552	509	567	638	486	636	904	855	644	561	719	543	802	634	386	86	478	541	535	715	664	720	739	699	892	740	941	745	846	853	980	618	812	743	627	717	705	540	747	533	698	542	757	693	721	758	845	609	812	792	893	117	304	316	630	769	164	177	537	603									
9	Число недействительных избирательных бюллетеней	1409	23	20	2	17	22	10	15	20	10	25	18	12	12	19	13	23	24	21	20	14	19	19	21	23	7	4	13	16	20	15	19	27	24	21	36	17	31	26	21	27	28	30	27	25	23	28	16	17	25	28	26	14	18	32	28	32	22	19	24	30	32	0	9	12	29	32	6	16	11	24									
10	Число действительных избирательных бюллетеней	43374	687	688	105	472	823	616	563	583	555	610	555	505	561	629	486	623	887	840	638	553	705	528	787	635	384	84	467	529	518	707	650	701	719	682	868	729	919	722	832	827	955	596	789	734	607	691	697	529	727	516	674	528	748	667	701	734	824	593	793	765	868	133	300	315	625	747	158	274	531	583									
